LGD2014NAME,2015 Default Urban/Rural ,Ward2014 code,Ward2014 name,"Multiple Deprivation Measure Rank 
(where 1 is most deprived)","Income Domain Rank 
(where 1 is most deprived)",Employment Domain Rank (where 1 is most deprived),Health Deprivation and Disability Domain Rank (where 1 is most deprived),"Education, Skills and Training Domain Rank (where 1 is most deprived)",Access to Services Domain Rank (where 1 is most deprived),Living Environment Domain Rank (where 1 is most deprived),Crime and Disorder Domain Rank (where 1 is most deprived)
Antrim and Newtownabbey,Urban,N08000101,Abbey,294,321,231,221,203,358,216,126
Antrim and Newtownabbey,Mixed urban/rural,N08000102,Aldergrove,386,375,422,416,352,74,359,449
Antrim and Newtownabbey,Urban,N08000103,Antrim Centre,196,419,173,114,85,353,229,37
Antrim and Newtownabbey,Urban,N08000104,Ballyclare East,256,301,201,200,109,351,371,142
Antrim and Newtownabbey,Urban,N08000105,Ballyclare West,318,309,257,233,197,335,462,209
Antrim and Newtownabbey,Urban,N08000106,Ballyduff,248,390,180,149,94,367,329,192
Antrim and Newtownabbey,Urban,N08000107,Ballyhenry,432,450,433,411,383,275,105,413
Antrim and Newtownabbey,Rural,N08000108,Ballynure,397,373,429,447,394,104,208,370
Antrim and Newtownabbey,Mixed urban/rural,N08000109,Ballyrobert,419,454,427,428,332,181,183,397
Antrim and Newtownabbey,Urban,N08000110,Burnthill,275,401,199,179,112,347,270,217
Antrim and Newtownabbey,Urban,N08000111,Carnmoney,391,439,370,302,295,375,96,313
Antrim and Newtownabbey,Urban,N08000112,Carnmoney Hill,402,426,352,281,361,328,391,197
Antrim and Newtownabbey,Mixed urban/rural,N08000113,Clady,351,287,391,394,377,78,200,286
Antrim and Newtownabbey,Urban,N08000114,Collinbridge,429,437,419,361,412,286,274,190
Antrim and Newtownabbey,Mixed urban/rural,N08000115,Cranfield,358,300,330,304,409,129,360,402
Antrim and Newtownabbey,Urban,N08000116,Crumlin,285,372,235,156,189,213,455,114
Antrim and Newtownabbey,Rural,N08000117,Doagh,410,360,424,414,362,178,373,348
Antrim and Newtownabbey,Urban,N08000118,Fairview,289,395,248,196,107,300,288,276
Antrim and Newtownabbey,Urban,N08000119,Fountain Hill,414,433,388,299,343,306,440,246
Antrim and Newtownabbey,Urban,N08000120,Glebe,392,420,369,294,258,369,289,230
Antrim and Newtownabbey,Urban,N08000121,Glengormley,195,344,160,119,98,443,142,79
Antrim and Newtownabbey,Urban,N08000122,Greystone,69,136,64,50,61,253,396,12
Antrim and Newtownabbey,Urban,N08000123,Hightown,344,348,350,222,218,354,161,201
Antrim and Newtownabbey,Urban,N08000124,Jordanstown,459,453,460,455,460,208,364,441
Antrim and Newtownabbey,Mixed urban/rural,N08000125,Mallusk,421,418,452,420,308,199,384,261
Antrim and Newtownabbey,Urban,N08000126,Monkstown,151,152,139,113,99,320,262,164
Antrim and Newtownabbey,Mixed urban/rural,N08000127,Mossley,232,349,207,154,77,256,318,191
Antrim and Newtownabbey,Urban,N08000128,O'Neill,25,51,27,26,17,403,187,111
Antrim and Newtownabbey,Rural,N08000129,Parkgate,369,327,439,453,427,42,314,346
Antrim and Newtownabbey,Urban,N08000130,Randalstown,310,391,245,199,202,276,352,157
Antrim and Newtownabbey,Urban,N08000131,Rathcoole,39,103,35,38,21,421,128,92
Antrim and Newtownabbey,Urban,N08000132,Rostulla,455,459,461,461,443,278,125,462
Antrim and Newtownabbey,Mixed urban/rural,N08000133,Shilvodan,375,361,436,433,397,43,337,442
Antrim and Newtownabbey,Urban,N08000134,Springfarm,333,353,347,242,168,248,424,141
Antrim and Newtownabbey,Urban,N08000135,Steeple,93,195,86,66,34,345,422,84
Antrim and Newtownabbey,Urban,N08000136,Stiles,116,278,85,81,60,241,433,43
Antrim and Newtownabbey,Rural,N08000137,Templepatrick,398,357,380,429,434,159,265,259
Antrim and Newtownabbey,Rural,N08000138,Toome,258,250,241,284,306,53,104,355
Antrim and Newtownabbey,Urban,N08000139,Valley,114,226,102,86,51,416,141,67
Antrim and Newtownabbey,Urban,N08000140,Whitehouse,106,178,71,89,65,362,205,146
"Armagh, Banbridge and Craigavon",Mixed urban/rural,N08000201,Aghagallon,354,345,304,295,329,131,417,360
"Armagh, Banbridge and Craigavon",Urban,N08000202,Ballybay,47,40,81,84,20,346,333,86
"Armagh, Banbridge and Craigavon",Mixed urban/rural,N08000203,Banbridge East,403,370,387,370,402,173,348,324
"Armagh, Banbridge and Craigavon",Mixed urban/rural,N08000204,Banbridge North,317,305,218,253,358,271,356,120
"Armagh, Banbridge and Craigavon",Urban,N08000205,Banbridge South,223,267,172,188,133,311,410,46
"Armagh, Banbridge and Craigavon",Urban,N08000206,Banbridge West,158,189,130,95,97,334,428,100
"Armagh, Banbridge and Craigavon",Rural,N08000207,Blackwatertown,245,116,315,327,359,72,145,368
"Armagh, Banbridge and Craigavon",Mixed urban/rural,N08000208,Bleary,408,410,375,337,370,196,327,435
"Armagh, Banbridge and Craigavon",Urban,N08000209,Brownlow,48,112,59,29,28,255,295,49
"Armagh, Banbridge and Craigavon",Urban,N08000210,Cathedral,71,77,73,74,70,330,97,112
"Armagh, Banbridge and Craigavon",Urban,N08000211,Corcrain,64,107,58,65,56,337,74,103
"Armagh, Banbridge and Craigavon",Urban,N08000212,Craigavon Centre,316,333,314,252,161,203,420,202
"Armagh, Banbridge and Craigavon",Urban,N08000213,Demesne,218,183,167,177,243,293,368,78
"Armagh, Banbridge and Craigavon",Mixed urban/rural,N08000214,Derrytrasna,355,362,348,282,350,105,281,340
"Armagh, Banbridge and Craigavon",Rural,N08000215,Donaghcloney,362,299,365,384,363,91,421,379
"Armagh, Banbridge and Craigavon",Urban,N08000216,Dromore,407,363,392,366,373,217,361,334
"Armagh, Banbridge and Craigavon",Rural,N08000217,Gilford,237,264,209,181,183,168,246,162
"Armagh, Banbridge and Craigavon",Rural,N08000218,Gransha,282,156,363,396,360,26,416,456
"Armagh, Banbridge and Craigavon",Rural,N08000219,Hamiltonsbawn,353,336,378,406,354,103,63,412
"Armagh, Banbridge and Craigavon",Rural,N08000220,Keady,91,15,176,258,294,85,253,181
"Armagh, Banbridge and Craigavon",Urban,N08000221,Kernan,321,261,292,237,276,233,450,206
"Armagh, Banbridge and Craigavon",Urban,N08000222,Killycomain,133,121,171,139,101,450,44,53
"Armagh, Banbridge and Craigavon",Urban,N08000223,Knocknashane,334,324,303,271,149,327,330,325
"Armagh, Banbridge and Craigavon",Urban,N08000224,Lough Road,262,288,196,176,256,269,172,137
"Armagh, Banbridge and Craigavon",Rural,N08000225,Loughbrickland,225,88,270,305,367,77,324,281
"Armagh, Banbridge and Craigavon",Rural,N08000226,Loughgall,301,223,342,329,346,64,227,448
"Armagh, Banbridge and Craigavon",Rural,N08000227,Magheralin,377,346,372,342,349,193,236,335
"Armagh, Banbridge and Craigavon",Mixed urban/rural,N08000228,Mahon,297,242,319,255,226,207,143,267
"Armagh, Banbridge and Craigavon",Rural,N08000229,Markethill,134,48,203,218,213,107,235,251
"Armagh, Banbridge and Craigavon",Urban,N08000230,Mourneview,66,69,99,83,27,388,175,82
"Armagh, Banbridge and Craigavon",Rural,N08000231,Navan,254,147,323,311,368,69,83,329
"Armagh, Banbridge and Craigavon",Urban,N08000232,Parklake,83,114,74,55,100,408,112,117
"Armagh, Banbridge and Craigavon",Mixed urban/rural,N08000233,Quilly,328,237,308,319,345,152,278,317
"Armagh, Banbridge and Craigavon",Rural,N08000234,Rathfriland,209,138,215,205,216,155,342,265
"Armagh, Banbridge and Craigavon",Rural,N08000235,Richhill,370,341,343,316,356,162,301,409
"Armagh, Banbridge and Craigavon",Rural,N08000236,Seagahan,160,47,247,303,372,54,126,343
"Armagh, Banbridge and Craigavon",Urban,N08000237,Shankill,62,204,50,34,46,440,115,21
"Armagh, Banbridge and Craigavon",Rural,N08000238,Tandragee,221,133,255,216,142,244,300,243
"Armagh, Banbridge and Craigavon",Mixed urban/rural,N08000239,The Birches,319,238,340,314,290,94,398,367
"Armagh, Banbridge and Craigavon",Urban,N08000240,The Mall,179,92,184,207,235,326,81,148
"Armagh, Banbridge and Craigavon",Rural,N08000241,Waringstown,404,338,417,386,406,186,297,306
Belfast,Urban,N08000301,Andersonstown,105,279,63,48,113,432,47,91
Belfast,Urban,N08000302,Ardoyne,3,6,5,5,8,449,29,14
Belfast,Urban,N08000303,Ballygomartin,120,244,94,64,66,282,273,154
Belfast,Urban,N08000304,Ballymacarrett,19,81,24,12,6,401,127,31
Belfast,Urban,N08000305,Ballymurphy,12,154,9,1,5,352,13,54
Belfast,Urban,N08000306,Ballysillan,102,181,115,71,53,427,58,74
Belfast,Urban,N08000307,Beechmount,30,146,25,20,36,434,3,39
Belfast,Urban,N08000308,Beersbridge,35,164,60,32,7,462,48,10
Belfast,Urban,N08000309,Bellevue,131,134,110,108,108,411,234,108
Belfast,Urban,N08000310,Belmont,458,456,426,377,410,423,404,292
Belfast,Urban,N08000311,Belvoir,253,392,182,123,143,279,338,183
Belfast,Urban,N08000312,Blackstaff,23,36,48,27,9,356,40,88
Belfast,Urban,N08000313,Bloomfield,153,194,175,141,131,457,7,41
Belfast,Urban,N08000314,Cavehill,446,447,431,434,425,309,322,155
Belfast,Urban,N08000315,Central,94,255,268,79,11,428,16,7
Belfast,Urban,N08000316,Chichester Park,137,273,87,90,139,380,53,57
Belfast,Urban,N08000317,Cliftonville,65,141,46,42,82,386,80,63
Belfast,Urban,N08000318,Clonard,18,101,15,11,25,430,20,16
Belfast,Urban,N08000319,Collin Glen,73,350,34,24,63,317,122,95
Belfast,Urban,N08000320,Connswater,118,216,129,68,55,417,86,98
Belfast,Urban,N08000321,Cregagh,267,396,187,145,146,446,173,171
Belfast,Urban,N08000322,Duncairn,13,18,26,22,12,340,21,38
Belfast,Urban,N08000323,Dunmurry,383,351,337,333,411,412,210,121
Belfast,Urban,N08000324,Falls,8,55,6,3,4,460,62,20
Belfast,Urban,N08000325,Falls Park,170,402,88,63,193,454,138,22
Belfast,Urban,N08000326,Finaghy,454,448,412,397,452,410,193,330
Belfast,Urban,N08000327,Forth River,43,171,38,36,19,324,106,93
Belfast,Urban,N08000328,Fortwilliam,214,312,181,151,127,448,73,75
Belfast,Urban,N08000329,Garnerville,394,412,313,320,313,307,446,309
Belfast,Urban,N08000330,Gilnahirk,348,399,244,235,191,429,310,373
Belfast,Urban,N08000331,Hillfoot,462,442,445,438,439,398,381,385
Belfast,Urban,N08000332,Innisfayle,271,286,195,180,259,405,135,133
Belfast,Urban,N08000333,Knock,445,432,430,409,451,456,118,221
Belfast,Urban,N08000334,Ladybrook,273,397,174,97,208,425,390,173
Belfast,Urban,N08000335,Lagmore,103,248,91,39,69,242,180,130
Belfast,Urban,N08000336,Legoniel,44,93,55,40,39,262,162,42
Belfast,Urban,N08000337,Malone,409,446,457,459,462,419,5,203
Belfast,Urban,N08000338,Merok,363,444,309,231,178,436,250,364
Belfast,Urban,N08000339,Musgrave,374,393,306,262,366,441,168,194
Belfast,Urban,N08000340,New Lodge,6,79,2,4,3,420,38,8
Belfast,Urban,N08000341,Orangefield,405,400,389,309,309,442,233,195
Belfast,Urban,N08000342,Ormeau,283,322,302,241,187,461,24,58
Belfast,Urban,N08000343,Poleglass,15,91,14,10,13,342,28,26
Belfast,Urban,N08000344,Ravenhill,416,441,428,357,375,406,114,145
Belfast,Urban,N08000345,Rosetta,436,409,377,353,445,451,305,240
Belfast,Urban,N08000346,Sandown,384,414,301,280,317,372,302,295
Belfast,Urban,N08000347,Shandon,389,407,317,278,371,343,255,272
Belfast,Urban,N08000348,Shankill,9,26,12,9,2,402,124,19
Belfast,Urban,N08000349,Shaw's Road,59,186,28,25,71,444,117,90
Belfast,Urban,N08000350,Stewartstown,79,315,39,35,54,424,237,72
Belfast,Urban,N08000351,Stormont,448,430,396,391,423,333,292,392
Belfast,Urban,N08000352,Stranmillis,461,457,462,462,450,360,174,320
Belfast,Urban,N08000353,Sydenham,255,389,250,152,83,294,177,196
Belfast,Urban,N08000354,Turf Lodge,20,256,11,6,14,355,6,61
Belfast,Urban,N08000355,Twinbrook,31,174,19,17,42,373,8,69
