"DATE_NAME","GEOGRAPHY_CODE","GEOGRAPHY_NAME","OBS_VALUE"
"2017","W01000001","Isle of Anglesey 007A",1067
"2017","W01000002","Isle of Anglesey 007B",1261
"2017","W01000003","Isle of Anglesey 001A",2597
"2017","W01000004","Isle of Anglesey 001B",1275
"2017","W01000005","Isle of Anglesey 005A",1797
"2017","W01000006","Isle of Anglesey 006A",1585
"2017","W01000007","Isle of Anglesey 009A",1727
"2017","W01000008","Isle of Anglesey 008A",1490
"2017","W01000009","Isle of Anglesey 007C",1977
"2017","W01000010","Isle of Anglesey 002A",1912
"2017","W01000011","Isle of Anglesey 008B",1144
"2017","W01000012","Isle of Anglesey 006B",1562
"2017","W01000013","Isle of Anglesey 005B",2230
"2017","W01000014","Isle of Anglesey 006C",2173
"2017","W01000015","Isle of Anglesey 008C",1520
"2017","W01000016","Isle of Anglesey 003A",1304
"2017","W01000017","Isle of Anglesey 003B",1666
"2017","W01000018","Isle of Anglesey 001C",1248
"2017","W01000019","Isle of Anglesey 005C",1397
"2017","W01000020","Isle of Anglesey 002B",1355
"2017","W01000021","Isle of Anglesey 002C",2234
"2017","W01000022","Isle of Anglesey 004A",1595
"2017","W01000023","Isle of Anglesey 007D",1538
"2017","W01000024","Isle of Anglesey 007E",1412
"2017","W01000025","Isle of Anglesey 009B",2053
"2017","W01000026","Isle of Anglesey 005D",1175
"2017","W01000027","Isle of Anglesey 009C",1859
"2017","W01000028","Isle of Anglesey 001D",2004
"2017","W01000029","Isle of Anglesey 003C",1424
"2017","W01000030","Isle of Anglesey 003D",2334
"2017","W01000031","Isle of Anglesey 001E",1522
"2017","W01000032","Isle of Anglesey 002D",998
"2017","W01000033","Isle of Anglesey 003E",1576
"2017","W01000034","Isle of Anglesey 004B",1175
"2017","W01000035","Isle of Anglesey 005E",1838
"2017","W01000036","Isle of Anglesey 003F",1087
"2017","W01000037","Isle of Anglesey 003G",1149
"2017","W01000038","Isle of Anglesey 009D",2254
"2017","W01000039","Isle of Anglesey 004C",989
"2017","W01000040","Isle of Anglesey 004D",1118
"2017","W01000041","Isle of Anglesey 006D",1667
"2017","W01000042","Isle of Anglesey 008D",2136
"2017","W01000043","Isle of Anglesey 004E",1231
"2017","W01000044","Isle of Anglesey 004F",1139
"2017","W01000047","Gwynedd 011A",1321
"2017","W01000048","Gwynedd 016A",1390
"2017","W01000049","Gwynedd 016B",1067
"2017","W01000050","Gwynedd 003A",1357
"2017","W01000051","Gwynedd 015A",2035
"2017","W01000052","Gwynedd 004A",1209
"2017","W01000053","Gwynedd 004B",1196
"2017","W01000054","Gwynedd 007A",1131
"2017","W01000056","Gwynedd 009A",1908
"2017","W01000057","Gwynedd 016C",1440
"2017","W01000059","Gwynedd 006A",2101
"2017","W01000060","Gwynedd 015B",1307
"2017","W01000061","Gwynedd 011B",1807
"2017","W01000062","Gwynedd 001A",2245
"2017","W01000063","Gwynedd 005A",2051
"2017","W01000064","Gwynedd 002A",1901
"2017","W01000065","Gwynedd 009B",1148
"2017","W01000066","Gwynedd 010A",1230
"2017","W01000067","Gwynedd 016D",1189
"2017","W01000068","Gwynedd 016E",1528
"2017","W01000069","Gwynedd 013A",1538
"2017","W01000070","Gwynedd 012A",1339
"2017","W01000071","Gwynedd 003B",2308
"2017","W01000072","Gwynedd 002B",1988
"2017","W01000073","Gwynedd 008A",1690
"2017","W01000074","Gwynedd 013B",1880
"2017","W01000075","Gwynedd 002C",1554
"2017","W01000076","Gwynedd 001B",1137
"2017","W01000077","Gwynedd 001C",1514
"2017","W01000078","Gwynedd 011C",1703
"2017","W01000079","Gwynedd 013C",1029
"2017","W01000080","Gwynedd 014C",1743
"2017","W01000081","Gwynedd 005B",2098
"2017","W01000082","Gwynedd 015C",1154
"2017","W01000083","Gwynedd 015D",1397
"2017","W01000084","Gwynedd 014D",1211
"2017","W01000085","Gwynedd 017C",1960
"2017","W01000086","Gwynedd 008B",2262
"2017","W01000087","Gwynedd 004C",1967
"2017","W01000088","Gwynedd 007B",2075
"2017","W01000089","Gwynedd 011D",2156
"2017","W01000090","Gwynedd 002D",1412
"2017","W01000091","Gwynedd 001D",1197
"2017","W01000092","Gwynedd 001E",3803
"2017","W01000093","Gwynedd 006B",2321
"2017","W01000094","Gwynedd 012B",1253
"2017","W01000095","Gwynedd 012C",1397
"2017","W01000096","Gwynedd 003C",1384
"2017","W01000097","Gwynedd 003D",1230
"2017","W01000098","Gwynedd 006C",2448
"2017","W01000099","Gwynedd 005C",1786
"2017","W01000100","Gwynedd 010B",1070
"2017","W01000101","Gwynedd 013D",1504
"2017","W01000102","Gwynedd 002E",1312
"2017","W01000103","Gwynedd 005D",1282
"2017","W01000104","Gwynedd 008C",1917
"2017","W01000105","Gwynedd 010C",1844
"2017","W01000106","Gwynedd 010D",1633
"2017","W01000107","Gwynedd 010E",1232
"2017","W01000108","Gwynedd 012D",2285
"2017","W01000109","Gwynedd 012E",1964
"2017","W01000110","Gwynedd 006D",1491
"2017","W01000111","Gwynedd 007C",1659
"2017","W01000112","Gwynedd 008D",1978
"2017","W01000113","Gwynedd 009C",1901
"2017","W01000114","Gwynedd 009D",1530
"2017","W01000115","Gwynedd 003E",2157
"2017","W01000116","Gwynedd 017D",1710
"2017","W01000117","Gwynedd 017E",1493
"2017","W01000118","Gwynedd 007D",1713
"2017","W01000119","Gwynedd 004D",2412
"2017","W01000121","Conwy 015A",1166
"2017","W01000122","Conwy 014A",2131
"2017","W01000123","Conwy 013A",1879
"2017","W01000124","Conwy 012A",2044
"2017","W01000125","Conwy 013B",1340
"2017","W01000126","Conwy 009A",1596
"2017","W01000127","Conwy 009B",1168
"2017","W01000128","Conwy 009C",1348
"2017","W01000129","Conwy 012B",1093
"2017","W01000130","Conwy 012C",1874
"2017","W01000131","Conwy 012D",2090
"2017","W01000132","Conwy 001A",1576
"2017","W01000133","Conwy 002A",1906
"2017","W01000134","Conwy 015B",2137
"2017","W01000135","Conwy 006A",2117
"2017","W01000136","Conwy 006B",2693
"2017","W01000137","Conwy 015C",1516
"2017","W01000138","Conwy 008A",1692
"2017","W01000139","Conwy 007A",1417
"2017","W01000140","Conwy 010B",1539
"2017","W01000141","Conwy 010C",1622
"2017","W01000142","Conwy 010D",1508
"2017","W01000143","Conwy 007B",1551
"2017","W01000144","Conwy 007C",1348
"2017","W01000145","Conwy 008B",1298
"2017","W01000146","Conwy 001B",2054
"2017","W01000147","Conwy 001C",1457
"2017","W01000148","Conwy 015D",1162
"2017","W01000149","Conwy 005A",1507
"2017","W01000150","Conwy 005B",1459
"2017","W01000151","Conwy 005C",1637
"2017","W01000152","Conwy 005D",1476
"2017","W01000153","Conwy 009D",1657
"2017","W01000154","Conwy 003A",1420
"2017","W01000155","Conwy 004A",1454
"2017","W01000156","Conwy 004B",1502
"2017","W01000157","Conwy 004C",1455
"2017","W01000158","Conwy 004D",1574
"2017","W01000159","Conwy 014B",1371
"2017","W01000162","Conwy 014C",1989
"2017","W01000163","Conwy 009E",1364
"2017","W01000164","Conwy 009F",1427
"2017","W01000165","Conwy 006C",2034
"2017","W01000166","Conwy 006D",2688
"2017","W01000167","Conwy 011C",1996
"2017","W01000168","Conwy 002B",1787
"2017","W01000169","Conwy 001D",2001
"2017","W01000170","Conwy 013C",1902
"2017","W01000171","Conwy 013D",1493
"2017","W01000172","Conwy 013E",1214
"2017","W01000173","Conwy 003B",1504
"2017","W01000174","Conwy 003C",1697
"2017","W01000175","Conwy 003D",1596
"2017","W01000176","Conwy 011D",1732
"2017","W01000177","Conwy 011E",1232
"2017","W01000178","Conwy 010E",1868
"2017","W01000179","Conwy 010F",1720
"2017","W01000180","Conwy 008C",1632
"2017","W01000181","Conwy 008D",1451
"2017","W01000182","Conwy 007D",1923
"2017","W01000183","Conwy 008E",1530
"2017","W01000184","Conwy 005E",2368
"2017","W01000185","Conwy 015E",1257
"2017","W01000186","Conwy 001E",1761
"2017","W01000187","Conwy 002C",1609
"2017","W01000188","Conwy 002D",1692
"2017","W01000189","Conwy 015F",1378
"2017","W01000190","Conwy 014D",1414
"2017","W01000191","Denbighshire 009A",2202
"2017","W01000192","Denbighshire 016A",1055
"2017","W01000193","Denbighshire 015A",1346
"2017","W01000194","Denbighshire 011A",2042
"2017","W01000195","Denbighshire 012A",1418
"2017","W01000196","Denbighshire 012B",1484
"2017","W01000197","Denbighshire 012C",1724
"2017","W01000198","Denbighshire 011B",1432
"2017","W01000199","Denbighshire 011C",1680
"2017","W01000200","Denbighshire 008A",1315
"2017","W01000201","Denbighshire 008B",1515
"2017","W01000202","Denbighshire 015B",1646
"2017","W01000203","Denbighshire 013A",2505
"2017","W01000204","Denbighshire 013B",1433
"2017","W01000205","Denbighshire 016B",1183
"2017","W01000206","Denbighshire 013C",2116
"2017","W01000207","Denbighshire 015C",2302
"2017","W01000208","Denbighshire 016C",1149
"2017","W01000209","Denbighshire 016D",1604
"2017","W01000210","Denbighshire 016E",1347
"2017","W01000211","Denbighshire 012D",1897
"2017","W01000212","Denbighshire 003A",2116
"2017","W01000213","Denbighshire 002A",1417
"2017","W01000214","Denbighshire 002B",1105
"2017","W01000215","Denbighshire 002C",1471
"2017","W01000216","Denbighshire 002D",1379
