itlCode,itlName,year,gvaMillionGbp,gdpMillionGbp
TLC3,Tees Valley,1998,7568,8578
TLC3,Tees Valley,1999,7830,8909
TLC3,Tees Valley,2000,8115,9247
TLC3,Tees Valley,2001,8230,9422
TLC3,Tees Valley,2002,8649,9887
TLC3,Tees Valley,2003,9284,10576
TLC3,Tees Valley,2004,9881,11237
TLC3,Tees Valley,2005,10200,11590
TLC3,Tees Valley,2006,10710,12137
TLC3,Tees Valley,2007,10999,12513
TLC3,Tees Valley,2008,11406,12904
TLC3,Tees Valley,2009,11443,12805
TLC3,Tees Valley,2010,11497,13021
TLC3,Tees Valley,2011,11635,13324
TLC3,Tees Valley,2012,11811,13546
TLC3,Tees Valley,2013,12106,13817
TLC3,Tees Valley,2014,12598,14396
TLC3,Tees Valley,2015,13244,15125
TLC3,Tees Valley,2016,13312,15281
TLC3,Tees Valley,2017,13254,15316
TLC3,Tees Valley,2018,13543,15678
TLC3,Tees Valley,2019,13907,16089
TLC3,Tees Valley,2020,13430,15360
TLC3,Tees Valley,2021,14304,16463
TLC3,Tees Valley,2022,15708,17912
TLC3,Tees Valley,2023,16728,18875
TLC4,"Northumberland, Durham and Tyne & Wear",1998,21249,24058
TLC4,"Northumberland, Durham and Tyne & Wear",1999,21422,24426
TLC4,"Northumberland, Durham and Tyne & Wear",2000,22025,25151
TLC4,"Northumberland, Durham and Tyne & Wear",2001,23181,26493
TLC4,"Northumberland, Durham and Tyne & Wear",2002,24886,28326
TLC4,"Northumberland, Durham and Tyne & Wear",2003,26178,29757
TLC4,"Northumberland, Durham and Tyne & Wear",2004,28534,32288
TLC4,"Northumberland, Durham and Tyne & Wear",2005,30032,33900
TLC4,"Northumberland, Durham and Tyne & Wear",2006,31669,35652
TLC4,"Northumberland, Durham and Tyne & Wear",2007,32250,36510
TLC4,"Northumberland, Durham and Tyne & Wear",2008,33018,37249
TLC4,"Northumberland, Durham and Tyne & Wear",2009,32774,36625
TLC4,"Northumberland, Durham and Tyne & Wear",2010,33341,37645
TLC4,"Northumberland, Durham and Tyne & Wear",2011,33986,38836
TLC4,"Northumberland, Durham and Tyne & Wear",2012,34961,39958
TLC4,"Northumberland, Durham and Tyne & Wear",2013,35340,40636
TLC4,"Northumberland, Durham and Tyne & Wear",2014,36267,41693
TLC4,"Northumberland, Durham and Tyne & Wear",2015,37326,42882
TLC4,"Northumberland, Durham and Tyne & Wear",2016,38007,43790
TLC4,"Northumberland, Durham and Tyne & Wear",2017,39465,45532
TLC4,"Northumberland, Durham and Tyne & Wear",2018,40003,46468
TLC4,"Northumberland, Durham and Tyne & Wear",2019,42154,48648
TLC4,"Northumberland, Durham and Tyne & Wear",2020,39265,44737
TLC4,"Northumberland, Durham and Tyne & Wear",2021,42936,48893
TLC4,"Northumberland, Durham and Tyne & Wear",2022,46656,53180
TLC4,"Northumberland, Durham and Tyne & Wear",2023,52163,58624
TLD1,Cumbria,1998,6550,7410
TLD1,Cumbria,1999,6757,7686
TLD1,Cumbria,2000,6701,7667
TLD1,Cumbria,2001,6731,7730
TLD1,Cumbria,2002,7151,8187
TLD1,Cumbria,2003,7660,8753
TLD1,Cumbria,2004,7911,9027
TLD1,Cumbria,2005,8295,9483
TLD1,Cumbria,2006,8968,10162
TLD1,Cumbria,2007,9209,10467
TLD1,Cumbria,2008,9877,11149
TLD1,Cumbria,2009,9636,10817
TLD1,Cumbria,2010,9856,11155
TLD1,Cumbria,2011,9779,11173
TLD1,Cumbria,2012,10167,11589
TLD1,Cumbria,2013,10516,11986
TLD1,Cumbria,2014,11014,12578
TLD1,Cumbria,2015,11425,13011
TLD1,Cumbria,2016,11300,13025
TLD1,Cumbria,2017,11494,13289
TLD1,Cumbria,2018,11761,13403
TLD1,Cumbria,2019,12423,14175
TLD1,Cumbria,2020,11407,13006
TLD1,Cumbria,2021,11980,13636
TLD1,Cumbria,2022,13736,15450
TLD1,Cumbria,2023,15057,16740
TLD3,Greater Manchester,1998,33212,37421
TLD3,Greater Manchester,1999,34845,39350
TLD3,Greater Manchester,2000,35794,40472
TLD3,Greater Manchester,2001,37987,42707
TLD3,Greater Manchester,2002,39778,44712
TLD3,Greater Manchester,2003,41540,46749
TLD3,Greater Manchester,2004,43839,49432
TLD3,Greater Manchester,2005,46723,52386
TLD3,Greater Manchester,2006,49228,55016
TLD3,Greater Manchester,2007,51617,57741
TLD3,Greater Manchester,2008,52489,58551
TLD3,Greater Manchester,2009,52791,58403
TLD3,Greater Manchester,2010,53671,59886
TLD3,Greater Manchester,2011,53698,60798
TLD3,Greater Manchester,2012,56085,63504
TLD3,Greater Manchester,2013,58443,66128
TLD3,Greater Manchester,2014,60047,68071
TLD3,Greater Manchester,2015,62568,70888
TLD3,Greater Manchester,2016,64643,73338
TLD3,Greater Manchester,2017,69228,78171
TLD3,Greater Manchester,2018,72243,81140
TLD3,Greater Manchester,2019,75382,84517
