Model-based estimates of unemployment for local authorities1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UALAD,,,1996/97,,,1997/98,,,1998/99,,,1999/2000,,,2000/01,,,2001/02,,,2002/03,,,2003/04,,,Jan 2004 to Dec 2004,,,Apr 2004 to Mar 2005 ,,,Jul 2004 to Jun 2005 ,,,Oct 2004 to Sep 2005 ,,,Jan 2005 to Dec 2005 ,,,Apr 2005 to Mar 2006 ,,,Jul 2005 to Jun 2006 ,,,Oct 2005 to Sep 2006 ,,,Jan 2006 to Dec 2006 ,,,Apr 2006 to Mar 2007 ,,,Jul 2006 to Jun 2007 ,,,Oct 2006 to Sep 2007 ,,,Jan 2007 to Dec 2007,,,Apr 2007 to Mar 2008,,,Jul 2007 to Jun 2008,,,Oct 2007 to Sep 2008,,,Jan 2008 to Dec 2008,,,Apr 2008 to Mar 2009,,,Jul 2008 to Jun 2009,,,Oct 2008 to Sep 2009,,,Jan 2009 to Dec 2009,,,Apr 2009 to Mar 2010,,,Jul 2009 to Jun 2010,,,Oct 2009 to Sep 2010,,,Jan 2010 to Dec 2010,,,Apr 2010 to Mar 2011,,,Jul 2010 to Jun 2011,,,Oct 2010 to Sep 2011,,,Jan 2011 to Dec 2011,,,Apr 2011 to Mar 2012,,,Jul 2011 to Jun 2012,,,Oct 2011 to Sep 2012,,,Jan 2012 to Dec 2012,,,Apr 2012 to Mar 2013,,,Jul 2012 to Jun 2013,,,Oct 2012 to Sep 2013,,,Jan 2013 to Dec 2013,,,Apr 2013 to Mar 2014,,,Jul 2013 to Jun 2014,,,Oct 2013 to Sep 2014,,,Jan 2014 to Dec 2014,,,Apr 2014 to Mar 2015,,,Jul 2014 to Jun 2015,,,Oct 2014 to Sep 2015,,,Jan 2015 to Dec 2015,,,Apr 2015 to Mar 2016,,,Jul 2015 to Jun 2016,,,Oct 2015 to Sep 2016 ,,,Jan 2016 to Dec 2016 ,,,Apr 2016 to March 2017 ,,,Jul 2016 to Jun 2017,,,Oct 2016 to Sep 2017 ,,,Jan 2017 to Dec 2017 ,,,Apr 2017 to Mar 2018 ,,,Jul 2017 to Jun 2018 ,,,Oct 2017 to Sep 2018 ,,,Jan 2018 to Dec 2018,,,Apr 2018 to Mar 2019,,,Jul 2018 to Jun 2019,,,Oct 2018 to Sep 2019,,,Jan 2019 to Dec 2019,,,Apr 2019 to Mar 2020 ,,,Jul 2019 to Jun 2020 ,,,Oct 2019 to Sep 2020 ,,,Jan 2020 to Dec 2020 ,,,Apr 2020 to Mar 2021,,,Jul 2020 to Jun 2021,,,Oct 2020 to Sep 2021,,,Jan 2021 to Dec 2021,
,,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Unemp,+/-2,,Unemp,+/-2,,Unemp,+/-2,,Unemp,+/-2,,Unemp,+/-2,,Unemp,+/-2,,Unemp,+/-2,,Unemp,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2,,Level,+/-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,E06000047,,:,:,,:,:,,:,:,,:,:,,:,:,,:,:,,:,:,,:,:,,"10,900",:,,"10,900",:,,"11,300",:,,"11,000",:,,"10,800",:,,"12,700",:,,"12,800",:,,"13,700",:,,"14,400",:,,"13,800",:,,"13,500",:,,"13,000",:,,"12,600",:,,"13,000",:,,"13,400",:,,"14,000",:,,"15,800",:,,"17,500",:,,"19,500",:,,"20,200",:,,"20,800",:,,"21,100",:,,"21,400",:,,"20,900",:,,"21,100",:,,"21,400",:,,"20,400",:,,"21,600",:,,"21,900",:,,"23,900",:,,"25,400",:,,"25,000",:,,"24,400",:,,"22,900",:,,"22,500",:,,"23,800",:,,"22,700",:,,"21,900",:,,"21,200",:,,"19,500",:,,"18,800",:,,"17,200",:,,"16,100",:,,"16,200",:,,"16,600",:,,"16,400",:,,"17,000",:,,"14,900",:,,"14,800",:,,"16,100",:,,"14,500",:,,"14,500",:,,"13,900",:,,"12,100",:,,"12,100",:,,"11,600",:,,"12,200",:,,"13,300",:,,"13,300",:,,"14,000",:,,"13,800",:,,"13,600",:,,"13,400",:,,"15,100",:,,"15,400",:,,"14,700",:,,"15,700",:,,"13,700",:,,"13,300",:
Darlington,E06000005,,"4,600",900,,"3,800",800,,"3,400",800,,"3,800",900,,"3,200",500,,"3,100",500,,"2,600",500,,"2,400",400,,"2,100",400,,"2,200",400,,"2,300",400,,"2,200",400,,"2,300",400,,"2,400",500,,"2,300",500,,"2,400",500,,"2,600",500,,"2,700",500,,"2,900",500,,"3,000",500,,"2,900",500,,"3,000",500,,"2,900",600,,"3,000",500,,"3,200",600,,"3,600",600,,"4,000",600,,"4,300",600,,"4,400",600,,"4,500",600,,"4,500",600,,"4,400",600,,"4,200",700,,"4,400",700,,"4,400",700,,"4,600",700,,"4,900",800,,"5,100",800,,"5,100",800,,"5,300",900,,"5,400",900,,"4,900",900,,"5,100",900,,"5,000",900,,"4,600",800,,"4,900",800,,"4,600",700,,"4,400",700,,"4,200",700,,"3,700",600,,"3,700",600,,"3,600",600,,"3,600",600,,"3,600",600,,"3,800",600,,"3,400",500,,"3,400",600,,"3,500",700,,"3,100",600,,"3,300",700,,"3,200",700,,"2,700",500,,"2,700",500,,"2,500",500,,"2,500",600,,"2,700",600,,"2,700",600,,"3,200",700,,"3,200",700,,"3,300",700,,"3,200",700,,"3,100",600,,"3,200",600,,"3,000",500,,"3,100",600,,"2,800",500,,"2,800",500
Hartlepool,E06000001,,"4,600",900,,"4,900","1,000",,"4,100",900,,"4,900","1,100",,"3,500",500,,"3,400",500,,"3,200",500,,"3,200",500,,"3,000",500,,"2,900",500,,"2,700",500,,"2,700",500,,"2,700",400,,"2,600",500,,"2,900",600,,"3,300",600,,"3,500",600,,"3,600",600,,"3,600",500,,"3,500",500,,"3,500",600,,"3,700",600,,"3,900",700,,"3,800",600,,"4,000",600,,"4,300",600,,"4,400",600,,"4,700",700,,"5,100",700,,"5,100",700,,"5,000",700,,"5,100",700,,"4,800",700,,"5,100",700,,"5,200",700,,"5,700",800,,"6,000",800,,"6,300",900,,"6,700",900,,"5,900",900,,"5,700",900,,"5,400",800,,"5,500",800,,"5,800",900,,"6,100",900,,"5,800",800,,"5,400",800,,"5,100",700,,"4,800",700,,"4,600",700,,"4,400",600,,"4,100",600,,"4,100",600,,"3,900",600,,"4,000",600,,"3,800",600,,"3,700",600,,"4,100",800,,"3,800",700,,"4,000",700,,"4,100",800,,"3,500",600,,"3,600",700,,"3,300",700,,"3,700",800,,"3,800",800,,"3,600",800,,"3,600",700,,"3,200",700,,"3,300",700,,"3,200",700,,"3,300",700,,"3,300",600,,"3,100",600,,"3,400",600,,"3,000",500,,"2,900",500
Middlesbrough,E06000002,,"8,500","1,500",,"7,400","1,400",,"7,400","1,500",,"8,900","1,800",,"6,200",900,,"5,700",800,,"5,000",800,,"5,600",800,,"5,200",800,,"5,000",800,,"4,900",800,,"4,900",800,,"4,900",800,,"5,200",900,,"5,000",900,,"5,300","1,000",,"5,100",900,,"5,100",900,,"5,400",800,,"5,100",800,,"4,900",900,,"5,300",900,,"5,600","1,000",,"5,700",900,,"6,100","1,000",,"6,500","1,000",,"6,700","1,000",,"7,100","1,000",,"7,800","1,000",,"7,900","1,000",,"8,200","1,100",,"8,600","1,100",,"8,900","1,200",,"9,500","1,200",,"9,100","1,200",,"9,300","1,200",,"9,300","1,200",,"9,400","1,300",,"9,700","1,300",,"9,500","1,400",,"9,800","1,400",,"9,500","1,400",,"9,500","1,400",,"9,400","1,400",,"8,400","1,300",,"8,500","1,200",,"8,600","1,200",,"7,900","1,100",,"7,900","1,100",,"7,400","1,100",,"6,800","1,000",,"7,100","1,000",,"7,100","1,000",,"6,600","1,000",,"6,600","1,000",,"5,800",900,,"5,300",900,,"5,900","1,100",,"5,600","1,000",,"5,100","1,000",,"4,900","1,000",,"4,600",800,,"4,500",900,,"4,500",900,,"4,500","1,000",,"4,500","1,000",,"4,400","1,000",,"4,400","1,000",,"4,700",900,,"4,400",900,,"4,400","1,000",,"4,700","1,000",,"4,600",900,,"4,300",800,,"4,800",900,,"4,700",900,,"4,600",900
Northumberland,E06000057,,:,:,,:,:,,:,:,,:,:,,:,:,,:,:,,:,:,,:,:,,"6,700",:,,"7,000",:,,"6,900",:,,"6,900",:,,"6,700",:,,"7,000",:,,"7,300",:,,"8,100",:,,"8,900",:,,"8,600",:,,"8,600",:,,"8,200",:,,"7,600",:,,"7,900",:,,"8,000",:,,"8,400",:,,"9,200",:,,"9,900",:,,"10,300",:,,"10,600",:,,"10,900",:,,"11,000",:,,"11,200",:,,"10,900",:,,"11,100",:,,"11,500",:,,"11,300",:,,"11,500",:,,"11,800",:,,"12,300",:,,"12,800",:,,"12,400",:,,"12,000",:,,"11,200",:,,"11,000",:,,"11,500",:,,"11,100",:,,"11,300",:,,"11,000",:,,"10,500",:,,"10,400",:,,"9,800",:,,"9,500",:,,"9,700",:,,"9,700",:,,"9,400",:,,"9,500",:,,"8,200",:,,"8,300",:,,"8,800",:,,"8,200",:,,"8,000",:,,"7,600",:,,"6,800",:,,"6,400",:,,"6,100",:,,"6,300",:,,"6,800",:,,"6,800",:,,"7,100",:,,"7,000",:,,"6,800",:,,"6,900",:,,"7,700",:,,"7,900",:,,"7,600",:,,"8,100",:,,"7,300",:,,"7,300",:
Redcar and Cleveland,E06000003,,"7,100","1,300",,"6,300","1,200",,"5,400","1,200",,"6,300","1,300",,"5,400",800,,"5,100",700,,"4,800",700,,"4,500",700,,"3,700",600,,"4,000",700,,"4,000",700,,"3,900",700,,"3,900",600,,"4,200",800,,"4,100",800,,"4,400",800,,"4,700",800,,"4,600",800,,"4,700",700,,"4,400",700,,"4,200",800,,"4,300",800,,"4,300",800,,"4,800",800,,"5,300",900,,"5,600",900,,"6,000",900,,"6,100",900,,"6,500",900,,"6,900",900,,"7,200",900,,"7,300","1,000",,"7,400","1,100",,"7,500","1,000",,"7,200","1,000",,"7,500","1,000",,"7,400","1,100",,"7,500","1,100",,"8,400","1,200",,"7,500","1,200",,"7,600","1,200",,"7,600","1,200",,"7,200","1,200",,"7,700","1,200",,"6,900","1,200",,"6,500","1,000",,"5,900",900,,"5,500",900,,"5,900",900,,"5,400",900,,"5,200",900,,"5,300",900,,"5,400",900,,"5,500",900,,"5,500",800,,"5,200",800,,"4,600",800,,"4,900","1,000",,"4,500",900,,"4,300",900,,"4,200",900,,"3,500",700,,"3,400",700,,"3,100",700,,"3,200",800,,"3,400",800,,"3,400",800,,"3,300",800,,"3,300",700,,"3,600",800,,"3,500",800,,"4,000",900,,"4,100",800,,"3,700",700,,"3,900",800,,"3,600",700,,"3,400",700
Stockton-on-Tees,E06000004,,"8,400","1,500",,"8,000","1,500",,"7,200","1,500",,"7,900","1,600",,"6,400","1,000",,"6,300",900,,"5,800","1,000",,"5,900",900,,"5,400",900,,"5,000",900,,"4,900",900,,"4,700",800,,"4,800",800,,"5,200","1,100",,"5,200","1,100",,"5,400","1,100",,"5,500","1,100",,"5,600","1,000",,"6,100",900,,"5,900",900,,"5,900","1,100",,"6,100","1,100",,"5,900","1,100",,"6,600","1,200",,"7,100","1,200",,"7,900","1,300",,"8,700","1,300",,"8,400","1,300",,"8,700","1,200",,"8,800","1,200",,"8,900","1,200",,"9,000","1,300",,"9,100","1,400",,"9,700","1,400",,"9,200","1,300",,"9,800","1,400",,"9,700","1,400",,"10,100","1,500",,"10,400","1,600",,"10,600","1,700",,"10,400","1,700",,"10,000","1,700",,"10,000","1,700",,"9,000","1,600",,"8,600","1,600",,"9,100","1,500",,"8,800","1,400",,"8,700","1,400",,"8,200","1,300",,"7,300","1,300",,"7,000","1,200",,"6,800","1,200",,"7,100","1,200",,"6,800","1,200",,"7,100","1,100",,"6,300","1,000",,"6,100","1,100",,"6,100","1,300",,"5,800","1,100",,"5,700","1,200",,"5,300","1,200",,"4,900","1,000",,"4,700","1,000",,"4,500","1,000",,"5,200","1,300",,"6,100","1,400",,"6,000","1,400",,"5,900","1,300",,"5,400","1,200",,"5,200","1,200",,"5,300","1,200",,"5,600","1,200",,"5,900","1,200",,"5,700","1,100",,"5,700","1,100",,"5,300",900,,"5,200","1,000"
Gateshead,E08000037,,"9,200","1,600",,"8,200","1,600",,"7,300","1,500",,"7,700","1,600",,"6,200",900,,"5,900",900,,"5,500",900,,"5,500",900,,"5,000",900,,"4,700",900,,"4,700",800,,"4,800",800,,"5,100",800,,"5,800","1,100",,"5,800","1,100",,"5,800","1,100",,"5,900","1,100",,"5,700","1,000",,"5,900",900,,"5,700",900,,"5,500","1,000",,"5,600","1,000",,"5,800","1,100",,"6,200","1,100",,"6,900","1,200",,"7,700","1,200",,"7,900","1,200",,"8,100","1,200",,"8,300","1,100",,"8,700","1,200",,"8,800","1,200",,"9,000","1,300",,"9,100","1,400",,"9,500","1,400",,"9,700","1,400",,"10,200","1,500",,"10,300","1,500",,"11,100","1,600",,"11,600","1,700",,"11,400","1,800",,"11,200","1,800",,"10,000","1,700",,"8,800","1,500",,"8,600","1,600",,"8,300","1,600",,"8,100","1,400",,"8,500","1,400",,"8,100","1,300",,"8,200","1,300",,"8,000","1,400",,"7,400","1,300",,"7,400","1,300",,"7,300","1,200",,"7,000","1,200",,"7,300","1,100",,"6,400","1,000",,"6,400","1,100",,"6,600","1,300",,"6,100","1,200",,"6,300","1,300",,"5,700","1,300",,"5,000","1,000",,"4,900","1,000",,"4,700","1,100",,"4,800","1,200",,"5,600","1,400",,"5,600","1,400",,"5,400","1,300",,"5,700","1,300",,"5,500","1,300",,"5,400","1,300",,"6,400","1,400",,"6,500","1,300",,"6,400","1,200",,"7,100","1,300",,"6,200","1,100",,"5,900","1,100"
