"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","lad_code","lad_name","version","level_methodology","establishment_type_group","t_schools","t_pupils","t_att8","avg_att8","t_entbasics","pt_entbasics","t_l2basics_95","pt_l2basics_95","t_l2basics_94","pt_l2basics_94","t_ebacc_e_ptq_ee","pt_ebacc_e_ptq_ee","t_ebacc_95","pt_ebacc_95","t_ebacc_94","pt_ebacc_94","t_ebaccaps","avg_ebaccaps","t_inp8calc","t_p8score","avg_p8score","p8score_ci_low","p8score_ci_upp"
"202324","Academic year","National","E92000001","England","","","","","Revised","Pupil residency","State-funded schools (LA)",4085,623370,28748860.93,46.1,599599,96.2,288184,46.2,407618,65.4,252982,40.6,112898,18.1,158514,25.4,2549492.85,4.09,585836,"-16839.249","-0.03","-0.03","-0.03"
"202324","Academic year","Regional","E92000001","England","E12000001","North East","","","Revised","Pupil residency","State-funded schools (LA)",210,28922,1265840,43.8,27535,95.2,12189,42.1,18040,62.4,10774,37.3,4558,15.8,6736,23.3,110895.91,3.83,27885,"-6963.378","-0.25","-0.27","-0.23"
"202324","Academic year","Regional","E92000001","England","E12000002","North West","","","Revised","Pupil residency","State-funded schools (LA)",618,85415,3785458.99,44.3,81895,95.9,36268,42.5,52976,62,32082,37.6,13164,15.4,19049,22.3,331978.61,3.89,80472,"-13395.099","-0.17","-0.18","-0.16"
"202324","Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","Revised","Pupil residency","State-funded schools (LA)",455,63266,2804716.28,44.3,60867,96.2,27674,43.7,39805,62.9,25070,39.6,10229,16.2,14941,23.6,247431.58,3.91,60472,"-5230.721","-0.09","-0.1","-0.08"
"202324","Academic year","Regional","E92000001","England","E12000004","East Midlands","","","Revised","Pupil residency","State-funded schools (LA)",532,54927,2455444.8,44.7,52954,96.4,23892,43.5,34883,63.5,20592,37.5,8814,16,12813,23.3,217569.28,3.96,52167,"-3855.096","-0.07","-0.09","-0.06"
"202324","Academic year","Regional","E92000001","England","E12000005","West Midlands","","","Revised","Pupil residency","State-funded schools (LA)",548,70480,3134061.75,44.5,67769,96.2,29873,42.4,43801,62.1,26073,37,10339,14.7,15046,21.3,273828.96,3.89,66285,"-7147.508","-0.11","-0.12","-0.1"
"202324","Academic year","Regional","E92000001","England","E12000006","East of England","","","Revised","Pupil residency","State-funded schools (LA)",732,70661,3245385.56,45.9,68133,96.4,32337,45.8,46418,65.7,28239,40,12470,17.6,17655,25,287897.78,4.07,66861,"-1062.623","-0.02","-0.03","-0.01"
"202324","Academic year","Regional","E92000001","England","E12000007","London","","","Revised","Pupil residency","State-funded schools (LA)",836,92695,4727975.57,51,89601,96.7,51478,55.5,67024,72.3,51675,55.7,24881,26.8,33460,36.1,431360.73,4.65,84546,"24539.239","0.29","0.28","0.3"
"202324","Academic year","Regional","E92000001","England","E12000008","South East","","","Revised","Pupil residency","State-funded schools (LA)",949,99502,4688628.73,47.1,95695,96.2,48177,48.4,66888,67.2,39912,40.1,19840,19.9,26727,26.9,417354.83,4.19,92668,"-2087.493","-0.02","-0.03","-0.01"
"202324","Academic year","Regional","E92000001","England","E12000009","South West","","","Revised","Pupil residency","State-funded schools (LA)",447,57502,2641349.25,45.9,55150,95.9,26296,45.7,37783,65.7,18565,32.3,8603,15,12087,21,231175.17,4.02,54480,"-1636.57","-0.03","-0.04","-0.02"
