no2,,,
2024,,,
annual mean,,,
ug m-3,,,
,,,
gridcode,x,y,no22024
55671,460500,1219500,0.6950168
56360,459500,1218500,0.6974769
56361,460500,1218500,0.7050532
56362,461500,1218500,0.7141622
56363,462500,1218500,0.7188565
56364,463500,1218500,0.7279512
57050,459500,1217500,0.7236183
57051,460500,1217500,0.735011
57052,461500,1217500,0.7526704
57053,462500,1217500,0.7509983
57054,463500,1217500,0.7523766
57055,464500,1217500,0.7385849
57056,465500,1217500,0.7335797
57057,466500,1217500,0.7289426
57740,459500,1216500,0.732406
57741,460500,1216500,0.7455871
57742,461500,1216500,0.7580506
57743,462500,1216500,0.7692079
57744,463500,1216500,0.7607046
57745,464500,1216500,0.7511845
57746,465500,1216500,0.7515069
57747,466500,1216500,0.7407464
58428,457500,1215500,0.7284324
58429,458500,1215500,0.7367206
58430,459500,1215500,0.746162
58431,460500,1215500,0.7620528
58432,461500,1215500,0.757414
58433,462500,1215500,0.7737079
58434,463500,1215500,0.7728401
58435,464500,1215500,0.7681662
58436,465500,1215500,0.7746826
58437,466500,1215500,0.7672272
58438,467500,1215500,0.7507102
59118,457500,1214500,0.7390375
59119,458500,1214500,0.7489805
59120,459500,1214500,0.7574233
59121,460500,1214500,0.7736343
59122,461500,1214500,0.7842056
59123,462500,1214500,0.7811424
59124,463500,1214500,0.7830566
59125,464500,1214500,0.7936419
59126,465500,1214500,0.7825102
59127,466500,1214500,0.7532102
59808,457500,1213500,0.7508882
59809,458500,1213500,0.7606834
59810,459500,1213500,0.768235
59811,460500,1213500,0.7804386
59812,461500,1213500,0.8011119
59813,462500,1213500,0.7969064
59814,463500,1213500,0.8046919
59815,464500,1213500,0.8346476
59816,465500,1213500,0.7893813
59817,466500,1213500,0.7701634
60497,456500,1212500,0.7472247
60498,457500,1212500,0.7621666
60499,458500,1212500,0.7712118
60500,459500,1212500,0.7782408
60501,460500,1212500,0.7861622
60502,461500,1212500,0.8006555
60503,462500,1212500,0.8106906
60504,463500,1212500,0.8264132
60505,464500,1212500,0.8075587
60506,465500,1212500,0.7924453
60507,466500,1212500,0.7748808
61188,457500,1211500,0.7680544
61189,458500,1211500,0.7821966
61190,459500,1211500,0.7897569
61191,460500,1211500,0.7970837
61192,461500,1211500,0.7976945
61193,462500,1211500,0.8111373
61194,463500,1211500,0.8209609
61195,464500,1211500,0.8069255
61196,465500,1211500,0.7888889
61197,466500,1211500,0.7810645
61878,457500,1210500,0.7792697
61879,458500,1210500,0.792922
61880,459500,1210500,0.8058478
61881,460500,1210500,0.808959
61882,461500,1210500,0.8101739
61883,462500,1210500,0.817631
61884,463500,1210500,0.8464016
61885,464500,1210500,0.8353584
62568,457500,1209500,0.7996894
62569,458500,1209500,0.8107078
62570,459500,1209500,0.8204653
62571,460500,1209500,0.8410117
62572,461500,1209500,0.8480984
62573,462500,1209500,0.8657638
62574,463500,1209500,0.8904878
62575,464500,1209500,0.8769629
62576,465500,1209500,0.8258581
63258,457500,1208500,0.8235011
63259,458500,1208500,0.8286096
63260,459500,1208500,0.8326266
63261,460500,1208500,0.8642719
63262,461500,1208500,0.8786319
63263,462500,1208500,0.8863787
63264,463500,1208500,1.054904
63265,464500,1208500,0.8558552
63266,465500,1208500,0.8207631
63267,466500,1208500,0.8061224
63947,456500,1207500,0.844377
63948,457500,1207500,0.8551965
63949,458500,1207500,0.8481388
63950,459500,1207500,0.8441911
63951,460500,1207500,0.8579665
63952,461500,1207500,0.8611488
63953,462500,1207500,0.878199
63954,463500,1207500,0.8738622
63955,464500,1207500,0.8500125
63956,465500,1207500,0.8123796
63957,466500,1207500,0.7971038
64628,447500,1206500,0.7283908
64629,448500,1206500,0.7380375
64632,451500,1206500,0.7565137
64633,452500,1206500,0.7703997
64637,456500,1206500,0.8878813
64638,457500,1206500,0.8884892
64639,458500,1206500,0.8657441
64640,459500,1206500,0.8614623
64641,460500,1206500,0.8633771
64642,461500,1206500,0.8538305
64643,462500,1206500,0.8533561
64644,463500,1206500,0.8563799
64645,464500,1206500,0.8284945
64646,465500,1206500,0.8016861
65318,447500,1205500,0.7338647
65319,448500,1205500,0.7447967
65320,449500,1205500,0.7556124
65321,450500,1205500,0.7678961
65322,451500,1205500,0.777797
65323,452500,1205500,0.7893258
65324,453500,1205500,0.82772
65325,454500,1205500,0.8703285
65327,456500,1205500,0.9381668
65328,457500,1205500,0.9189271
65329,458500,1205500,0.8892087
65330,459500,1205500,0.8819369
65331,460500,1205500,0.8858138
65332,461500,1205500,0.8583523
65333,462500,1205500,0.8524279
65334,463500,1205500,0.8394201
66008,447500,1204500,0.7358015
66009,448500,1204500,0.7463783
66010,449500,1204500,0.7604763
66011,450500,1204500,0.7828065
66012,451500,1204500,0.8023394
66013,452500,1204500,0.8252746
66014,453500,1204500,0.8761457
66015,454500,1204500,0.9542294
66016,455500,1204500,1.04339
66017,456500,1204500,0.983736
66018,457500,1204500,0.9426931
66019,458500,1204500,0.91975
66020,459500,1204500,0.9242212
66021,460500,1204500,0.8880795
66022,461500,1204500,0.866403
66023,462500,1204500,0.8457625
66024,463500,1204500,0.8253924
66698,447500,1203500,0.7387048
66699,448500,1203500,0.7481573
66700,449500,1203500,0.7591154
66701,450500,1203500,0.7788362
66702,451500,1203500,0.7985291
66703,452500,1203500,0.8416913
66704,453500,1203500,0.9171622
66705,454500,1203500,1.18243
66706,455500,1203500,1.198957
66707,456500,1203500,1.035417
66708,457500,1203500,0.9833174
66709,458500,1203500,0.9515696
66710,459500,1203500,0.936666
66711,460500,1203500,0.8971179
66712,461500,1203500,0.8723872
66713,462500,1203500,0.8441427
66715,464500,1203500,0.805968
67388,447500,1202500,0.7417248
67389,448500,1202500,0.7510152
67390,449500,1202500,0.7627586
67391,450500,1202500,0.781828
67392,451500,1202500,0.807446
67393,452500,1202500,0.8588027
67394,453500,1202500,1.005422
67395,454500,1202500,2.732976
67396,455500,1202500,1.177814
67397,456500,1202500,1.025488
67398,457500,1202500,0.9684168
67399,458500,1202500,0.952184
67400,459500,1202500,0.9442587
67401,460500,1202500,0.9264019
67402,461500,1202500,0.8836834
67403,462500,1202500,0.8491664
67404,463500,1202500,0.8247395
68078,447500,1201500,0.743794
68079,448500,1201500,0.7520919
68080,449500,1201500,0.7628735
68081,450500,1201500,0.7796495
68082,451500,1201500,0.8030442
68083,452500,1201500,0.8489279
68084,453500,1201500,0.9605825
68085,454500,1201500,1.034317
68086,455500,1201500,0.9710574
68087,456500,1201500,0.9762949
68088,457500,1201500,0.9576139
68089,458500,1201500,0.9449744
68090,459500,1201500,0.9802969
68091,460500,1201500,0.9548647
68092,461500,1201500,0.9036445
68093,462500,1201500,0.8693281
68094,463500,1201500,0.8309273
68768,447500,1200500,0.7451305
68769,448500,1200500,0.7531149
68770,449500,1200500,0.7647861
68771,450500,1200500,0.7854813
68772,451500,1200500,0.8166292
68773,452500,1200500,0.8603382
68774,453500,1200500,0.9081999
68775,454500,1200500,0.9360585
68776,455500,1200500,0.9223571
68777,456500,1200500,0.973619
68778,457500,1200500,0.9414323
68779,458500,1200500,0.9419492
68780,459500,1200500,1.286892
68781,460500,1200500,0.9406622
68782,461500,1200500,0.8899057
68783,462500,1200500,0.858564
68784,463500,1200500,0.8231449
69458,447500,1199500,0.7508096
69459,448500,1199500,0.7585804
69460,449500,1199500,0.7724066
69461,450500,1199500,0.8039327
69462,451500,1199500,0.844689
69463,452500,1199500,0.8635558
69464,453500,1199500,0.8857253
69465,454500,1199500,0.9260079
69466,455500,1199500,0.9083679
69467,456500,1199500,0.9338732
69468,457500,1199500,0.9406845
69469,458500,1199500,0.9005092
69470,459500,1199500,0.933678
69471,460500,1199500,0.8913105
69472,461500,1199500,0.8441451
69473,462500,1199500,0.826599
70147,446500,1198500,0.7480961
70148,447500,1198500,0.7563944
70149,448500,1198500,0.7655274
70150,449500,1198500,0.7803705
70151,450500,1198500,0.8100806
70152,451500,1198500,0.8721866
70153,452500,1198500,0.8768905
70154,453500,1198500,0.8984368
70155,454500,1198500,0.919885
70156,455500,1198500,0.9070408
70157,456500,1198500,0.9154205
70160,459500,1198500,0.8604984
70161,460500,1198500,0.8651696
70162,461500,1198500,0.8365241
70164,463500,1198500,0.7994905
70836,445500,1197500,0.74731
70837,446500,1197500,0.7544867
70838,447500,1197500,0.762203
70839,448500,1197500,0.7713667
70840,449500,1197500,0.7862673
70841,450500,1197500,0.8125885
70842,451500,1197500,0.8540953
70843,452500,1197500,0.8683246
70844,453500,1197500,0.874725
70845,454500,1197500,0.8950137
70846,455500,1197500,0.9053779
70847,456500,1197500,0.9066216
70851,460500,1197500,0.8384028
70852,461500,1197500,0.8287895
71518,437500,1196500,0.7391707
71519,438500,1196500,0.7523391
71526,445500,1196500,0.7577376
71527,446500,1196500,0.7637544
71528,447500,1196500,0.7703856
71529,448500,1196500,0.7792405
71530,449500,1196500,0.7928118
71531,450500,1196500,0.8334261
71532,451500,1196500,0.8563165
71533,452500,1196500,0.8521874
71534,453500,1196500,0.8742582
71535,454500,1196500,0.8996642
71536,455500,1196500,0.8832617
71538,457500,1196500,0.8731678
71539,458500,1196500,0.8676671
72208,437500,1195500,0.7545466
72215,444500,1195500,0.7643501
72216,445500,1195500,0.7698287
72217,446500,1195500,0.7718188
72218,447500,1195500,0.7769921
72219,448500,1195500,0.7847856
72220,449500,1195500,0.7968197
72221,450500,1195500,0.8217461
72222,451500,1195500,0.8590867
72223,452500,1195500,0.8475741
72224,453500,1195500,0.8838266
72225,454500,1195500,0.9007223
72226,455500,1195500,0.9115615
72228,457500,1195500,0.8639353
72229,458500,1195500,0.8567651
72230,459500,1195500,0.8487232
72231,460500,1195500,0.8482217
72897,436500,1194500,0.7593573
72898,437500,1194500,0.7643073
72905,444500,1194500,0.7863145
72906,445500,1194500,0.7896472
72907,446500,1194500,0.7936042
72908,447500,1194500,0.7973602
72909,448500,1194500,0.8044466
72910,449500,1194500,0.8161002
72911,450500,1194500,0.8380322
72912,451500,1194500,0.8656869
72913,452500,1194500,0.8793837
72914,453500,1194500,0.8669896
72915,454500,1194500,0.9079159
72916,455500,1194500,0.92603
72919,458500,1194500,0.8734108
72920,459500,1194500,0.8653365
72921,460500,1194500,0.8346078
72922,461500,1194500,0.8395007
72923,462500,1194500,0.8298294
72924,463500,1194500,0.8030887
72925,464500,1194500,0.7992769
73582,431500,1193500,0.7553671
73586,435500,1193500,0.7644114
73587,436500,1193500,0.7726799
73588,437500,1193500,0.7810609
73589,438500,1193500,0.7860365
73594,443500,1193500,0.7944139
73595,444500,1193500,0.8072274
73596,445500,1193500,0.8056741
73597,446500,1193500,0.8179955
73598,447500,1193500,0.8208282
73599,448500,1193500,0.8241814
73600,449500,1193500,0.8350013
73601,450500,1193500,0.8696655
73602,451500,1193500,0.8694323
73603,452500,1193500,0.8914298
73604,453500,1193500,0.9065871
73605,454500,1193500,0.9276894
73606,455500,1193500,0.8967084
73608,457500,1193500,0.8792866
73609,458500,1193500,0.8868564
73610,459500,1193500,0.8662747
73611,460500,1193500,0.8583319
73612,461500,1193500,0.8432522
73613,462500,1193500,0.8122597
73614,463500,1193500,0.8050098
73615,464500,1193500,0.7948631
73617,466500,1193500,0.8185499
73618,467500,1193500,0.7858994
74271,430500,1192500,0.7544637
74272,431500,1192500,0.7665749
74273,432500,1192500,0.7703449
74274,433500,1192500,0.7678283
74276,435500,1192500,0.7741604
74277,436500,1192500,0.7843986
74278,437500,1192500,0.795513
74279,438500,1192500,0.7962914
74284,443500,1192500,0.8022079
74285,444500,1192500,0.8204072
74286,445500,1192500,0.8143404
74287,446500,1192500,0.8289232
74288,447500,1192500,0.8434423
74289,448500,1192500,0.8386678
74290,449500,1192500,0.8515297
74291,450500,1192500,0.884126
74292,451500,1192500,0.9047103
74293,452500,1192500,0.8986566
74294,453500,1192500,0.9049576
74295,454500,1192500,0.8889647
74296,455500,1192500,0.9143041
74297,456500,1192500,0.8713351
74298,457500,1192500,0.861084
74299,458500,1192500,0.8832585
74300,459500,1192500,0.8551368
74301,460500,1192500,0.8428658
74302,461500,1192500,0.8318996
74303,462500,1192500,0.8092303
74304,463500,1192500,0.8075837
74305,464500,1192500,0.8129289
74306,465500,1192500,1.038369
74307,466500,1192500,0.8180908
74308,467500,1192500,0.7704246
74961,430500,1191500,0.832822
74962,431500,1191500,0.8467646
74963,432500,1191500,0.8526804
74964,433500,1191500,0.8518615
74965,434500,1191500,0.8562343
74966,435500,1191500,0.8659741
74967,436500,1191500,0.8766901
74968,437500,1191500,0.8947008
74969,438500,1191500,0.8949164
74974,443500,1191500,0.9138005
74975,444500,1191500,0.9348397
74976,445500,1191500,0.9327384
74977,446500,1191500,0.9440024
74978,447500,1191500,0.9590223
74979,448500,1191500,0.9713715
74980,449500,1191500,0.9846866
74981,450500,1191500,1.000637
74982,451500,1191500,1.016699
74983,452500,1191500,1.003092
74984,453500,1191500,0.989397
74985,454500,1191500,0.9886658
74986,455500,1191500,0.9583836
74988,457500,1191500,0.8828396
74989,458500,1191500,0.8943682
74990,459500,1191500,0.8836753
74991,460500,1191500,0.8710111
74992,461500,1191500,0.8718387
74993,462500,1191500,0.85408
74994,463500,1191500,0.8489518
74995,464500,1191500,0.8440291
74996,465500,1191500,0.8375954
74997,466500,1191500,0.8183286
74998,467500,1191500,0.7888418
75651,430500,1190500,0.8473994
75652,431500,1190500,0.8585761
75653,432500,1190500,0.8612207
75654,433500,1190500,0.8624851
75655,434500,1190500,0.8705922
75656,435500,1190500,0.8829184
75657,436500,1190500,0.903749
75658,437500,1190500,0.9198849
75659,438500,1190500,0.9065238
75664,443500,1190500,0.9331831
75665,444500,1190500,0.9559261
75666,445500,1190500,0.9612742
75667,446500,1190500,0.9784468
75668,447500,1190500,0.9727867
75669,448500,1190500,0.9666635
75670,449500,1190500,0.9745213
75671,450500,1190500,1.011324
75672,451500,1190500,1.015662
75673,452500,1190500,1.008585
75674,453500,1190500,0.9739317
75675,454500,1190500,0.9606249
75679,458500,1190500,0.8635071
75680,459500,1190500,0.854912
75681,460500,1190500,0.8445762
75682,461500,1190500,0.8485094
75683,462500,1190500,0.8552577
75684,463500,1190500,0.8619713
75685,464500,1190500,0.837363
75686,465500,1190500,0.8234978
75687,466500,1190500,0.8147325
75688,467500,1190500,0.7854249
76341,430500,1189500,0.8648452
76342,431500,1189500,0.8760604
76343,432500,1189500,0.8742216
76344,433500,1189500,0.8790607
76345,434500,1189500,0.889617
76346,435500,1189500,0.9066508
76347,436500,1189500,0.9408311
76348,437500,1189500,0.9375787
76349,438500,1189500,0.9326798
76354,443500,1189500,0.9638162
76355,444500,1189500,0.9943421
76356,445500,1189500,1.019289
76357,446500,1189500,0.9910369
76358,447500,1189500,0.9897118
76359,448500,1189500,0.9901588
76360,449500,1189500,0.99417
76361,450500,1189500,1.008542
76362,451500,1189500,1.01966
76363,452500,1189500,1.012012
76364,453500,1189500,0.998103
76365,454500,1189500,0.9575655
76370,459500,1189500,0.8434132
76371,460500,1189500,0.8302374
76372,461500,1189500,0.8305864
76373,462500,1189500,0.8050951
76374,463500,1189500,0.8261541
76375,464500,1189500,0.8149796
76376,465500,1189500,0.8085033
76377,466500,1189500,0.7934878
77031,430500,1188500,0.8880271
77032,431500,1188500,0.8976004
77033,432500,1188500,0.897211
77034,433500,1188500,0.9019435
77035,434500,1188500,0.9131356
77036,435500,1188500,0.9306322
77037,436500,1188500,0.9578341
77038,437500,1188500,0.9551789
77041,440500,1188500,0.9748606
77044,443500,1188500,1.008762
77045,444500,1188500,1.043331
77046,445500,1188500,1.071106
77047,446500,1188500,1.041515
77048,447500,1188500,1.037513
77049,448500,1188500,1.036792
77050,449500,1188500,1.036615
77051,450500,1188500,1.040354
77052,451500,1188500,1.038611
77053,452500,1188500,1.030824
77054,453500,1188500,1.031708
77055,454500,1188500,0.9836653
77060,459500,1188500,0.8382143
77061,460500,1188500,0.8252737
77062,461500,1188500,0.8236694
77063,462500,1188500,0.8036514
77065,464500,1188500,0.7915531
77066,465500,1188500,0.7903677
77067,466500,1188500,0.7798362
77720,429500,1187500,0.9071432
77721,430500,1187500,0.9074371
77722,431500,1187500,0.915123
77723,432500,1187500,0.9150713
77724,433500,1187500,0.9179877
77725,434500,1187500,0.9274055
77726,435500,1187500,0.9463867
77727,436500,1187500,0.9783991
77728,437500,1187500,0.981735
77734,443500,1187500,1.036225
77735,444500,1187500,1.067986
77736,445500,1187500,1.088384
77737,446500,1187500,1.067542
77738,447500,1187500,1.064142
77739,448500,1187500,1.060885
77740,449500,1187500,1.056864
77741,450500,1187500,1.052324
77742,451500,1187500,1.050144
77743,452500,1187500,1.035119
77744,453500,1187500,1.039344
77745,454500,1187500,0.9907964
77751,460500,1187500,0.8255389
77752,461500,1187500,0.8201122
77753,462500,1187500,0.7971473
77756,465500,1187500,0.7801688
78409,428500,1186500,0.9324243
78410,429500,1186500,0.9303023
78411,430500,1186500,0.9275604
78412,431500,1186500,0.9342735
78413,432500,1186500,0.9367528
78414,433500,1186500,0.9374862
78415,434500,1186500,0.9444454
78416,435500,1186500,0.9683462
78417,436500,1186500,1.007887
78418,437500,1186500,1.005341
78424,443500,1186500,1.052157
78425,444500,1186500,1.080411
78426,445500,1186500,1.103171
78427,446500,1186500,1.085851
78428,447500,1186500,1.079859
78429,448500,1186500,1.073335
78430,449500,1186500,1.067159
78431,450500,1186500,1.058713
78432,451500,1186500,1.062337
78433,452500,1186500,1.039333
78434,453500,1186500,1.027688
78435,454500,1186500,0.9803033
79095,424500,1185500,0.8256373
79096,425500,1185500,0.8845391
79097,426500,1185500,0.8951571
79099,428500,1185500,0.9531389
79100,429500,1185500,0.9479182
79101,430500,1185500,0.9478756
79102,431500,1185500,0.9563004
79103,432500,1185500,0.9582493
79104,433500,1185500,0.9606735
79105,434500,1185500,0.9674553
79106,435500,1185500,1.007636
79107,436500,1185500,1.041189
79108,437500,1185500,1.037352
79115,444500,1185500,1.118007
79116,445500,1185500,1.143008
79117,446500,1185500,1.123551
79118,447500,1185500,1.112713
