pm10,,,
2024,,,
annual mean,,,
ug m-3 (gravimetric units),,,
,,,
gridcode,x,y,pm102024g
55671,460500,1219500,4.623059
56360,459500,1218500,4.620543
56361,460500,1218500,4.625461
56362,461500,1218500,4.627696
56363,462500,1218500,4.62926
56364,463500,1218500,4.63121
57050,459500,1217500,4.623923
57051,460500,1217500,4.629479
57052,461500,1217500,4.633279
57053,462500,1217500,4.634579
57054,463500,1217500,4.635785
57055,464500,1217500,4.638475
57056,465500,1217500,4.646223
57057,466500,1217500,4.645652
57740,459500,1216500,4.625641
57741,460500,1216500,4.632301
57742,461500,1216500,4.636396
57743,462500,1216500,4.639605
57744,463500,1216500,4.639271
57745,464500,1216500,4.646173
57746,465500,1216500,4.662136
57747,466500,1216500,4.650129
58428,457500,1215500,4.625623
58429,458500,1215500,4.626379
58430,459500,1215500,4.628753
58431,460500,1215500,4.637126
58432,461500,1215500,4.640508
58433,462500,1215500,4.64414
58434,463500,1215500,4.646131
58435,464500,1215500,4.664382
58436,465500,1215500,4.68125
58437,466500,1215500,4.655302
58438,467500,1215500,4.641559
59118,457500,1214500,4.627964
59119,458500,1214500,4.628707
59120,459500,1214500,4.632079
59121,460500,1214500,4.642561
59122,461500,1214500,4.649975
59123,462500,1214500,4.650406
59124,463500,1214500,4.657138
59125,464500,1214500,4.731849
59126,465500,1214500,4.692605
59127,466500,1214500,4.656374
59808,457500,1213500,4.630483
59809,458500,1213500,4.631618
59810,459500,1213500,4.637808
59811,460500,1213500,4.646669
59812,461500,1213500,4.65677
59813,462500,1213500,4.65751
59814,463500,1213500,4.678983
59815,464500,1213500,5.036203
59816,465500,1213500,4.700102
59817,466500,1213500,4.666244
60497,456500,1212500,4.631207
60498,457500,1212500,4.63188
60499,458500,1212500,4.633718
60500,459500,1212500,4.652156
60501,460500,1212500,4.657849
60502,461500,1212500,4.655344
60503,462500,1212500,4.66166
60504,463500,1212500,4.734103
60505,464500,1212500,4.819219
60506,465500,1212500,4.774563
60507,466500,1212500,4.667313
61188,457500,1211500,4.631671
61189,458500,1211500,4.641253
61190,459500,1211500,4.649652
61191,460500,1211500,4.717877
61192,461500,1211500,4.650807
61193,462500,1211500,4.66116
61194,463500,1211500,4.912048
61195,464500,1211500,4.988806
61196,465500,1211500,4.743044
61197,466500,1211500,4.653229
61878,457500,1210500,4.632444
61879,458500,1210500,4.678095
61880,459500,1210500,4.646841
61881,460500,1210500,4.653901
61882,461500,1210500,4.656152
61883,462500,1210500,4.67493
61884,463500,1210500,4.876339
61885,464500,1210500,4.887995
62568,457500,1209500,4.634812
62569,458500,1209500,4.640342
62570,459500,1209500,4.655033
62571,460500,1209500,4.66616
62572,461500,1209500,4.673175
62573,462500,1209500,4.768895
62574,463500,1209500,4.746371
62575,464500,1209500,5.313971
62576,465500,1209500,4.651178
63258,457500,1208500,4.637725
63259,458500,1208500,4.65098
63260,459500,1208500,4.664877
63261,460500,1208500,4.668043
63262,461500,1208500,4.677299
63263,462500,1208500,4.68012
63264,463500,1208500,4.660783
63265,464500,1208500,4.66961
63266,465500,1208500,4.649085
63267,466500,1208500,4.634706
63947,456500,1207500,4.640492
63948,457500,1207500,4.643141
63949,458500,1207500,4.700507
63950,459500,1207500,4.664096
63951,460500,1207500,4.6722
63952,461500,1207500,4.66985
63953,462500,1207500,4.660921
63954,463500,1207500,4.703996
63955,464500,1207500,4.727157
63956,465500,1207500,4.684894
