pm2.5,,,
2024,,,
annual mean,,,
ug m-3,,,
,,,
gridcode,x,y,pm252024g
55671,460500,1219500,2.995311
56360,459500,1218500,2.990555
56361,460500,1218500,2.996322
56362,461500,1218500,2.997415
56363,462500,1218500,2.998089
56364,463500,1218500,2.999147
57050,459500,1217500,2.99308
57051,460500,1217500,2.999035
57052,461500,1217500,3.001105
57053,462500,1217500,3.00137
57054,463500,1217500,3.001553
57055,464500,1217500,3.000825
57056,465500,1217500,3.000619
57057,466500,1217500,3.000274
57740,459500,1216500,2.993949
57741,460500,1216500,3.00027
57742,461500,1216500,3.002012
57743,462500,1216500,3.003873
57744,463500,1216500,3.002512
57745,464500,1216500,3.002571
57746,465500,1216500,3.003582
57747,466500,1216500,3.00174
58428,457500,1215500,2.993701
58429,458500,1215500,2.994421
58430,459500,1215500,2.995315
58431,460500,1215500,3.002222
58432,461500,1215500,3.002701
58433,462500,1215500,3.004594
58434,463500,1215500,3.004514
58435,464500,1215500,3.006447
58436,465500,1215500,3.007825
58437,466500,1215500,3.004455
58438,467500,1215500,3.001919
59118,457500,1214500,2.995317
59119,458500,1214500,2.996055
59120,459500,1214500,2.997128
59121,460500,1214500,3.004322
59122,461500,1214500,3.008054
59123,462500,1214500,3.006728
59124,463500,1214500,3.008065
59125,464500,1214500,3.019138
59126,465500,1214500,3.01365
59127,466500,1214500,3.00483
59808,457500,1213500,2.996469
59809,458500,1213500,2.997248
59810,459500,1213500,2.99863
59811,460500,1213500,3.005528
59812,461500,1213500,3.009564
59813,462500,1213500,3.008948
59814,463500,1213500,3.013113
59815,464500,1213500,3.062368
59816,465500,1213500,3.014491
59817,466500,1213500,3.007126
60497,456500,1212500,2.996363
60498,457500,1212500,2.997414
60499,458500,1212500,2.998331
60500,459500,1212500,3.000939
60501,460500,1212500,3.007104
60502,461500,1212500,3.008419
60503,462500,1212500,3.010259
60504,463500,1212500,3.021909
60505,464500,1212500,3.028348
60506,465500,1212500,3.020381
60507,466500,1212500,3.007151
61188,457500,1211500,2.998192
61189,458500,1211500,3.000129
61190,459500,1211500,3.001949
61191,460500,1211500,3.014369
61192,461500,1211500,3.008276
61193,462500,1211500,3.010572
61194,463500,1211500,3.036946
61195,464500,1211500,3.044462
61196,465500,1211500,3.016373
61197,466500,1211500,3.006263
61878,457500,1210500,2.999324
61879,458500,1210500,3.004915
61880,459500,1210500,3.003793
61881,460500,1210500,3.010708
61882,461500,1210500,3.012503
61883,462500,1210500,3.015697
61884,463500,1210500,3.036597
61885,464500,1210500,3.035661
62568,457500,1209500,3.00175
62569,458500,1209500,3.003141
62570,459500,1209500,3.006023
62571,460500,1209500,3.018778
62572,461500,1209500,3.025312
62573,462500,1209500,3.044253
62574,463500,1209500,3.031737
62575,464500,1209500,3.082872
62576,465500,1209500,3.010427
63258,457500,1208500,3.003901
63259,458500,1208500,3.005539
63260,459500,1208500,3.008067
63261,460500,1208500,3.018123
63262,461500,1208500,3.023679
63263,462500,1208500,3.030268
63264,463500,1208500,3.014238
63265,464500,1208500,3.015662
63266,465500,1208500,3.00931
63267,466500,1208500,3.006509
63947,456500,1207500,3.00612
63948,457500,1207500,3.006942
63949,458500,1207500,3.01194
63950,459500,1207500,3.00811
63951,460500,1207500,3.014737
63952,461500,1207500,3.014951
63953,462500,1207500,3.015671
63954,463500,1207500,3.019708
63955,464500,1207500,3.019193
63956,465500,1207500,3.011706
63957,466500,1207500,3.00503
64628,447500,1206500,2.995616
64629,448500,1206500,2.996883
64632,451500,1206500,2.99937
64633,452500,1206500,3.002501
64637,456500,1206500,3.010527
64638,457500,1206500,3.012532
64639,458500,1206500,3.039546
64640,459500,1206500,3.010278
64641,460500,1206500,3.015634
64642,461500,1206500,3.014913
64643,462500,1206500,3.012335
64644,463500,1206500,3.025048
64645,464500,1206500,3.008208
64646,465500,1206500,3.005246
65318,447500,1205500,2.996157
65319,448500,1205500,2.997823
65320,449500,1205500,2.999707
65321,450500,1205500,3.000001
65322,451500,1205500,3.00234
65323,452500,1205500,3.006659
65324,453500,1205500,3.010339
65325,454500,1205500,3.012204
65327,456500,1205500,3.01553
65328,457500,1205500,3.024312
65329,458500,1205500,3.010175
65330,459500,1205500,3.027922
65331,460500,1205500,3.021353
65332,461500,1205500,3.016546
65333,462500,1205500,3.011322
65334,463500,1205500,3.008989
66008,447500,1204500,2.996991
66009,448500,1204500,3.000165
66010,449500,1204500,3.000808
66011,450500,1204500,3.00365
66012,451500,1204500,3.007583
66013,452500,1204500,3.014366
66014,453500,1204500,3.02568
66015,454500,1204500,3.022542
66016,455500,1204500,3.027062
66017,456500,1204500,3.020449
66018,457500,1204500,3.016067
