ladCode,ladName,no2Mean,pm25Mean,pm10Mean
E09000001,City of London,26.4,9.2,15.8
E09000002,Barking and Dagenham,18.7,8.1,13.4
E09000003,Barnet,17.2,7.4,12.6
E09000004,Bexley,14.1,6.8,11.7
E09000005,Brent,22.3,8.6,14.2
E09000006,Bromley,13.8,6.5,11.2
E09000007,Camden,28.4,9.6,16.1
E09000008,Croydon,16.1,7.1,12.1
E09000009,Ealing,18.4,7.9,13.2
E09000010,Enfield,16.3,7.2,12.3
E09000011,Greenwich,19.2,8.2,13.8
E09000012,Hackney,24.1,9.0,15.2
E09000013,Hammersmith and Fulham,26.2,9.3,15.7
E09000014,Haringey,22.0,8.5,14.1
E09000015,Harrow,14.3,6.9,11.8
E09000016,Havering,13.2,6.4,11.0
E09000017,Hillingdon,17.4,7.5,12.7
E09000018,Hounslow,20.1,8.3,13.9
E09000019,Islington,26.0,9.3,15.6
E09000020,Kensington and Chelsea,30.4,10.1,16.8
E09000021,Kingston upon Thames,16.2,7.1,12.2
E09000022,Lambeth,23.3,8.8,14.8
E09000023,Lewisham,19.4,8.2,13.8
E09000024,Merton,17.2,7.4,12.5
E09000025,Newham,23.1,8.8,14.7
E09000026,Redbridge,16.4,7.2,12.3
E09000027,Richmond upon Thames,15.3,6.9,11.9
E09000028,Southwark,22.4,8.6,14.4
E09000029,Sutton,13.4,6.5,11.2
E09000030,Tower Hamlets,24.2,9.1,15.3
E09000031,Waltham Forest,18.1,7.8,13.1
E09000032,Wandsworth,19.3,8.2,13.8
E09000033,Westminster,36.1,10.8,17.9
E08000001,Bolton,13.8,6.3,10.9
E08000002,Bury,12.4,5.9,10.2
E08000003,Manchester,24.2,9.0,15.1
E08000004,Oldham,13.1,6.1,10.6
E08000005,Rochdale,12.2,5.8,10.0
E08000006,Salford,18.3,7.7,13.0
E08000007,Stockport,13.4,6.2,10.8
E08000008,Tameside,12.1,5.7,9.9
E08000009,Trafford,16.2,7.1,12.0
E08000010,Wigan,11.8,5.6,9.7
E08000011,Knowsley,12.1,5.7,9.9
E08000012,Liverpool,18.4,7.8,13.1
E08000013,St Helens,11.9,5.6,9.8
E08000014,Sefton,11.2,5.4,9.4
E08000015,Wirral,13.3,6.2,10.7
E08000016,Barnsley,13.2,6.1,10.6
E08000017,Doncaster,12.4,5.9,10.2
E08000018,Rotherham,13.4,6.2,10.7
E08000019,Sheffield,17.1,7.4,12.5
E08000021,Newcastle upon Tyne,16.2,7.1,12.1
E08000022,North Tyneside,12.1,5.8,10.0
E08000023,South Tyneside,12.4,5.9,10.2
E08000024,Sunderland,13.1,6.1,10.5
E08000025,Birmingham,21.4,8.4,14.0
E08000026,Coventry,17.2,7.4,12.5
E08000027,Dudley,15.1,6.8,11.6
E08000028,Sandwell,17.3,7.5,12.6
E08000029,Solihull,14.2,6.6,11.3
E08000030,Walsall,16.1,7.1,12.1
E08000031,Wolverhampton,18.2,7.8,13.1
E08000032,Bradford,16.4,7.2,12.3
E08000033,Calderdale,12.1,5.8,10.0
E08000034,Kirklees,13.2,6.1,10.6
E08000035,Leeds,19.3,8.1,13.7
E08000036,Wakefield,13.4,6.2,10.8
E08000037,Gateshead,14.1,6.6,11.3
E06000001,Hartlepool,10.2,5.1,8.8
E06000002,Middlesbrough,14.3,6.6,11.4
E06000003,Redcar and Cleveland,9.4,4.8,8.2
E06000004,Stockton-on-Tees,12.2,5.8,10.1
E06000005,Darlington,11.3,5.5,9.5
E06000006,Halton,13.4,6.2,10.7
