Period,Country,Area type,Area code,Area name,Sex,Life expectancy
2020 to 2022,England,Local Areas,E06000001,Hartlepool,Male,75.97
2020 to 2022,England,Local Areas,E06000001,Hartlepool,Female,80.08
2020 to 2022,England,Local Areas,E06000002,Middlesbrough,Male,75.43
2020 to 2022,England,Local Areas,E06000002,Middlesbrough,Female,79.48
2020 to 2022,England,Local Areas,E06000003,Redcar and Cleveland,Male,76.75
2020 to 2022,England,Local Areas,E06000003,Redcar and Cleveland,Female,81.01
2020 to 2022,England,Local Areas,E06000004,Stockton-on-Tees,Male,77.69
2020 to 2022,England,Local Areas,E06000004,Stockton-on-Tees,Female,81.15
2020 to 2022,England,Local Areas,E06000005,Darlington,Male,77.17
2020 to 2022,England,Local Areas,E06000005,Darlington,Female,81.32
2020 to 2022,England,Local Areas,E06000006,Halton,Male,77.16
2020 to 2022,England,Local Areas,E06000006,Halton,Female,80.45
2020 to 2022,England,Local Areas,E06000007,Warrington,Male,78.6
2020 to 2022,England,Local Areas,E06000007,Warrington,Female,82.27
2020 to 2022,England,Local Areas,E06000008,Blackburn with Darwen,Male,75.15
2020 to 2022,England,Local Areas,E06000008,Blackburn with Darwen,Female,80.04
2020 to 2022,England,Local Areas,E06000009,Blackpool,Male,73.41
2020 to 2022,England,Local Areas,E06000009,Blackpool,Female,78.98
2020 to 2022,England,Local Areas,E06000010,"Kingston upon Hull, City of",Male,75.04
2020 to 2022,England,Local Areas,E06000010,"Kingston upon Hull, City of",Female,79.88
2020 to 2022,England,Local Areas,E06000011,East Riding of Yorkshire,Male,79.75
2020 to 2022,England,Local Areas,E06000011,East Riding of Yorkshire,Female,83.3
2020 to 2022,England,Local Areas,E06000012,North East Lincolnshire,Male,77.81
2020 to 2022,England,Local Areas,E06000012,North East Lincolnshire,Female,81.01
2020 to 2022,England,Local Areas,E06000013,North Lincolnshire,Male,78.42
2020 to 2022,England,Local Areas,E06000013,North Lincolnshire,Female,82.94
2020 to 2022,England,Local Areas,E06000014,York,Male,79.47
2020 to 2022,England,Local Areas,E06000014,York,Female,83.37
2020 to 2022,England,Local Areas,E06000015,Derby,Male,76.98
2020 to 2022,England,Local Areas,E06000015,Derby,Female,81.41
