Location,Premise type,Rurality,Speed,% Premises,Premises,Date
UK,All,Total,Premise Base,100,32369839,Jul-25
UK,All,Total,Unclassified,0.3,81339,Jul-25
UK,All,Total,<2 Mbit/s,0.2,53771,Jul-25
UK,All,Total,<10 Mbit/s DL or <1 Mbit/s UL,1.1,340159,Jul-25
UK,All,Total,>=10 Mbit/s,99,32049406,Jul-25
UK,All,Total,>=24 Mbit/s,97.8,31670904,Jul-25
UK,All,Total,>=30 Mbit/s,97.5,31568870,Jul-25
UK,All,Total,>=100 Mbit/s,86.9,28114032,Jul-25
UK,All,Total,>=300 Mbit/s,86.4,27952254,Jul-25
UK,All,Total,Full Fibre,77.5,25092339,Jul-25
UK,All,Total,Gigabit capable,85.9,27814286,Jul-25
UK,All,Urban,Premise Base,100,27735458,Jul-25
UK,All,Urban,Unclassified,0.2,64325,Jul-25
UK,All,Urban,<2 Mbit/s,0,3490,Jul-25
UK,All,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.4,124305,Jul-25
UK,All,Urban,>=10 Mbit/s,99.6,27622189,Jul-25
UK,All,Urban,>=24 Mbit/s,98.9,27424738,Jul-25
UK,All,Urban,>=30 Mbit/s,98.8,27396550,Jul-25
UK,All,Urban,>=100 Mbit/s,91.2,25303147,Jul-25
UK,All,Urban,>=300 Mbit/s,90.7,25156478,Jul-25
UK,All,Urban,Full Fibre,80.6,22348580,Jul-25
UK,All,Urban,Gigabit capable,90.2,25026073,Jul-25
UK,All,Rural,Premise Base,100,4634381,Jul-25
UK,All,Rural,Unclassified,0.4,17014,Jul-25
UK,All,Rural,<2 Mbit/s,1.1,50281,Jul-25
UK,All,Rural,<10 Mbit/s DL or <1 Mbit/s UL,4.7,215854,Jul-25
UK,All,Rural,>=10 Mbit/s,95.5,4427217,Jul-25
UK,All,Rural,>=24 Mbit/s,91.6,4246166,Jul-25
UK,All,Rural,>=30 Mbit/s,90,4172320,Jul-25
UK,All,Rural,>=100 Mbit/s,60.7,2810885,Jul-25
UK,All,Rural,>=300 Mbit/s,60.3,2795776,Jul-25
UK,All,Rural,Full Fibre,59.2,2743759,Jul-25
UK,All,Rural,Gigabit capable,60.2,2788213,Jul-25
UK,Residential,Total,Premise Base,100,30341756,Jul-25
UK,Residential,Total,Unclassified,0.2,56348,Jul-25
UK,Residential,Total,<2 Mbit/s,0.1,43807,Jul-25
UK,Residential,Total,<10 Mbit/s DL or <1 Mbit/s UL,0.8,255131,Jul-25
UK,Residential,Total,>=10 Mbit/s,99.2,30101146,Jul-25
UK,Residential,Total,>=24 Mbit/s,98.3,29811384,Jul-25
UK,Residential,Total,>=30 Mbit/s,98,29723677,Jul-25
UK,Residential,Total,>=100 Mbit/s,88,26697319,Jul-25
UK,Residential,Total,>=300 Mbit/s,87.5,26552061,Jul-25
UK,Residential,Total,Full Fibre,78.2,23740951,Jul-25
UK,Residential,Total,Gigabit capable,87.1,26435442,Jul-25
UK,Residential,Urban,Premise Base,100,26058929,Jul-25
UK,Residential,Urban,Unclassified,0.2,44363,Jul-25
UK,Residential,Urban,<2 Mbit/s,0,1781,Jul-25
UK,Residential,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.3,80316,Jul-25
UK,Residential,Urban,>=10 Mbit/s,99.7,25986269,Jul-25
UK,Residential,Urban,>=24 Mbit/s,99.2,25846614,Jul-25
UK,Residential,Urban,>=30 Mbit/s,99.1,25823152,Jul-25
UK,Residential,Urban,>=100 Mbit/s,92.2,24036080,Jul-25
UK,Residential,Urban,>=300 Mbit/s,91.7,23904977,Jul-25
UK,Residential,Urban,Full Fibre,81.1,21144737,Jul-25
UK,Residential,Urban,Gigabit capable,91.3,23795385,Jul-25
UK,Residential,Rural,Premise Base,100,4282827,Jul-25
UK,Residential,Rural,Unclassified,0.3,11985,Jul-25
UK,Residential,Rural,<2 Mbit/s,1,42026,Jul-25
UK,Residential,Rural,<10 Mbit/s DL or <1 Mbit/s UL,4.1,174815,Jul-25
UK,Residential,Rural,>=10 Mbit/s,96.1,4114877,Jul-25
UK,Residential,Rural,>=24 Mbit/s,92.6,3964770,Jul-25
UK,Residential,Rural,>=30 Mbit/s,91.1,3900525,Jul-25
UK,Residential,Rural,>=100 Mbit/s,62.1,2661239,Jul-25
UK,Residential,Rural,>=300 Mbit/s,61.8,2647084,Jul-25
UK,Residential,Rural,Full Fibre,60.6,2596214,Jul-25
UK,Residential,Rural,Gigabit capable,61.6,2640057,Jul-25
UK,Commercial,Total,Premise Base,100,2028083,Jul-25
UK,Commercial,Total,Unclassified,1.2,24991,Jul-25
UK,Commercial,Total,<2 Mbit/s,0.5,9964,Jul-25
UK,Commercial,Total,<10 Mbit/s DL or <1 Mbit/s UL,4.2,85028,Jul-25
UK,Commercial,Total,>=10 Mbit/s,96.1,1948260,Jul-25
UK,Commercial,Total,>=24 Mbit/s,91.7,1859520,Jul-25
UK,Commercial,Total,>=30 Mbit/s,91,1845193,Jul-25
UK,Commercial,Total,>=100 Mbit/s,69.9,1416713,Jul-25
UK,Commercial,Total,>=300 Mbit/s,69,1400193,Jul-25
UK,Commercial,Total,Full Fibre,66.6,1351388,Jul-25
UK,Commercial,Total,Gigabit capable,68,1378844,Jul-25
UK,Commercial,Urban,Premise Base,100,1676529,Jul-25
UK,Commercial,Urban,Unclassified,1.2,19962,Jul-25
UK,Commercial,Urban,<2 Mbit/s,0.1,1709,Jul-25
UK,Commercial,Urban,<10 Mbit/s DL or <1 Mbit/s UL,2.6,43989,Jul-25
UK,Commercial,Urban,>=10 Mbit/s,97.6,1635920,Jul-25
UK,Commercial,Urban,>=24 Mbit/s,94.1,1578124,Jul-25
UK,Commercial,Urban,>=30 Mbit/s,93.8,1573398,Jul-25
UK,Commercial,Urban,>=100 Mbit/s,75.6,1267067,Jul-25
UK,Commercial,Urban,>=300 Mbit/s,74.6,1251501,Jul-25
UK,Commercial,Urban,Full Fibre,71.8,1203843,Jul-25
UK,Commercial,Urban,Gigabit capable,73.4,1230688,Jul-25
UK,Commercial,Rural,Premise Base,100,351554,Jul-25
UK,Commercial,Rural,Unclassified,1.4,5029,Jul-25
UK,Commercial,Rural,<2 Mbit/s,2.3,8255,Jul-25
UK,Commercial,Rural,<10 Mbit/s DL or <1 Mbit/s UL,11.7,41039,Jul-25
UK,Commercial,Rural,>=10 Mbit/s,88.8,312340,Jul-25
UK,Commercial,Rural,>=24 Mbit/s,80,281396,Jul-25
UK,Commercial,Rural,>=30 Mbit/s,77.3,271795,Jul-25
UK,Commercial,Rural,>=100 Mbit/s,42.6,149646,Jul-25
UK,Commercial,Rural,>=300 Mbit/s,42.3,148692,Jul-25
UK,Commercial,Rural,Full Fibre,42,147545,Jul-25
UK,Commercial,Rural,Gigabit capable,42.1,148156,Jul-25
England,All,Total,Premise Base,100,26986731,Jul-25
England,All,Total,Unclassified,0.2,65107,Jul-25
England,All,Total,<2 Mbit/s,0.1,33225,Jul-25
England,All,Total,<10 Mbit/s DL or <1 Mbit/s UL,0.9,245367,Jul-25
England,All,Total,>=10 Mbit/s,99.1,26756260,Jul-25
England,All,Total,>=24 Mbit/s,98,26445390,Jul-25
England,All,Total,>=30 Mbit/s,97.7,26363033,Jul-25
England,All,Total,>=100 Mbit/s,87.7,23673502,Jul-25
England,All,Total,>=300 Mbit/s,87.2,23528147,Jul-25
England,All,Total,Full Fibre,77.9,21020569,Jul-25
England,All,Total,Gigabit capable,86.7,23404863,Jul-25
England,All,Urban,Premise Base,100,23568135,Jul-25
England,All,Urban,Unclassified,0.2,56585,Jul-25
England,All,Urban,<2 Mbit/s,0,2850,Jul-25
England,All,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.5,108460,Jul-25
England,All,Urban,>=10 Mbit/s,99.6,23469028,Jul-25
England,All,Urban,>=24 Mbit/s,98.8,23294720,Jul-25
England,All,Urban,>=30 Mbit/s,98.7,23271165,Jul-25
England,All,Urban,>=100 Mbit/s,91.7,21605699,Jul-25
England,All,Urban,>=300 Mbit/s,91.1,21474276,Jul-25
England,All,Urban,Full Fibre,80.7,19012573,Jul-25
England,All,Urban,Gigabit capable,90.6,21357852,Jul-25
England,All,Rural,Premise Base,100,3418596,Jul-25
England,All,Rural,Unclassified,0.2,8522,Jul-25
England,All,Rural,<2 Mbit/s,0.9,30375,Jul-25
England,All,Rural,<10 Mbit/s DL or <1 Mbit/s UL,4,136907,Jul-25
England,All,Rural,>=10 Mbit/s,96.2,3287232,Jul-25
England,All,Rural,>=24 Mbit/s,92.2,3150670,Jul-25
England,All,Rural,>=30 Mbit/s,90.4,3091868,Jul-25
England,All,Rural,>=100 Mbit/s,60.5,2067803,Jul-25
England,All,Rural,>=300 Mbit/s,60.1,2053871,Jul-25
England,All,Rural,Full Fibre,58.7,2007996,Jul-25
England,All,Rural,Gigabit capable,59.9,2047011,Jul-25
England,Residential,Total,Premise Base,100,25308060,Jul-25
England,Residential,Total,Unclassified,0.2,44230,Jul-25
England,Residential,Total,<2 Mbit/s,0.1,26101,Jul-25
England,Residential,Total,<10 Mbit/s DL or <1 Mbit/s UL,0.7,178946,Jul-25
England,Residential,Total,>=10 Mbit/s,99.3,25139938,Jul-25
England,Residential,Total,>=24 Mbit/s,98.4,24902225,Jul-25
England,Residential,Total,>=30 Mbit/s,98.1,24831504,Jul-25
England,Residential,Total,>=100 Mbit/s,88.8,22467179,Jul-25
England,Residential,Total,>=300 Mbit/s,88.3,22336231,Jul-25
England,Residential,Total,Full Fibre,78.5,19870848,Jul-25
England,Residential,Total,Gigabit capable,87.8,22231693,Jul-25
England,Residential,Urban,Premise Base,100,22150650,Jul-25
England,Residential,Urban,Unclassified,0.2,38908,Jul-25
England,Residential,Urban,<2 Mbit/s,0,1459,Jul-25
England,Residential,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.3,71310,Jul-25
England,Residential,Urban,>=10 Mbit/s,99.7,22085943,Jul-25
England,Residential,Urban,>=24 Mbit/s,99.1,21960152,Jul-25
England,Residential,Urban,>=30 Mbit/s,99.1,21940370,Jul-25
England,Residential,Urban,>=100 Mbit/s,92.6,20509750,Jul-25
England,Residential,Urban,>=300 Mbit/s,92.1,20391934,Jul-25
England,Residential,Urban,Full Fibre,81.1,17971455,Jul-25
England,Residential,Urban,Gigabit capable,91.6,20293831,Jul-25
England,Residential,Rural,Premise Base,100,3157410,Jul-25
England,Residential,Rural,Unclassified,0.2,5322,Jul-25
England,Residential,Rural,<2 Mbit/s,0.8,24642,Jul-25
England,Residential,Rural,<10 Mbit/s DL or <1 Mbit/s UL,3.4,107636,Jul-25
England,Residential,Rural,>=10 Mbit/s,96.7,3053995,Jul-25
England,Residential,Rural,>=24 Mbit/s,93.2,2942073,Jul-25
England,Residential,Rural,>=30 Mbit/s,91.6,2891134,Jul-25
England,Residential,Rural,>=100 Mbit/s,62,1957429,Jul-25
England,Residential,Rural,>=300 Mbit/s,61.6,1944297,Jul-25
England,Residential,Rural,Full Fibre,60.2,1899393,Jul-25
England,Residential,Rural,Gigabit capable,61.4,1937862,Jul-25
England,Commercial,Total,Premise Base,100,1678671,Jul-25
England,Commercial,Total,Unclassified,1.2,20877,Jul-25
England,Commercial,Total,<2 Mbit/s,0.4,7124,Jul-25
England,Commercial,Total,<10 Mbit/s DL or <1 Mbit/s UL,4,66421,Jul-25
England,Commercial,Total,>=10 Mbit/s,96.3,1616322,Jul-25
