devolved_const,devolved_const_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
W09000022,Aberavon Assembly,33521,33479,98.2,87.8,87.8,74.7,87.8,0.1,0.2,0.3,1.7,0,99.1,30.6,32908,29425,29425,25030,29425,36,68,97,571,16,33214,10264,10.4,87.8,0.1,0.1,0.1,1.4,3483,29425,36,32,29,474
W09000003,Aberconwy Assembly,30686,30660,96.9,83.4,83.4,83.4,83.4,0.5,1,1.5,3,0.6,98.6,44.6,29734,25602,25602,25602,25602,145,306,469,926,184,30268,13691,13.5,83.4,0.5,0.5,0.5,1.5,4132,25602,145,161,163,457
S16000074,Aberdeen Central,53644,53564,98.3,94.4,94,93,93,0,0,0,1.6,0,98.4,0,52707,50656,50419,49908,49908,0,0,0,857,7,52763,0,4.3,94,0,0,0,1.6,2288,50419,0,0,0,857
S16000075,Aberdeen Donside,44060,44051,98.5,95.4,95.4,95.3,95.3,0.1,0.1,0.2,1.5,0,98.9,0,43397,42055,42027,41995,41995,23,62,102,654,8,43574,0,3.1,95.4,0.1,0.1,0.1,1.3,1370,42027,23,39,40,552
S16000076,Aberdeen South and North Kincardine,41688,41678,97.7,84.2,84.1,84.1,84.1,0.3,0.7,0.8,2.3,0.2,99.6,0,40712,35103,35079,35071,35071,110,273,349,966,93,41522,0,13.5,84.1,0.3,0.4,0.2,1.5,5633,35079,110,163,76,617
S16000077,Aberdeenshire East,39496,39374,90.3,43.9,43.9,43.9,43.9,1.3,2.8,5.2,9.4,1.5,97.1,0,35669,17355,17355,17355,17355,507,1118,2057,3705,583,38362,0,46.4,43.9,1.3,1.5,2.4,4.2,18314,17355,507,611,939,1648
S16000078,Aberdeenshire West,37328,37181,84.9,26.6,26.3,26.2,26.2,2.2,4.8,8,14.8,2.8,94.4,0,31675,9920,9835,9772,9772,820,1788,2986,5506,1036,35221,0,58.5,26.3,2.2,2.6,3.2,6.8,21840,9835,820,968,1198,2520
S16000079,Airdrie and Shotts,34264,34221,98.2,92,92,81.9,92,0,0.2,0.5,1.7,0.1,99.3,0,33649,31519,31519,28074,31519,17,81,164,572,51,34018,0,6.2,92,0,0.2,0.2,1.2,2130,31519,17,64,83,408
S16000080,Almond Valley,43575,43553,97.8,92.1,91.2,67.7,90.7,0.1,0.4,1,2.2,0.1,98.6,0,42603,40143,39757,29522,39537,63,175,455,950,25,42945,0,6.5,91.2,0.1,0.3,0.6,1.1,2846,39757,63,112,280,495
W09000007,Alyn and Deeside Assembly,41097,41015,98.2,92.4,91.5,91.1,91.1,0.2,0.5,0.9,1.6,0.1,99,41.1,40362,37977,37598,37427,37427,81,196,366,653,38,40697,16881,6.7,91.5,0.2,0.3,0.4,0.7,2764,37598,81,115,170,287
S16000081,Angus North and Mearns,37752,37710,94.1,58,58,58,58,0.6,1.7,3.3,5.8,0.9,97.7,0,35539,21912,21912,21912,21912,231,644,1250,2171,321,36873,0,36.1,58,0.6,1.1,1.6,2.4,13627,21912,231,413,606,921
S16000082,Angus South,37892,37767,88,59.1,59,45.2,59,1.3,3.1,5.9,11.6,1.2,95.6,0,33355,22389,22362,17110,22358,483,1179,2247,4412,454,36220,0,29,59,1.3,1.8,2.8,5.7,10993,22362,483,696,1068,2165
W09000002,Arfon Assembly,29826,29761,95.9,72.6,70.7,69.3,69.3,0.4,1,1.9,3.9,0.2,97.4,21.2,28591,21666,21090,20671,20671,122,305,577,1170,68,29053,6331,25.1,70.7,0.4,0.6,0.9,2,7501,21090,122,183,272,593
S16000083,Argyll and Bute,43864,43337,84.6,11.1,11.1,11.1,11.1,3.1,4.7,7.3,14.2,2.8,92.6,0,37130,4876,4876,4876,4876,1341,2073,3192,6207,1228,40628,3,73.5,11.1,3.1,1.7,2.6,6.9,32254,4876,1341,732,1119,3015
S16000084,Ayr,41920,41914,99.5,90.4,89.7,71.8,89.1,0,0,0,0.5,0,99.9,0,41713,37877,37587,30084,37331,1,12,20,201,0,41858,0,9.8,89.7,0,0,0,0.4,4126,37587,1,11,8,181
S16000085,Banffshire and Buchan Coast,40881,40815,92.7,51.8,51.8,51.8,51.8,1,2.4,4.2,7.2,0.9,97.4,0,37880,21162,21162,21162,21162,410,985,1720,2935,363,39821,0,40.9,51.8,1,1.4,1.8,3,16718,21162,410,575,735,1215
N06000001,Belfast East,49224,49218,99.3,96.3,96.3,93.5,96.3,0.1,0.2,0.3,0.7,0,99.3,0,48859,47395,47395,46025,47395,41,85,146,359,6,48893,0,3,96.3,0.1,0.1,0.1,0.4,1464,47395,41,44,61,213
N06000002,Belfast North,54222,54217,99,96.2,96.2,93.6,96.2,0,0,0.5,1,0,99,0,53686,52141,52140,50767,52141,0,7,287,531,0,53706,0,2.9,96.2,0,0,0.5,0.5,1546,52140,0,7,280,244
N06000003,Belfast South,60744,60728,98.8,95.5,95.5,90.6,95.5,0,0,0.1,1.2,0,98.8,0,59988,57992,57991,55041,57992,0,11,82,740,8,60008,0,3.3,95.5,0,0,0.1,1.1,1997,57991,0,11,71,658
N06000004,Belfast West,43932,43929,99.5,94.9,94.9,92.5,94.9,0,0.1,0.1,0.5,0,99.5,0,43699,41675,41675,40638,41675,0,29,46,230,0,43718,0,4.6,94.9,0,0.1,0,0.4,2024,41675,0,29,17,184
W09000038,Blaenau Gwent Assembly,35473,35435,98.4,70,69.3,68.7,68.7,0.1,0.2,0.4,1.5,0,99.6,0,34910,24832,24581,24373,24373,19,71,145,525,15,35342,2,29.1,69.3,0.1,0.1,0.2,1.1,10329,24581,19,52,74,380
W09000041,Brecon and Radnorshire Assembly,37631,37146,86.3,46.9,46.9,46.9,46.9,2.5,5.2,7.4,12.4,2.2,92.4,2.9,32481,17663,17663,17663,17663,937,1959,2766,4665,818,34784,1084,39.4,46.9,2.5,2.7,2.1,5,14818,17663,937,1022,807,1899
W09000023,Bridgend Assembly,40018,39992,99.1,93.1,92.6,91.9,91.9,0,0.1,0.2,0.8,0,99.5,20.1,39653,37250,37054,36796,36796,2,46,85,339,1,39830,8039,6.5,92.6,0,0.1,0.1,0.6,2599,37054,2,44,39,254
W09000035,Caerphilly Assembly,40753,40717,99.4,87.3,86.9,86.6,86.6,0,0.1,0.1,0.6,0,99.9,38.5,40491,35597,35430,35287,35287,8,26,43,226,3,40712,15692,12.4,86.9,0,0,0,0.4,5061,35430,8,18,17,183
