devolved_const,devolved_const_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
W09000022,Aberavon Assembly,31648,31640,99.2,90.2,90.2,76.6,90.2,0.1,0.1,0.1,0.7,0,99.8,30.7,31405,28539,28539,24252,28539,17,31,46,235,6,31587,9722,9.1,90.2,0.1,0,0,0.6,2866,28539,17,14,15,189
W09000003,Aberconwy Assembly,27958,27947,97.1,84.4,84.4,84.4,84.4,0.4,0.9,1.4,2.8,0.6,98.8,44.1,27157,23594,23594,23594,23594,124,249,391,790,154,27613,12328,12.7,84.4,0.4,0.4,0.5,1.4,3563,23594,124,125,142,399
S16000074,Aberdeen Central,49767,49696,98.2,94.3,93.8,92.8,92.8,0,0,0,1.7,0,98.3,0,48859,46923,46699,46200,46200,0,0,0,837,6,48915,0,4.3,93.8,0,0,0,1.7,2160,46699,0,0,0,837
S16000075,Aberdeen Donside,42231,42229,98.7,96.2,96.2,96.1,96.1,0,0,0.1,1.3,0,99.1,0,41692,40635,40608,40579,40579,4,18,37,537,3,41846,0,2.6,96.2,0,0,0,1.2,1084,40608,4,14,19,500
S16000076,Aberdeen South and North Kincardine,39928,39927,97.8,84.2,84.2,84.2,84.2,0.2,0.6,0.8,2.2,0.2,99.7,0,39039,33632,33609,33601,33601,99,252,317,888,83,39793,0,13.6,84.2,0.2,0.4,0.2,1.4,5430,33609,99,153,65,571
S16000077,Aberdeenshire East,37539,37453,90.4,44.1,44.1,44.1,44.1,1.3,2.8,5.2,9.4,1.5,97.3,0,33937,16565,16565,16565,16565,476,1057,1960,3516,546,36509,0,46.3,44.1,1.3,1.5,2.4,4.1,17372,16565,476,581,903,1556
S16000078,Aberdeenshire West,34667,34591,85.5,27.2,27,26.8,26.8,2.2,4.7,7.8,14.3,2.6,94.7,0,29628,9434,9349,9286,9286,748,1641,2692,4963,916,32837,0,58.5,27,2.2,2.6,3,6.6,20279,9349,748,893,1051,2271
S16000079,Airdrie and Shotts,32848,32823,98.8,93.5,93.5,83.1,93.5,0,0.2,0.4,1.1,0.1,99.8,0,32451,30717,30717,27303,30717,16,68,140,372,43,32774,0,5.3,93.5,0,0.2,0.2,0.7,1734,30717,16,52,72,232
S16000080,Almond Valley,41299,41298,99.2,94.9,94.1,69.5,93.7,0.1,0.2,0.3,0.8,0,99.8,0,40988,39192,38876,28706,38708,44,98,136,310,14,41234,0,5.1,94.1,0.1,0.1,0.1,0.4,2112,38876,44,54,38,174
W09000007,Alyn and Deeside Assembly,38349,38315,98.9,94.1,93.3,93,93,0.1,0.3,0.4,1,0.1,99.7,40.5,37938,36094,35784,35654,35654,53,123,170,377,25,38217,15525,5.6,93.3,0.1,0.2,0.1,0.5,2154,35784,53,70,47,207
S16000081,Angus North and Mearns,35124,35103,94.4,58.1,58.1,58.1,58.1,0.6,1.6,3.2,5.6,0.7,97.8,0,33145,20423,20423,20423,20423,207,578,1112,1958,255,34348,0,36.2,58.1,0.6,1.1,1.5,2.4,12722,20423,207,371,534,846
S16000082,Angus South,35801,35700,88.6,60.6,60.5,46,60.5,1.2,3,5.7,11.2,1.1,95.8,0,31708,21694,21672,16479,21671,440,1068,2040,3992,411,34312,0,28,60.5,1.2,1.8,2.7,5.5,10036,21672,440,628,972,1952
W09000002,Arfon Assembly,27149,27107,96.9,73.6,71.7,70.5,70.5,0.3,0.9,1.5,3,0.1,98.3,22.1,26298,19987,19465,19151,19151,95,232,401,809,32,26685,6011,25.2,71.7,0.3,0.5,0.6,1.5,6833,19465,95,137,169,408
S16000083,Argyll and Bute,37285,36945,86.1,10.8,10.8,10.8,10.8,2.5,4,6.3,13,2.1,93.7,0,32114,4029,4029,4029,4029,920,1479,2354,4831,779,34924,3,75.3,10.8,2.5,1.5,2.3,6.6,28085,4029,920,559,875,2477
S16000084,Ayr,39820,39817,99.7,91.7,91.1,72.4,90.5,0,0,0,0.3,0,99.9,0,39681,36516,36259,28814,36033,0,9,11,136,0,39796,0,8.6,91.1,0,0,0,0.3,3422,36259,0,9,2,125
S16000085,Banffshire and Buchan Coast,37886,37858,92.6,52.4,52.4,52.4,52.4,1,2.5,4.3,7.3,0.9,97.5,0,35101,19845,19845,19845,19845,394,937,1626,2757,334,36926,0,40.3,52.4,1,1.4,1.8,3,15256,19845,394,543,689,1131
N06000001,Belfast East,46246,46240,99.8,98.3,98.3,95.5,98.3,0,0,0,0.2,0,99.8,0,46159,45458,45458,44181,45458,0,1,14,81,1,46175,0,1.5,98.3,0,0,0,0.1,701,45458,0,1,13,67
N06000002,Belfast North,50840,50840,99.5,98.2,98.2,95.7,98.2,0,0,0.3,0.5,0,99.6,0,50605,49903,49903,48647,49903,0,0,150,235,0,50615,0,1.4,98.2,0,0,0.3,0.2,702,49903,0,0,150,85
N06000003,Belfast South,54882,54875,99.8,98.1,98.1,93.5,98.1,0,0,0,0.2,0,99.8,0,54789,53858,53858,51290,53858,0,0,9,86,3,54793,0,1.7,98.1,0,0,0,0.1,931,53858,0,0,9,77
N06000004,Belfast West,40811,40811,99.9,97.2,97.2,95.2,97.2,0,0.1,0.1,0.1,0,99.9,0,40760,39654,39654,38838,39654,0,27,28,51,0,40771,0,2.7,97.2,0,0.1,0,0.1,1106,39654,0,27,1,23
W09000038,Blaenau Gwent Assembly,33209,33206,98.9,72.1,71.4,70.9,70.9,0,0.1,0.2,1.1,0,99.9,0,32832,23938,23727,23554,23554,14,31,70,374,0,33181,1,27.4,71.4,0,0.1,0.1,0.9,9105,23727,14,17,39,304
W09000041,Brecon and Radnorshire Assembly,34176,33762,86.5,48.2,48.2,48.2,48.2,2.5,5.3,7.4,12.3,2.1,92.7,2.9,29564,16477,16477,16477,16477,848,1814,2546,4198,732,31679,993,38.3,48.2,2.5,2.8,2.1,4.8,13087,16477,848,966,732,1652
W09000023,Bridgend Assembly,38015,38013,99.6,95.2,94.8,94.2,94.2,0,0,0.1,0.4,0,100,19.9,37857,36201,36040,35808,35808,1,19,35,156,0,37999,7553,4.8,94.8,0,0,0,0.3,1817,36040,1,18,16,121
W09000035,Caerphilly Assembly,38945,38939,99.5,88.3,88,87.9,87.9,0,0,0.1,0.5,0,100,39,38748,34379,34281,34229,34229,5,15,29,191,3,38938,15186,11.5,88,0,0,0,0.4,4467,34281,5,10,14,162
