laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
S12000033,Aberdeen City,131931,131834,98.3,92.4,92.2,91.8,91.8,0,0.1,0.2,1.6,0,98.9,0,129733,121901,121612,121061,121061,53,148,217,2101,44,130507,0,6.2,92.2,0,0.1,0.1,1.4,8121,121612,53,95,69,1884
S12000034,Aberdeenshire,130643,130292,89.9,43.5,43.4,43.4,43.4,1.4,3.2,5.6,9.8,1.6,96.7,0,117477,56835,56750,56687,56687,1867,4202,7260,12815,2064,126293,0,46.5,43.4,1.4,1.8,2.3,4.3,60727,56750,1867,2335,3058,5555
E07000223,Adur,30303,30253,99.1,95.3,95.3,78,95.3,0,0,0.1,0.8,0,99.5,0,30021,28864,28864,23627,28864,0,12,25,232,5,30145,0,3.8,95.3,0,0,0,0.7,1157,28864,0,12,13,207
E07000032,Amber Valley,64382,64295,98.2,88.5,88.3,88.1,88.1,0.1,0.3,0.4,1.6,0.1,99.5,0,63244,56957,56867,56700,56703,38,165,241,1051,67,64056,0,9.9,88.3,0.1,0.2,0.1,1.3,6377,56867,38,127,76,810
S12000041,Angus,62388,62238,90.3,58.6,58.6,50.2,58.6,1,2.5,4.8,9.5,1.1,96.1,0,56331,36581,36554,31307,36550,609,1572,3016,5907,671,59948,0,31.7,58.6,1,1.5,2.3,4.6,19777,36554,609,963,1444,2891
N09000001,Antrim and Newtownabbey,66466,66419,99.6,96.8,96.8,96.3,96.7,0,0.1,0.1,0.3,0,99.8,0,66191,64325,64307,64004,64303,31,63,82,228,20,66363,0,2.8,96.8,0,0,0,0.2,1884,64307,31,32,19,146
N09000011,Ards and North Down,79531,79420,99.5,95.8,95.8,95.4,95.8,0,0.1,0.1,0.3,0.1,99.8,0,79149,76181,76181,75873,76181,23,53,100,271,45,79411,0,3.7,95.8,0,0,0.1,0.2,2968,76181,23,30,47,171
S12000035,Argyll and Bute,57993,57431,87.5,21.1,21.1,21.1,21.1,2.3,3.7,5.8,11.5,2.2,94,0,50747,12255,12255,12254,12255,1362,2174,3371,6684,1265,54500,3,66.4,21.1,2.3,1.4,2.1,5.7,38492,12255,1362,812,1197,3313
N09000002,"Armagh City, Banbridge and Craigavon",96997,95860,97.7,92.1,92.1,92.1,92.1,0.1,0.3,0.4,1.1,0.4,98.6,0.2,94749,89367,89367,89367,89367,121,281,422,1111,394,95685,146,5.5,92.1,0.1,0.2,0.1,0.7,5382,89367,121,160,141,689
E07000224,Arun,83075,83028,98.3,76,74.8,74.1,74.1,0,0.1,0.1,1.6,0.1,99.9,0,81681,63117,62152,61545,61565,27,58,122,1347,52,82997,0,23.5,74.8,0,0,0.1,1.5,19529,62152,27,31,64,1225
E07000170,Ashfield,60950,60927,99.2,94.8,94.7,68.3,94.7,0,0.2,0.3,0.7,0,99.8,0,60479,57761,57743,41599,57711,19,133,161,448,5,60804,1,4.5,94.7,0,0.2,0,0.5,2736,57743,19,114,28,287
