laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
S12000033,Aberdeen City,124861,124787,98.4,92.5,92.3,91.9,91.9,0,0.1,0.1,1.5,0,99,0,122863,115553,115279,114743,114743,30,98,144,1924,36,123583,0,6.1,92.3,0,0.1,0,1.4,7584,115279,30,68,46,1780
S12000034,Aberdeenshire,122471,122281,90.2,44,43.9,43.9,43.9,1.4,3.2,5.5,9.7,1.5,96.9,0,110459,53860,53775,53712,53712,1737,3923,6713,11822,1843,118632,0,46.3,43.9,1.4,1.8,2.3,4.2,56684,53775,1737,2186,2790,5109
E07000223,Adur,28746,28703,99.3,95.8,95.8,77.7,95.8,0,0,0.1,0.6,0,99.7,0,28535,27544,27544,22349,27544,0,11,23,168,5,28647,0,3.4,95.8,0,0,0,0.5,991,27544,0,11,12,145
E07000032,Amber Valley,60306,60271,98.7,90.5,90.3,90.2,90.2,0,0.2,0.3,1.3,0.1,99.7,0,59511,54552,54472,54371,54374,29,130,173,760,45,60147,0,8.4,90.3,0,0.2,0.1,1,5039,54472,29,101,43,587
S12000041,Angus,58419,58300,90.7,59.7,59.6,50.7,59.6,0.9,2.4,4.7,9.1,1,96.3,0,52957,34854,34832,29644,34831,548,1410,2726,5343,596,56239,0,31,59.6,0.9,1.5,2.3,4.5,18125,34832,548,862,1316,2617
N09000001,Antrim and Newtownabbey,62814,62769,99.7,98.2,98.2,97.8,98.2,0,0.1,0.1,0.3,0,99.9,0,62599,61713,61711,61436,61707,26,52,61,170,17,62739,0,1.4,98.2,0,0,0,0.2,888,61711,26,26,9,109
N09000011,Ards and North Down,75334,75240,99.6,96.9,96.9,96.5,96.9,0,0.1,0.1,0.3,0.1,99.9,0,74996,73004,73004,72724,73004,19,49,94,244,43,75237,0,2.6,96.9,0,0,0.1,0.2,1992,73004,19,30,45,150
S12000035,Argyll and Bute,50403,50045,89,21.8,21.8,21.8,21.8,1.9,3.1,4.9,10.3,1.6,95,0,44862,10968,10968,10967,10968,935,1555,2487,5183,801,47878,3,67.2,21.8,1.9,1.2,1.8,5.3,33894,10968,935,620,932,2696
N09000002,"Armagh City, Banbridge and Craigavon",89965,89301,98.2,94,94,94,94,0.1,0.3,0.4,1.1,0.3,99.1,0.2,88311,84576,84576,84576,84576,110,257,386,990,281,89145,142,4.2,94,0.1,0.2,0.1,0.7,3735,84576,110,147,129,604
E07000224,Arun,79253,79236,98.6,77,75.8,75.1,75.1,0,0.1,0.1,1.4,0.1,99.9,0,78140,61009,60074,59508,59528,24,48,105,1096,45,79210,0,22.8,75.8,0,0,0.1,1.3,18066,60074,24,24,57,991
E07000170,Ashfield,57774,57765,99.4,95.4,95.4,67.6,95.4,0,0.2,0.2,0.6,0,99.8,0,57446,55145,55128,39064,55098,7,98,110,319,3,57674,1,4,95.4,0,0.2,0,0.4,2318,55128,7,91,12,209
E07000105,Ashford,57312,57286,95,76.5,75.8,68.5,75.3,0.3,1,1.7,5,0.3,99.1,51,54421,43824,43443,39246,43170,161,560,978,2865,182,56818,29244,19.2,75.8,0.3,0.7,0.7,3.3,10978,43443,161,399,418,1887
E07000200,Babergh,43601,43585,97.8,72.2,72.1,72.1,72.1,0.2,0.4,0.5,2.1,0.1,99.6,8.1,42650,31486,31434,31416,31419,82,163,235,935,62,43448,3536,25.7,72.1,0.2,0.2,0.2,1.6,11216,31434,82,81,72,700
E09000002,Barking and Dagenham,81816,81796,99.4,95.5,95.5,89.8,95.5,0,0.2,0.3,0.5,0,99.4,0,81360,78156,78155,73474,78155,12,176,274,436,1,81362,0,3.9,95.5,0,0.2,0.1,0.2,3205,78155,12,164,98,162
