parl_const,parl_const_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
W07000081,Aberafan Maesteg,45434,45395,98.6,89.4,89.4,82,89.4,0.1,0.2,0.2,1.3,0,99.5,22.4,44815,40604,40604,37235,40604,43,79,106,580,19,45205,10189,9.3,89.4,0.1,0.1,0.1,1,4211,40604,43,36,27,474
S14000060,Aberdeen North,63261,63223,98.6,94.9,94.6,94.3,94.3,0,0.1,0.2,1.4,0,98.9,0,62347,60042,59869,59648,59648,23,62,101,876,8,62582,0,3.9,94.6,0,0.1,0.1,1.2,2478,59869,23,39,39,775
S14000061,Aberdeen South,68670,68611,98.1,90.1,89.9,89.4,89.4,0,0.1,0.2,1.8,0.1,98.9,0,67386,61859,61743,61413,61413,30,86,116,1225,36,67925,0,8.2,89.9,0,0.1,0,1.6,5643,61743,30,56,30,1109
S14000062,Aberdeenshire North and Moray East,52133,52055,91.4,43.9,43.9,43.9,43.9,1.2,2.6,4.6,8.4,0.9,97.7,0,47669,22902,22902,22902,22902,640,1381,2408,4386,481,50908,0,47.5,43.9,1.2,1.4,2,3.8,24767,22902,640,741,1027,1978
S14000063,Airdrie and Shotts,45569,45523,98.3,92.6,92.6,80.3,92.6,0,0.2,0.4,1.6,0.1,99.4,0,44795,42192,42192,36590,42192,14,85,167,728,56,45297,0,5.7,92.6,0,0.2,0.2,1.2,2603,42192,14,71,82,561
E14001063,Aldershot,52514,52491,98.6,94.4,94.4,86.2,94.4,0,0.5,1,1.3,0,98.8,0,51794,49566,49566,45260,49566,18,284,532,697,9,51907,0,4.2,94.4,0,0.5,0.5,0.3,2228,49566,18,266,248,165
E14001064,Aldridge-Brownhills,40792,40762,99,94.3,93.7,88.6,93.3,0,0,0.2,0.9,0,99.5,0,40386,38468,38211,36141,38065,1,9,94,376,2,40572,0,5.3,93.7,0,0,0.2,0.7,2175,38211,1,8,85,282
S14000064,Alloa and Grangemouth,47579,47560,99.1,92.7,92.1,77.7,91.8,0,0.1,0.2,0.8,0,99.7,0,47161,44091,43832,36989,43693,8,38,76,399,12,47445,0,7,92.1,0,0.1,0.1,0.7,3329,43832,8,30,38,323
E14001065,Altrincham and Sale West,45695,45673,99,95,94.1,91.3,92.8,0,0.1,0.2,1,0,99.4,0.5,45221,43418,43012,41721,42411,13,40,78,452,0,45435,248,4.8,94.1,0,0.1,0.1,0.8,2209,43012,13,27,38,374
W07000082,Alyn and Deeside,49699,49611,98.2,92.5,91.7,91.4,91.4,0.2,0.5,1,1.7,0.1,99,34.3,48790,45965,45586,45419,45419,89,244,487,821,43,49190,17038,6.4,91.7,0.2,0.3,0.5,0.7,3204,45586,89,155,243,334
E14001066,Amber Valley,46056,45989,98.6,91.5,91.5,91.5,91.5,0,0.1,0.2,1.2,0.1,99.7,0,45417,42148,42143,42139,42141,12,46,83,572,27,45913,0,7.1,91.5,0,0.1,0.1,1.1,3274,42143,12,34,37,489
S14000065,Angus and Perthshire Glens,56125,55885,87.6,39.2,39.2,39.2,39.2,1.1,3.2,6.2,12,1.6,94.5,0,49162,22000,22000,21998,22000,640,1814,3491,6723,887,53011,2,48.4,39.2,1.1,2.1,3,5.8,27162,22000,640,1174,1677,3232
S14000066,Arbroath and Broughty Ferry,51447,51370,94.9,78.3,78.1,59.9,78,0.5,1.2,2.4,4.9,0.4,98.5,0,48826,40292,40182,30827,40114,246,606,1237,2544,222,50677,0,16.8,78.1,0.5,0.7,1.2,2.5,8644,40182,246,360,631,1307
S14000067,"Argyll, Bute and South Lochaber",61558,60807,86.5,20.8,20.8,20.8,20.8,2.6,4.1,6.4,12.3,2.4,93.5,0,53232,12809,12809,12808,12809,1577,2538,3919,7575,1455,57528,3,65.7,20.8,2.6,1.6,2.2,5.9,40423,12809,1577,961,1381,3656
E14001067,Arundel and South Downs,48811,48750,93.7,49.9,49.6,49.3,49.3,0.4,0.9,1.7,6.1,0.5,99.4,0,45752,24362,24202,24040,24040,202,452,852,2998,239,48499,0,44.1,49.6,0.4,0.5,0.8,4.4,21550,24202,202,250,400,2146
E14001068,Ashfield,46127,46105,99.1,93.7,93.7,61.9,93.7,0,0.3,0.3,0.9,0,99.7,0,45692,43233,43215,28553,43210,19,132,157,413,4,45985,1,5.4,93.7,0,0.2,0.1,0.6,2477,43215,19,113,25,256
E14001069,Ashford,47983,47950,96.3,85.5,84.7,76.6,84.1,0.3,0.8,1.4,3.6,0.2,98.3,57,46224,41045,40646,36758,40347,134,403,669,1726,74,47159,27335,11.6,84.7,0.3,0.6,0.6,2.2,5578,40646,134,269,266,1057
E14001070,Ashton-under-Lyne,50084,49876,99.1,96.1,95.9,91,95.7,0,0,0,0.5,0.1,99.5,0,49634,48154,48035,45596,47941,0,7,22,242,46,49835,0,3.2,95.9,0,0,0,0.4,1599,48035,0,7,15,220
