parl_const,parl_const_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed
W07000081,Aberafan Maesteg,43209,43204,99.3,91.3,91.3,83.7,91.3,0.1,0.1,0.2,0.7,0,99.9,22.4,42889,39447,39447,36169,39447,25,49,72,315,9,43157,9667,8,91.3,0.1,0.1,0.1,0.6,3442,39447,25,24,23,243
S14000060,Aberdeen North,60861,60831,98.7,95.5,95.2,94.9,94.9,0,0,0.1,1.2,0,99.1,0,60072,58104,57944,57733,57733,4,18,36,759,3,60284,0,3.5,95.2,0,0,0,1.2,2128,57944,4,14,18,723
S14000061,Aberdeen South,64000,63956,98.1,89.8,89.6,89.1,89.1,0,0.1,0.2,1.8,0.1,98.9,0,62791,57449,57335,57010,57010,26,80,108,1165,33,63299,0,8.5,89.6,0,0.1,0,1.7,5456,57335,26,54,28,1057
S14000062,Aberdeenshire North and Moray East,48470,48435,91.4,44.4,44.4,44.4,44.4,1.2,2.7,4.7,8.5,0.9,97.7,0,44324,21530,21530,21530,21530,602,1302,2261,4111,442,47366,0,47,44.4,1.2,1.4,2,3.8,22794,21530,602,700,959,1850
S14000063,Airdrie and Shotts,43738,43711,98.8,94.2,94.2,81.5,94.2,0,0.1,0.3,1.1,0.1,99.8,0,43228,41192,41192,35631,41192,13,64,136,483,43,43651,0,4.7,94.2,0,0.1,0.2,0.8,2036,41192,13,51,72,347
E14001063,Aldershot,49863,49862,99.3,96,96,87.7,96,0,0.3,0.5,0.7,0,99.5,0,49512,47881,47881,43705,47881,6,173,227,350,6,49603,0,3.3,96,0,0.3,0.1,0.2,1631,47881,6,167,54,123
E14001064,Aldridge-Brownhills,38989,38980,99.2,95.3,94.7,89.6,94.4,0,0,0.2,0.8,0,99.6,0,38681,37176,36940,34915,36821,0,5,78,299,1,38841,0,4.5,94.7,0,0,0.2,0.6,1741,36940,0,5,73,221
S14000064,Alloa and Grangemouth,45728,45715,99.4,94.2,93.8,78.9,93.5,0,0.1,0.1,0.5,0,99.9,0,45468,43070,42871,36058,42746,8,29,58,247,7,45686,0,5.7,93.8,0,0,0.1,0.4,2597,42871,8,21,29,189
E14001065,Altrincham and Sale West,42972,42966,99.2,95.7,94.8,92.2,93.8,0,0.1,0.2,0.8,0,99.6,0.5,42638,41111,40740,39629,40292,12,35,70,328,0,42815,235,4.4,94.8,0,0.1,0.1,0.6,1898,40740,12,23,35,258
W07000082,Alyn and Deeside,46445,46410,98.8,94.1,93.5,93.2,93.2,0.1,0.4,0.6,1.1,0.1,99.6,33.8,45892,43717,43407,43277,43277,61,168,266,518,30,46236,15676,5.4,93.5,0.1,0.2,0.2,0.5,2485,43407,61,107,98,252
