laua,laua_name,Full-fibre take-up (% of full-fibre coverage),Full-fibre take-up (% of all premises)
S12000033,Aberdeen City,53,49
S12000034,Aberdeenshire,58,25
E07000223,Adur,40,31
E07000032,Amber Valley,49,43
S12000041,Angus,38,19
N09000001,Antrim and Newtownabbey,63,61
N09000011,Ards and North Down,72,68
S12000035,Argyll and Bute,45,10
N09000002,"Armagh City, Banbridge and Craigavon",70,64
E07000224,Arun,39,29
E07000170,Ashfield,28,19
E07000105,Ashford,54,36
E07000200,Babergh,42,30
E09000002,Barking and Dagenham,55,49
E09000003,Barnet,33,22
E08000016,Barnsley,30,24
E07000066,Basildon,44,33
E07000084,Basingstoke and Deane,50,34
E07000171,Bassetlaw,43,31
E06000022,Bath and North East Somerset,36,25
E06000055,Bedford,44,30
N09000003,Belfast,44,40
E09000004,Bexley,50,42
E08000025,Birmingham,31,26
E07000129,Blaby,32,29
E06000008,Blackburn with Darwen,24,21
E06000009,Blackpool,16,10
W06000019,Blaenau Gwent,48,33
E07000033,Bolsover,38,33
E08000001,Bolton,29,25
E07000136,Boston,37,29
E06000058,"Bournemouth, Christchurch and Poole",28,22
E06000036,Bracknell Forest,44,42
E08000032,Bradford,32,28
E07000067,Braintree,46,41
E07000143,Breckland,57,37
E09000005,Brent,33,25
E07000068,Brentwood,53,45
W06000013,Bridgend,52,46
E06000043,Brighton and Hove,26,16
E06000023,"Bristol, City of",40,32
E07000144,Broadland,44,30
E09000006,Bromley,42,25
E07000234,Bromsgrove,59,46
E07000095,Broxbourne,27,21
E07000172,Broxtowe,38,33
E06000060,Buckinghamshire,40,29
E07000117,Burnley,35,31
E08000002,Bury,53,49
W06000018,Caerphilly,56,49
E08000033,Calderdale,27,20
E07000008,Cambridge,29,25
E09000007,Camden,22,19
E07000192,Cannock Chase,53,50
E07000106,Canterbury,48,35
W06000015,Cardiff,42,35
W06000010,Carmarthenshire,56,39
E07000069,Castle Point,30,21
N09000004,Causeway Coast and Glens,67,62
E06000056,Central Bedfordshire,49,33
W06000008,Ceredigion,59,29
E07000130,Charnwood,27,20
E07000070,Chelmsford,48,38
E07000078,Cheltenham,32,26
E07000177,Cherwell,52,40
E06000049,Cheshire East,53,41
E06000050,Cheshire West and Chester,58,50
E07000034,Chesterfield,42,36
E07000225,Chichester,47,30
E07000118,Chorley,51,44
S12000036,City of Edinburgh,36,30
E09000001,City of London,50,41
S12000005,Clackmannanshire,61,52
E07000071,Colchester,36,22
W06000003,Conwy,59,51
E06000052,Cornwall,55,34
E07000079,Cotswold,53,35
E06000047,County Durham,43,35
E08000026,Coventry,55,53
E07000226,Crawley,27,18
E09000008,Croydon,38,22
E06000063,Cumberland,36,26
E07000096,Dacorum,46,29
E06000005,Darlington,42,32
E07000107,Dartford,44,29
W06000004,Denbighshire,64,50
E06000015,Derby,37,32
E07000035,Derbyshire Dales,43,25
N09000005,Derry City and Strabane,61,56
E08000017,Doncaster,47,44
E06000059,Dorset,41,29
E07000108,Dover,49,35
E08000027,Dudley,19,17
S12000006,Dumfries and Galloway,48,25
S12000042,Dundee City,29,25
E09000009,Ealing,33,23
S12000008,East Ayrshire,55,41
E07000009,East Cambridgeshire,60,47
E07000040,East Devon,48,35
S12000045,East Dunbartonshire,35,26
E07000085,East Hampshire,46,28
E07000242,East Hertfordshire,36,24
E07000137,East Lindsey,40,22
S12000010,East Lothian,55,48
S12000011,East Renfrewshire,35,30
E06000011,East Riding of Yorkshire,65,59
E07000193,East Staffordshire,46,35
E07000244,East Suffolk,46,38
E07000061,Eastbourne,30,26
E07000086,Eastleigh,31,20
E07000207,Elmbridge,41,27
E09000010,Enfield,23,11
E07000072,Epping Forest,44,31
E07000208,Epsom and Ewell,55,49
E07000036,Erewash,37,34
E07000041,Exeter,46,36
S12000014,Falkirk,35,23
E07000087,Fareham,34,29
E07000010,Fenland,38,31
N09000006,Fermanagh and Omagh,60,54
S12000047,Fife,49,33
W06000005,Flintshire,66,59
E07000112,Folkestone and Hythe,41,29
E07000080,Forest of Dean,41,32
E07000119,Fylde,62,56
E08000037,Gateshead,22,16
E07000173,Gedling,41,33
S12000049,Glasgow City,37,33
