Level,Location code,Location,4G5G_105_prem_out_at_least_one,4G5G_95_prem_out_at_least_one,4G5G_105_prem_out_all,4G5G_95_prem_out_all,4G5G_105_geo_out_at_least_one,4G5G_95_geo_out_at_least_one,4G5G_105_geo_out_all,4G5G_95_geo_out_all
UK,K02000001,UK,99.97,99.64,98.95,89.29,95.7,88.42,81.66,51.26
Nation,E92000001,England,99.98,99.7,99.14,89.97,98.84,94.5,90.52,59.41
Nation,N92000002,Northern Ireland,99.85,98.84,97.4,76.77,98.33,92.41,86.31,50.73
Nation,S92000003,Scotland,99.96,99.66,98.58,90.28,89.78,78.07,67.32,38.97
Nation,W92000004,Wales,99.88,99.08,97.2,82.77,96.55,86.75,77.16,46.93
Local authority,S12000033,Aberdeen City,100,100,99.82,96.91,99.99,98.95,97.38,80.24
Local authority,S12000034,Aberdeenshire,99.93,99.13,96.67,75.39,94.57,85.67,78.13,47.89
Local authority,E07000223,Adur,100,99.99,99.83,94.69,99.79,94.46,86.55,65.5
Local authority,E07000032,Amber Valley,100,99.93,99.6,91.97,99.98,99.05,97.21,75.65
Local authority,S12000041,Angus,99.96,99.49,98.55,88.74,90.45,81.04,68.58,44.17
Local authority,N09000001,Antrim and Newtownabbey,100,99.78,99.39,85.9,99.98,98.9,96.4,64.48
Local authority,N09000011,Ards and North Down,100,99.9,99.81,84.05,100,99.4,99.05,72.04
Local authority,S12000035,Argyll and Bute,99.76,98.26,93.28,75.25,89.47,75.96,60.98,30.57
Local authority,N09000002,"Armagh City, Banbridge and Craigavon",99.93,98.77,98.4,70.94,99.69,95.74,94.05,55.7
Local authority,E07000224,Arun,100,99.89,99.8,96.26,99.41,92.68,90.04,69.27
Local authority,E07000170,Ashfield,100,99.99,99.99,93.7,100,99.25,98.14,81.26
Local authority,E07000105,Ashford,99.97,99.27,98.08,76.93,99.74,95.44,92.04,47.76
Local authority,E07000200,Babergh,99.98,99.09,96.74,72.52,99.98,96.55,94.07,53.62
Local authority,E09000002,Barking and Dagenham,100,100,100,98.13,100,100,100,97.6
Local authority,E09000003,Barnet,100,100,100,98.99,100,100,99.99,96.11
Local authority,E08000016,Barnsley,100,99.92,99.86,90.41,99.66,96.95,95.06,71.9
Local authority,E07000066,Basildon,100,100,100,96.62,100,99.91,99.96,91.06
Local authority,E07000084,Basingstoke and Deane,99.99,99.84,98.88,90,99.94,97.58,94.65,62.27
Local authority,E07000171,Bassetlaw,100,99.03,99.55,80.2,100,98.12,96.35,63.01
Local authority,E06000022,Bath and North East Somerset,99.97,99.29,99.28,85.51,99.92,96.79,94.63,70.87
Local authority,E06000055,Bedford,100,99.83,99.66,87.68,100,98.82,97.96,67.73
Local authority,N09000003,Belfast,100,100,99.89,95.68,100,99.9,98.27,85.76
Local authority,E09000004,Bexley,100,100,100,98.29,100,99.98,99.36,95.11
Local authority,E08000025,Birmingham,100,100,99.99,99.25,100,99.9,99.41,94.9
Local authority,E07000129,Blaby,100,99.99,99.97,90.57,100,99.99,99.76,92.62
Local authority,E06000008,Blackburn with Darwen,100,99.97,99.91,97.79,99.95,97.77,95.59,74.99
Local authority,E06000009,Blackpool,100,100,100,97.49,100,100,99.94,92.92
Local authority,W06000019,Blaenau Gwent,100,99.91,99.59,90.41,99.94,97.66,95,76.92
Local authority,E07000033,Bolsover,100,99.81,99.22,75.9,100,98.32,97.41,68.57
Local authority,E08000001,Bolton,100,100,99.99,97.58,100,99.75,99.34,91.06
Local authority,E07000136,Boston,100,99.7,99.72,79.07,100,97.89,99.46,48.41
Local authority,E06000058,"Bournemouth, Christchurch and Poole",100,100,99.93,94.81,100,99.95,97.95,84.1
Local authority,E06000036,Bracknell Forest,100,99.98,100,95.73,100,98.83,96.92,70.83
Local authority,E08000032,Bradford,100,99.95,99.92,95.54,99.93,98.23,97.28,81.17
Local authority,E07000067,Braintree,100,99.15,99.08,82.82,99.96,94.25,94.71,54
