Location,Technology,Coverage type,Rurality,MNO,Coverage percentage,Coverage volume,Date
UK,4G,Premises (Indoor),Total,All,88.31,28574561,Jul-25
UK,4G,Premises (Indoor),Total,At least one,99.62,32232446,Jul-25
UK,4G,Premises (Indoor),Total,EE,96.60,31256514,Jul-25
UK,4G,Premises (Indoor),Total,None,0.38,123462,Jul-25
UK,4G,Premises (Indoor),Total,O2,95.40,30866003,Jul-25
UK,4G,Premises (Indoor),Total,Three,94.27,30501974,Jul-25
UK,4G,Premises (Indoor),Total,Vodafone,96.67,31279054,Jul-25
UK,4G,Premises (Indoor),Urban,All,93.55,25822102,Jul-25
UK,4G,Premises (Indoor),Urban,At least one,99.98,27595610,Jul-25
UK,4G,Premises (Indoor),Urban,EE,98.70,27241432,Jul-25
UK,4G,Premises (Indoor),Urban,None,0.02,5648,Jul-25
UK,4G,Premises (Indoor),Urban,O2,97.75,26980169,Jul-25
UK,4G,Premises (Indoor),Urban,Three,97.02,26778568,Jul-25
UK,4G,Premises (Indoor),Urban,Vodafone,98.89,27294374,Jul-25
UK,4G,Premises (Indoor),Rural,All,57.89,2752459,Jul-25
UK,4G,Premises (Indoor),Rural,At least one,97.52,4636836,Jul-25
UK,4G,Premises (Indoor),Rural,EE,84.45,4015082,Jul-25
UK,4G,Premises (Indoor),Rural,None,2.48,117814,Jul-25
UK,4G,Premises (Indoor),Rural,O2,81.73,3885834,Jul-25
UK,4G,Premises (Indoor),Rural,Three,78.31,3723406,Jul-25
UK,4G,Premises (Indoor),Rural,Vodafone,83.81,3984680,Jul-25
UK,4G,Premises (Outdoor),Total,All,98.87,31989231,Jul-25
UK,4G,Premises (Outdoor),Total,At least one,99.97,32347002,Jul-25
UK,4G,Premises (Outdoor),Total,EE,99.72,32265215,Jul-25
UK,4G,Premises (Outdoor),Total,None,0.03,8906,Jul-25
UK,4G,Premises (Outdoor),Total,O2,99.60,32226951,Jul-25
UK,4G,Premises (Outdoor),Total,Three,99.45,32176980,Jul-25
UK,4G,Premises (Outdoor),Total,Vodafone,99.69,32256801,Jul-25
UK,4G,Premises (Outdoor),Urban,All,99.77,27538328,Jul-25
UK,4G,Premises (Outdoor),Urban,At least one,100.00,27601219,Jul-25
UK,4G,Premises (Outdoor),Urban,EE,99.97,27593557,Jul-25
UK,4G,Premises (Outdoor),Urban,None,0.00,39,Jul-25
UK,4G,Premises (Outdoor),Urban,O2,99.96,27589108,Jul-25
UK,4G,Premises (Outdoor),Urban,Three,99.85,27559334,Jul-25
UK,4G,Premises (Outdoor),Urban,Vodafone,99.98,27596463,Jul-25
UK,4G,Premises (Outdoor),Rural,All,93.61,4450903,Jul-25
UK,4G,Premises (Outdoor),Rural,At least one,99.81,4745783,Jul-25
UK,4G,Premises (Outdoor),Rural,EE,98.25,4671658,Jul-25
UK,4G,Premises (Outdoor),Rural,None,0.19,8867,Jul-25
UK,4G,Premises (Outdoor),Rural,O2,97.54,4637843,Jul-25
UK,4G,Premises (Outdoor),Rural,Three,97.12,4617646,Jul-25
UK,4G,Premises (Outdoor),Rural,Vodafone,98.02,4660338,Jul-25
UK,4G,Geographic,Total,All,81.20,19759995,Jul-25
UK,4G,Geographic,Total,At least one,95.75,23301281,Jul-25
UK,4G,Geographic,Total,EE,89.77,21845919,Jul-25
UK,4G,Geographic,Total,None,4.25,1033219,Jul-25
UK,4G,Geographic,Total,O2,88.67,21578581,Jul-25
UK,4G,Geographic,Total,Three,89.87,21870159,Jul-25
UK,4G,Geographic,Total,Vodafone,90.09,21922368,Jul-25
UK,4G,Geographic,Urban,All,98.15,2721623,Jul-25
UK,4G,Geographic,Urban,At least one,99.91,2770454,Jul-25
UK,4G,Geographic,Urban,EE,99.17,2749952,Jul-25
UK,4G,Geographic,Urban,None,0.09,2591,Jul-25
UK,4G,Geographic,Urban,O2,99.14,2749066,Jul-25
UK,4G,Geographic,Urban,Three,99.42,2756827,Jul-25
UK,4G,Geographic,Urban,Vodafone,99.60,2761968,Jul-25
UK,4G,Geographic,Rural,All,79.02,17038372,Jul-25
UK,4G,Geographic,Rural,At least one,95.22,20530827,Jul-25
UK,4G,Geographic,Rural,EE,88.57,19095967,Jul-25
UK,4G,Geographic,Rural,None,4.78,1030628,Jul-25
UK,4G,Geographic,Rural,O2,87.33,18829515,Jul-25
UK,4G,Geographic,Rural,Three,88.65,19113332,Jul-25
UK,4G,Geographic,Rural,Vodafone,88.86,19160400,Jul-25
UK,5G High Confidence,Premises (Outdoor),Total,All,46.81,15146929,Jul-25
UK,5G High Confidence,Premises (Outdoor),Total,At least one,97.00,31385642,Jul-25
UK,5G High Confidence,Premises (Outdoor),Total,EE,89.22,28868298,Jul-25
UK,5G High Confidence,Premises (Outdoor),Total,None,3.00,970266,Jul-25
UK,5G High Confidence,Premises (Outdoor),Total,O2,75.76,24514402,Jul-25
UK,5G High Confidence,Premises (Outdoor),Total,Three,70.82,22915783,Jul-25
UK,5G High Confidence,Premises (Outdoor),Total,Vodafone,64.07,20730090,Jul-25
UK,5G High Confidence,Premises (Outdoor),Urban,All,53.26,14701250,Jul-25
UK,5G High Confidence,Premises (Outdoor),Urban,At least one,99.11,27354567,Jul-25
UK,5G High Confidence,Premises (Outdoor),Urban,EE,93.10,25696593,Jul-25
UK,5G High Confidence,Premises (Outdoor),Urban,None,0.89,246691,Jul-25
UK,5G High Confidence,Premises (Outdoor),Urban,O2,79.63,21980026,Jul-25
UK,5G High Confidence,Premises (Outdoor),Urban,Three,77.73,21454438,Jul-25
UK,5G High Confidence,Premises (Outdoor),Urban,Vodafone,70.62,19490996,Jul-25
UK,5G High Confidence,Premises (Outdoor),Rural,All,9.37,445679,Jul-25
UK,5G High Confidence,Premises (Outdoor),Rural,At least one,84.78,4031075,Jul-25
UK,5G High Confidence,Premises (Outdoor),Rural,EE,66.71,3171705,Jul-25
UK,5G High Confidence,Premises (Outdoor),Rural,None,15.22,723575,Jul-25
UK,5G High Confidence,Premises (Outdoor),Rural,O2,53.30,2534376,Jul-25
UK,5G High Confidence,Premises (Outdoor),Rural,Three,30.74,1461345,Jul-25
UK,5G High Confidence,Premises (Outdoor),Rural,Vodafone,26.06,1239094,Jul-25
UK,5G High Confidence,Geographic,Total,All,6.84,1664160,Jul-25
UK,5G High Confidence,Geographic,Total,At least one,65.19,15864069,Jul-25
UK,5G High Confidence,Geographic,Total,EE,49.42,12025701,Jul-25
UK,5G High Confidence,Geographic,Total,None,34.81,8470431,Jul-25
UK,5G High Confidence,Geographic,Total,O2,40.03,9740012,Jul-25
UK,5G High Confidence,Geographic,Total,Three,23.01,5599488,Jul-25
UK,5G High Confidence,Geographic,Total,Vodafone,17.03,4143249,Jul-25
UK,5G High Confidence,Geographic,Urban,All,35.17,975408,Jul-25
UK,5G High Confidence,Geographic,Urban,At least one,97.40,2700958,Jul-25
UK,5G High Confidence,Geographic,Urban,EE,87.39,2423248,Jul-25
UK,5G High Confidence,Geographic,Urban,None,2.60,72087,Jul-25
UK,5G High Confidence,Geographic,Urban,O2,73.10,2026976,Jul-25
UK,5G High Confidence,Geographic,Urban,Three,63.77,1768349,Jul-25
UK,5G High Confidence,Geographic,Urban,Vodafone,53.92,1495171,Jul-25
UK,5G High Confidence,Geographic,Rural,All,3.19,688752,Jul-25
UK,5G High Confidence,Geographic,Rural,At least one,61.05,13163111,Jul-25
UK,5G High Confidence,Geographic,Rural,EE,44.54,9602453,Jul-25
UK,5G High Confidence,Geographic,Rural,None,38.95,8398344,Jul-25
UK,5G High Confidence,Geographic,Rural,O2,35.77,7713036,Jul-25
UK,5G High Confidence,Geographic,Rural,Three,17.77,3831139,Jul-25
UK,5G High Confidence,Geographic,Rural,Vodafone,12.28,2648078,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Total,All,23.92,7739041,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Total,At least one,93.91,30384319,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Total,EE,85.85,27776103,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Total,None,6.09,1971589,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Total,O2,69.51,22490842,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Total,Three,39.26,12703405,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Total,Vodafone,51.38,16624771,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Urban,All,27.62,7623909,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Urban,At least one,97.57,26931406,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Urban,EE,90.85,25075781,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Urban,None,2.43,669852,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Urban,O2,74.59,20586630,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Urban,Three,43.90,12117473,Jul-25
UK,5G Very High Confidence,Premises (Outdoor),Urban,Vodafone,58.01,16010213,Jul-25
