devolved_const,devolved_const_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4,5G_SA_high_confidence_prem_out_0,5G_SA_high_confidence_prem_out_1,5G_SA_high_confidence_prem_out_2,5G_SA_high_confidence_prem_out_3,5G_SA_high_confidence_prem_out_4,5G_SA_high_confidence_geo_out_0,5G_SA_high_confidence_geo_out_1,5G_SA_high_confidence_geo_out_2,5G_SA_high_confidence_geo_out_3,5G_SA_high_confidence_geo_out_4,5G_SA_very_high_confidence_prem_out_0,5G_SA_very_high_confidence_prem_out_1,5G_SA_very_high_confidence_prem_out_2,5G_SA_very_high_confidence_prem_out_3,5G_SA_very_high_confidence_prem_out_4,5G_SA_very_high_confidence_geo_out_0,5G_SA_very_high_confidence_geo_out_1,5G_SA_very_high_confidence_geo_out_2,5G_SA_very_high_confidence_geo_out_3,5G_SA_very_high_confidence_geo_out_4
W09000022,Aberavon,33521,17841,991,289,985,0.18,0.52,3.3,96,1.88,4.7,17.91,75.5,4.09,5.44,18.7,71.77,6.16,8.38,20.18,65.29,1.04,2.77,21.8,74.39,5.48,5.48,21.32,67.72,,15.01,84.99,,,0.73,27.91,71.36,,,0.93,28.19,70.88,,,2.72,34.21,63.07,,,,22.84,77.16,,,2.64,32.18,65.18,,,,0.13,0.22,0.96,98.69,0.76,1.11,1.75,6.29,90.09,0.91,2.3,4.09,10.49,82.22,1.41,4.44,4.24,13.32,76.59,,0.35,3.81,9.34,86.51,1.42,4.47,3.35,11.17,79.59,,,0.03,0.62,99.35,0.59,0.27,0.51,3.51,95.13,0.13,1.23,2.35,8.92,87.37,1.01,2.12,3.33,8.38,85.17,,,,8.65,91.35,1.02,2.13,3.15,6.7,87.01,3.09,35.66,48.33,12.91,,19.63,31.46,32.88,16.02,0.01,5.92,74.67,19.38,0.04,,35.64,48.59,14.67,1.09,,7.53,69.03,23.45,,,35.64,38.73,25.63,,,11.21,87.13,1.66,,,49.6,45.35,5.05,,
W09000003,Aberconwy,30686,60382,2422,,1412,1.53,0.78,4.21,93.48,3.54,10.3,25.39,60.77,13.11,9.91,17.31,59.67,12.47,15.28,26.05,46.2,,,,,6.52,12.75,27.97,52.76,0.83,40.39,58.78,,,1.75,66.78,31.47,,,10.07,42.45,47.48,,,11.02,49.92,39.06,,,,,,,,3.61,52.05,44.33,,,0.66,0.71,0.35,4.84,93.44,1.7,1.72,3.36,16.63,76.59,4.92,7.47,7.76,10.72,69.13,5.99,8.71,10.4,21.06,53.84,,,,,,2.12,4.25,12.61,20.96,60.06,0.35,0.75,0.37,0.81,97.71,1.14,1.28,1.7,6.59,89.28,3.08,6.25,7.46,9,74.22,3.76,8.26,8.13,12.39,67.46,,,,,,0.14,3.61,9.99,13.17,73.09,7.77,54.42,11.81,25.84,0.16,55.75,40.48,2.78,0.97,0.02,14.21,61.97,7.63,16.19,,69.54,28.92,1.07,0.46,,60.6,39.4,,,,95.83,4.17,,,,69.29,30.71,,,,98.09,1.91,,,
S16000074,Aberdeen Central,53644,1686,412,,293,,,0.03,99.97,,,7.26,92.74,,,0.18,99.82,,,6.55,93.45,,,,,,,6.83,93.17,,28.71,71.29,,,,76.07,23.93,,,,32.92,67.08,,,,68.2,31.8,,,,,,,,,68.26,31.74,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100,,,,9.28,90.72,,,,5.22,94.78,,0.16,3.53,56.27,40.04,,0.06,2.02,49.58,48.34,,,7.88,92.12,,,,15.12,84.88,,,1.57,44.91,53.53,,,1.19,46.56,52.25,
S16000075,Aberdeen Donside,44060,9182,679,,518,,0,2.8,97.19,0.02,0.39,20.34,79.24,0.01,0.21,9.63,90.15,,2.5,22.39,75.11,,,,,,2.12,21.62,76.25,,52.82,47.18,,,0,77.61,22.38,,,,52.84,47.16,,,,84.68,15.32,,,,,,,,,83.59,16.41,,,,,0,0.01,99.99,0,0.02,0.15,2.07,97.76,,,0.07,2.44,97.5,,,0.15,5.01,94.85,,,,,,,,,3.86,96.14,,,,0.01,99.99,0,,0.03,2.02,97.95,,,,2.29,97.71,,,,3.98,96.02,,,,,,,,,2.9,97.1,0.02,0.06,1.13,14.03,84.76,0.87,3.34,18.18,31.28,46.33,0.05,2.22,11.09,37.31,49.34,4.35,11.45,28.82,35.41,19.98,0.05,3.65,25.37,70.93,,2.64,21.1,30.77,45.5,,0.96,8.8,45.2,45.03,,10.02,29.68,33.4,26.9,
S16000076,Aberdeen South and North Kincardine,41688,18655,1150,,767,0,0.06,3.15,96.79,0.67,2.19,25.54,71.6,0.47,1.92,14.82,82.79,4.7,8.43,25.74,61.13,,,,,4.82,5.08,25.81,64.28,,38,62,,,0.02,68.64,31.34,,,0.01,32.35,67.65,,,,58.17,41.83,,,,,,,,,62.58,37.42,,,,0,0.01,1.62,98.37,0.05,0.55,3.89,10.04,85.47,0.02,0.12,0.74,5.81,93.32,0.43,1.74,5.39,26.78,65.65,,,,,,0.52,1.83,4.17,29.6,63.89,,,0,0.76,99.23,0,0.26,1.8,8.58,89.36,0.01,0.02,0.32,4.11,95.55,,1.04,3.22,16.96,78.78,,,,,,,1.43,3.52,16.17,78.88,0.23,4.12,25.56,22.34,47.75,3.36,16.74,53.84,13.03,13.03,1.86,9.85,37.84,39.4,11.05,16.82,27.83,40.58,10.59,4.18,0.54,28.28,26.93,44.25,,9.93,55.04,21.65,13.38,,4.27,43.21,32.94,19.59,,33.67,49.39,11.53,5.42,
S16000077,Aberdeenshire East,39496,141868,6059,,3013,0.25,0.89,12.95,85.91,5.17,9.84,39.37,45.62,1.4,3.35,22.53,72.72,8.58,11.72,36.92,42.78,,,,,3.32,8.16,39.96,48.56,,53.09,46.91,,,0.46,61.49,38.05,,,0.03,67.94,32.03,,,1.72,81.6,16.69,,,,,,,,0.2,82.48,17.32,,,0.01,0.08,0.38,1.63,97.9,0.7,1.56,7.48,19.43,70.83,0.06,0.27,1.08,4.86,93.74,1.62,3.78,9.04,18.2,67.35,,,,,,0.1,0.8,4.25,17.23,77.63,,0.01,0.22,1.24,98.54,0.11,0.98,4.5,13.63,80.78,0.01,0.07,0.64,4.41,94.87,0.25,2.69,7.43,16.27,73.36,,,,,,,0.17,1.83,13.67,84.33,17.93,26.67,36.46,18.74,0.2,35.92,33.57,25.41,4.68,0.42,23.09,41.96,26.8,8.15,0.01,50.75,35.6,12.64,0.97,0.04,62.59,33.66,2.79,0.96,,80.28,17.37,1.21,1.13,,70.75,28.7,0.5,0.04,,90.42,9.04,0.44,0.1,
S16000078,Aberdeenshire West,37328,353168,8579,,4715,1.58,2.01,18.77,77.64,7.2,10.67,41.53,40.6,19.98,9.07,25.63,45.32,14.83,13.08,41.79,30.31,,,,,8.25,10.86,45.2,35.69,0.14,74.15,25.7,,,2.15,79.88,17.98,,,7.14,72.74,20.12,,,5.3,79.94,14.76,,,,,,,,2.23,80.11,17.67,,,0.2,0.44,0.93,3.93,94.49,1.58,2.79,5.79,16.51,73.33,9.2,5.16,6.61,13.25,65.77,4.04,7.13,12.97,28.31,47.53,,,,,,1.89,4.98,9.9,29.9,53.32,0.06,0.24,0.62,3.08,96.01,0.66,2.07,4.45,13.89,78.94,5.39,5.34,6.27,13.98,69.01,1.99,4.02,11.76,27.25,54.97,,,,,,0.47,2.04,9.08,26.47,61.95,29.22,35.27,26.33,9.19,,66.5,23.13,9.28,1.09,,35.2,41.98,18.92,3.9,,76.08,18.75,5.04,0.14,,61.11,38.79,0.1,,,85.34,14.61,0.05,,,72.52,27.41,0.07,,,91.98,8.02,0,,
S16000079,Airdrie and Shotts,34264,21391,1263,174,656,0.15,0.22,9.35,90.28,1.3,3.93,36.32,58.46,3.41,4.24,25.3,67.06,8.87,8.71,35.39,47.03,,,18.97,81.03,1.52,5.18,32.47,60.82,0,88.15,11.84,,,0.14,95.05,4.81,,,0.09,74.86,25.05,,,2.77,86.54,10.69,,,,72.41,27.59,,,,85.98,14.02,,,,0.05,0.1,0.46,99.39,0.11,1.09,1.83,5.1,91.87,0.05,1.63,2.44,7,88.89,0.95,6.41,4.67,12.83,75.14,,,,14.37,85.63,,,1.83,12.96,85.21,,,0.07,0.45,99.48,0.06,0.17,1.82,2.95,95,,0.1,1.85,6.49,91.56,0.55,3.25,4.67,10.77,80.76,,,,4.02,95.98,,,,8.08,91.92,10.37,29.88,22.98,30.29,6.48,20.15,45.09,22.32,10.31,2.13,28.12,40.74,21.07,9.99,0.08,54.78,32.48,10.32,2.41,0,57.91,31.3,8.64,2.15,,71.45,23.35,3.79,1.42,,81.47,16.36,2.18,,,92.01,7.13,0.86,,
S16000080,Almond Valley,43575,22305,1490,160,1014,0.02,0.03,5.49,94.46,1.04,3.09,36.45,59.42,1.87,5.55,21.01,71.57,4.83,8.86,35.91,50.4,0.63,,38.13,61.25,3.75,6.02,34.22,56.02,,42.26,57.74,,,0.03,80.22,19.75,,,0.03,46.67,53.31,,,0.47,77.99,21.54,,,,80,20,,,0.59,75.15,24.26,,,,,0,0.07,99.93,0.02,0.11,1.23,12.3,86.34,0.33,0.32,2.02,5.53,91.8,0.13,0.81,6.44,15.91,76.71,,0.63,3.13,8.75,87.5,0.1,0.1,4.14,15.88,79.78,,,,0.04,99.96,0,0.01,0.43,10.01,89.55,0.02,0.32,0.73,4.92,94.01,,0.2,2.82,14.5,82.48,,0.63,2.5,8.75,88.13,,0.2,1.38,11.83,86.59,5.19,1.44,9.28,28.84,55.25,15.56,15.6,22.79,25.65,20.39,7.98,9.99,29.62,30.69,21.72,35.45,23.33,22.35,13.82,5.05,5.47,81.56,9.81,3.15,,18.7,62.25,12.79,6.26,,8.59,88.26,2.85,0.31,,38.44,53.44,7.16,0.96,
W09000007,Alyn and Deeside,41097,15477,1477,,976,0.07,0.64,12.09,87.2,2.08,7.17,50.4,40.34,1.85,3.28,9.3,85.58,9.82,9.75,36.97,43.47,,,,,6.35,10.66,38.52,44.47,0,30.05,69.94,,,0.21,66.34,33.44,,,0.03,17.68,82.29,,,1.96,66.08,31.96,,,,,,,,1.54,71.72,26.74,,,0,0.04,0.35,1.03,98.58,0.71,0.51,4.63,22.5,71.65,0.34,0.88,1.8,3.34,93.64,5.82,2.64,7.11,25.25,59.17,,,,,,2.77,2.25,7.68,26.54,60.76,,0.01,0.09,0.53,99.37,0.07,0.35,1.02,12.13,86.42,0.02,0.3,0.82,3.06,95.81,1.49,3.39,5.82,13.68,75.63,,,,,,1.02,2.15,5.02,16.19,75.61,20.09,59.47,19.69,0.75,,17.97,53.59,24.49,3.95,,39.2,54.53,6.27,0.01,,32.17,59.57,7.78,0.48,,99,1,,,,95.2,4.8,,,,100,,,,,99.99,0.01,,,
