laua,laua_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4,5G_SA_high_confidence_prem_out_0,5G_SA_high_confidence_prem_out_1,5G_SA_high_confidence_prem_out_2,5G_SA_high_confidence_prem_out_3,5G_SA_high_confidence_prem_out_4,5G_SA_high_confidence_geo_out_0,5G_SA_high_confidence_geo_out_1,5G_SA_high_confidence_geo_out_2,5G_SA_high_confidence_geo_out_3,5G_SA_high_confidence_geo_out_4,5G_SA_very_high_confidence_prem_out_0,5G_SA_very_high_confidence_prem_out_1,5G_SA_very_high_confidence_prem_out_2,5G_SA_very_high_confidence_prem_out_3,5G_SA_very_high_confidence_prem_out_4,5G_SA_very_high_confidence_geo_out_0,5G_SA_very_high_confidence_geo_out_1,5G_SA_very_high_confidence_geo_out_2,5G_SA_very_high_confidence_geo_out_3,5G_SA_very_high_confidence_geo_out_4
S12000033,Aberdeen City,131903,18582,1624,,1229,,0.01,1.75,98.24,0.13,0.67,16.39,82.81,0.11,1.03,11.46,87.4,0.86,1.72,17.24,80.17,,,,,0.73,1.46,17.33,80.47,,40.14,59.86,,,0,75.69,24.3,,,,45.92,54.08,,,,72.23,27.77,,,,,,,,,70.3,29.7,,,,,0,0.18,99.82,0.01,0.11,1.07,2.25,96.56,,0.05,0.43,2.76,96.77,0.25,0.18,0.74,8.13,90.7,,,,,,0.24,0.24,0.73,8.95,89.83,,,0,0.02,99.98,0,0.06,0.4,1.95,97.59,,,0.13,2.53,97.34,,0.25,0.37,2.96,96.43,,,,,,,0.24,0.41,2.6,96.75,0.03,0.89,3.59,15.2,80.29,1.21,6.07,25.41,23.81,43.51,0.37,3.24,12.42,47.72,36.25,6.47,16.38,28.44,30.46,18.25,0.1,4.94,19.87,75.08,,4.82,26.96,28.76,39.46,,1.08,12.24,43.7,42.98,,16.4,32.19,29.47,21.94,
S12000034,Aberdeenshire,130651,631855,20865,,11207,0.63,1.21,12.27,85.88,4.9,7.97,36.49,50.63,11.98,6.55,23.31,58.16,11.39,12.28,36.82,39.51,,,,,5.52,9.16,39.14,46.18,0.04,57.88,42.08,,,0.86,67.65,31.49,,,4.1,66.99,28.9,,,2.83,76,21.16,,,,,,,,1,76.79,22.21,,,0.07,0.17,0.47,2.86,96.43,0.89,1.8,5.5,17.7,74.12,5.31,3.14,4.26,9.66,77.63,2.59,4.95,9.91,22.84,59.71,,,,,,0.9,2.69,6.65,22.49,67.27,0.02,0.08,0.28,1.98,97.64,0.29,1.1,3.67,12.93,82,3.07,3.14,3.92,9.83,80.04,0.98,3.04,8.45,20.86,66.67,,,,,,0.2,1.11,5.25,18.68,74.77,19.4,24.64,43.14,12.74,0.07,51.31,26.93,18.68,2.95,0.13,25.18,34.38,34.74,5.69,0,63.99,24.78,10.63,0.6,0.01,44.39,54.06,1.19,0.35,,75.79,23.25,0.58,0.38,,58.08,41.64,0.24,0.04,,86.33,13.42,0.18,0.07,
E07000223,Adur,30319,4220,349,,330,,0,0.62,99.38,0.01,0.13,18.69,81.17,0.85,2.73,11.49,84.93,,6.02,29.8,64.18,,,,,,6.36,31.52,62.12,,62.17,37.83,,,0,77.87,22.13,,,,67.54,32.46,,,1.15,88.25,10.6,,,,,,,,1.21,87.58,11.21,,,,,0,0.16,99.83,0,0.07,0.3,4.86,94.77,0.28,1.04,3.7,8.82,86.16,2.58,4.01,4.01,8.02,81.38,,,,,,2.73,4.24,4.24,8.48,80.3,,,,0.15,99.85,0,,0.32,4.24,95.44,,0.28,2.13,9.31,88.27,,1.15,9.46,7.74,81.66,,,,,,,1.21,10,8.18,80.61,0.02,0.2,23.18,18.34,58.26,0.95,10.24,21.52,26.78,40.52,0.04,8.5,34.52,22.13,34.8,5.66,20.57,31.47,25.24,17.06,0.03,74.23,25.74,,,6.02,77.11,16.87,,,1.53,84.72,13.75,,,19.95,73.84,6.21,,
E07000032,Amber Valley,64437,26544,1927,,1143,0.05,0.33,10.33,89.29,1.61,6.77,37.93,53.68,0.23,1.64,13.22,84.92,1.82,8.72,40.01,49.46,,,,,0.52,4.64,37.45,57.39,,64.05,35.95,,,0.06,86.27,13.67,,,,74.55,25.45,,,,86.61,13.39,,,,,,,,,90.2,9.8,,,,0,0.01,0.5,99.49,0.15,0.41,1.67,9.42,88.35,0.03,0.08,0.46,2.53,96.9,0.67,1.14,4.77,13.8,79.61,,,,,,0.09,0.52,3.94,12.77,82.68,,,0.01,0.44,99.55,0.01,0.17,1.3,4.95,93.57,,0.06,0.31,2.26,97.37,,1.04,4.83,11.73,82.41,,,,,,,0.17,4.2,10.32,85.3,0.55,5.47,53.09,35.04,5.85,1.51,13.97,47.48,29.6,7.44,1.48,10.62,72.29,14.92,0.69,6.68,23.2,57.6,11.2,1.32,6.53,84.44,9.02,,,9.32,72.31,18.35,0.02,,20.61,77.11,2.28,,,31.78,61.95,6.27,,
S12000041,Angus,62400,218510,5862,,2974,0.44,0.8,7.54,91.23,3.24,5.05,35.25,56.47,17.96,9.8,17.16,55.09,12.28,12.66,27.86,47.2,,,,,1.65,5.58,28.38,64.39,0.33,48.67,51,,,0.88,79.87,19.25,,,11.36,55.48,33.17,,,6.94,63.97,29.09,,,,,,,,0.27,63.69,36.05,,,0.05,0.17,0.61,0.68,98.5,0.51,1.1,2.76,7.93,87.7,9.41,5.05,8.99,8.22,68.33,1.67,5.15,9.18,13.9,70.1,,,,,,,0.2,2.12,11.74,85.94,0.04,0.09,0.53,0.6,98.75,0.22,0.66,1.76,5.93,91.42,5.59,6.22,8.25,9.92,70.01,1.06,3.43,6.31,12.69,76.51,,,,,,,,0.67,6.89,92.43,3.93,21.04,55.14,11.12,8.78,41.72,23.73,26.9,5.77,1.87,11.48,33.58,49.4,4.84,0.7,53.12,24.74,19.77,1.89,0.47,6.42,72.97,20.61,,,49.86,40.83,9.32,,,35.52,52.94,11.55,,,65.1,28.92,5.98,,
N09000001,Antrim and Newtownabbey,66408,57207,3271,519,1962,0.05,0.27,6.41,93.27,2.61,6.6,27.26,63.52,0.44,1.8,14.97,82.78,5.11,9.48,34.12,51.3,,0.19,30.06,69.75,2.09,4.79,31.19,61.93,,98.23,1.77,,,0.14,99.82,0.05,,,0,97.94,2.05,,,0.15,99.6,0.24,,,,100,,,,0.1,99.49,0.41,,,0,0.01,0.06,0.65,99.27,0.29,1.3,3.4,10.86,84.15,0.02,0.09,0.75,3.55,95.6,0.67,1.96,7.37,16.72,73.28,,,1.16,5.39,93.45,0.05,0.71,2.6,13.46,83.18,,0,0.06,0.53,99.41,0.02,0.51,2.52,9.65,87.3,0,0.03,0.61,2.45,96.9,0.06,1.01,6.21,15.38,77.35,,,1.16,4.05,94.8,,0.2,1.89,10.5,87.41,0.26,4.21,32.99,20.64,41.9,1.26,9.72,44.19,30.93,13.91,1.56,9.42,41.62,30.82,16.58,5.81,17.54,53.99,18.08,4.58,11.78,62.37,24.02,1.83,,8.56,80.76,9.12,1.55,,19.5,58.55,21.94,0.01,,23.14,71.14,5.58,0.14,
N09000011,Ards and North Down,79291,45729,2559,,1863,0.01,0.2,9.98,89.81,2.87,4.91,32.13,60.08,0.2,1.05,18.96,79.79,6.06,10.28,34.62,49.04,,,,,5.58,8.7,35.8,49.92,,71.87,28.13,,,0.18,84.19,15.64,,,,85.65,14.35,,,0.51,87.14,12.35,,,,,,,,0.27,88.24,11.49,,,,,0.01,0.35,99.65,0.11,0.57,4.18,12.68,82.45,0,0.01,0.12,1.21,98.66,0.59,1.37,7.93,17,73.11,,,,,,0.27,1.45,7.41,14.87,76.01,,,,0.12,99.88,0,0.27,1.64,9.6,88.48,,0,0.02,0.7,99.27,0.12,0.78,4.1,16.14,78.86,,,,,,,0.48,3.33,15.35,80.84,0.67,33.58,25.3,30.55,9.89,1.29,41.11,40.57,12.4,4.63,4.55,39.33,40.66,14.97,0.49,10.05,42.06,41.89,5.39,0.61,3.84,85.61,9.41,1.14,,3.07,85.29,9.44,2.2,,14.71,77.51,7.71,0.06,,19.57,73.68,6.2,0.56,
S12000035,Argyll and Bute,57895,696533,16911,,9586,1.46,2.7,9.63,86.21,6.9,10.99,25.16,56.94,20.31,12.32,24.13,43.25,17.63,18.91,31.29,32.17,,,,,10.62,15.5,35.26,38.62,0.57,46,53.43,,,3.38,49.48,47.14,,,8.76,78.34,12.9,,,11.32,72.76,15.92,,,,,,,,6.11,72.09,21.79,,,0.29,0.75,1.57,4.57,92.82,1.78,3.52,5.12,14.88,74.69,10.36,6.74,7.9,14.4,60.6,3.86,10.48,12.45,22.63,50.58,,,,,,2.09,5.6,10.24,22.71,59.36,0.14,0.36,0.85,4.24,94.42,0.94,2.24,3.59,10.24,83,5.45,7.31,7.88,15.22,64.14,2.2,6.8,10.14,23.62,57.25,,,,,,0.94,2.57,7.6,21.28,67.61,26.55,40.13,26.61,6.15,0.55,70.95,22.51,5.31,1.12,0.1,31.34,52.92,13.52,2.18,0.04,80.17,16.87,2.61,0.34,0.01,71.24,27.67,1.08,,,95.46,3.91,0.63,0,,88.54,11.18,0.28,,,98.04,1.86,0.1,,
N09000002,"Armagh City, Banbridge and Craigavon",96988,133937,8028,405,3593,0.64,1.38,20.85,77.13,6.7,10.27,48.34,34.69,2.43,3.82,25.89,67.85,13.95,15.56,43.87,26.62,,1.23,57.78,40.99,5.09,10.05,51.52,33.34,0.04,96.04,3.91,,,0.81,97.13,2.06,,,0.15,98.58,1.27,,,2.32,96.86,0.82,,,,100,,,,0.33,98.33,1.34,,,0.06,0.15,0.32,1.49,97.97,1.35,2.77,7.51,19.23,69.14,0.3,0.67,1.54,4.25,93.24,3.62,5.11,13.83,23.62,53.82,,,2.47,17.53,80,0.39,1.56,10.99,22.29,64.76,0.01,0.08,0.24,1.14,98.53,0.37,1.64,6.45,20.16,71.37,0.06,0.35,1.08,3.78,94.73,1.28,3.69,11.37,25.54,58.12,,,2.22,17.53,80.25,0.03,0.61,7.35,23.41,68.61,1.35,46.15,34.7,17.78,0.02,4.48,40.12,45.15,10.19,0.07,4.23,52.19,37.33,6.25,,12.89,45.67,39.31,2.13,,6.25,93.14,0.61,,,13.21,85.12,1.67,,,14.49,85.42,0.09,,,31.37,68.3,0.33,,
E07000224,Arun,83079,22050,1485,,926,0.07,0.1,1.71,98.12,0.62,2.55,17.13,79.7,4.77,6.05,13.33,75.86,5.45,8.69,28.62,57.24,,,,,6.8,11.23,34.23,47.73,,45.78,54.22,,,0.08,71.14,28.78,,,0.06,36.36,63.58,,,1.62,66.4,31.99,,,,,,,,2.48,65.77,31.75,,,0,0.01,0.06,0.12,99.81,0.12,0.08,0.4,3.12,96.28,0.58,1.51,2.97,5.56,89.39,2.63,1.75,3.57,9.29,82.76,,,,,,3.13,2.38,4.54,11.77,78.19,,0,0.02,0.13,99.84,0.05,0.1,0.13,1.46,98.26,0.02,0.61,2.29,5.69,91.38,1.55,1.28,3.91,7.95,85.32,,,,,,2.38,1.08,5.08,10.15,81.32,0.13,1.71,14.57,47.91,35.68,8.61,10.79,21.47,35.57,23.56,1.53,10.61,42.13,35.87,9.86,18.39,20.93,38.83,18.16,3.69,13.86,82.1,4.04,,,29.99,58.87,11.15,,,38.38,61.6,0.02,,,58.08,41.81,0.1,,
