parl_const,parl_const_name,prem_count,pixel_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Voice_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,5G_high_confidence_prem_out_0,5G_high_confidence_prem_out_1,5G_high_confidence_prem_out_2,5G_high_confidence_prem_out_3,5G_high_confidence_prem_out_4,5G_high_confidence_geo_out_0,5G_high_confidence_geo_out_1,5G_high_confidence_geo_out_2,5G_high_confidence_geo_out_3,5G_high_confidence_geo_out_4,5G_very_high_confidence_prem_out_0,5G_very_high_confidence_prem_out_1,5G_very_high_confidence_prem_out_2,5G_very_high_confidence_prem_out_3,5G_very_high_confidence_prem_out_4,5G_very_high_confidence_geo_out_0,5G_very_high_confidence_geo_out_1,5G_very_high_confidence_geo_out_2,5G_very_high_confidence_geo_out_3,5G_very_high_confidence_geo_out_4,5G_SA_high_confidence_prem_out_0,5G_SA_high_confidence_prem_out_1,5G_SA_high_confidence_prem_out_2,5G_SA_high_confidence_prem_out_3,5G_SA_high_confidence_prem_out_4,5G_SA_high_confidence_geo_out_0,5G_SA_high_confidence_geo_out_1,5G_SA_high_confidence_geo_out_2,5G_SA_high_confidence_geo_out_3,5G_SA_high_confidence_geo_out_4,5G_SA_very_high_confidence_prem_out_0,5G_SA_very_high_confidence_prem_out_1,5G_SA_very_high_confidence_prem_out_2,5G_SA_very_high_confidence_prem_out_3,5G_SA_very_high_confidence_prem_out_4,5G_SA_very_high_confidence_geo_out_0,5G_SA_very_high_confidence_geo_out_1,5G_SA_very_high_confidence_geo_out_2,5G_SA_very_high_confidence_geo_out_3,5G_SA_very_high_confidence_geo_out_4
W07000081,Aberafan Maesteg,45431,24181,1156,278,1082,0.14,0.51,2.5,96.85,2.09,4.79,15.14,77.97,4.21,5.02,16.16,74.61,4.84,6.57,16.44,72.15,1.08,1.44,16.91,80.58,5.08,4.44,16.27,74.21,,25.38,74.62,,,0.53,39.02,60.44,,,0.89,31.86,67.25,,,2.34,43.94,53.72,,,,27.7,72.3,,,2.4,41.31,56.28,,,,0.1,0.18,1.29,98.43,0.62,0.89,3.03,7.79,87.67,0.88,2.07,3.74,9.2,84.1,1.3,3.89,3.37,9.26,82.18,,0.36,3.24,7.55,88.85,1.29,4.07,3.14,7.58,83.92,,,0.03,0.36,99.61,0.45,0.23,0.47,3.07,95.78,0.22,1.08,2.27,7.62,88.82,0.87,1.82,3.2,6.23,87.89,,,,6.12,93.88,0.92,1.94,2.87,5.27,89,2.55,27.24,60.38,9.83,,15.55,29.81,40.22,14.36,0.05,6.23,64.57,29.17,0.03,,31.11,51.09,16.85,0.95,,6.4,79.47,14.13,,,31.82,45.67,22.51,,,13.35,86.5,0.15,,,46.19,50.56,3.25,,
S14000060,Aberdeen North,63302,10058,880,,656,,0,1.97,98.03,0.02,0.27,15.24,84.48,,0.23,8.67,91.1,,1.82,19.32,78.86,,,,,,1.68,20.43,77.9,,42.35,57.65,,,0,75.43,24.57,,,,51.37,48.63,,,,80.11,19.89,,,,,,,,,80.18,19.82,,,,,0,0.01,99.99,0,0.01,0.1,1.43,98.45,,,0.07,2.21,97.72,,,,4.32,95.68,,,,,,,,,3.96,96.04,,,,0.01,99.99,0,,0.02,1.4,98.58,,,,2.09,97.91,,,,3.41,96.59,,,,,,,,,3.2,96.8,0.01,0.04,0.77,11.46,87.72,0.8,3,16.95,29.14,50.11,0.03,1.54,7.84,38.78,51.81,3.89,10.28,27.25,35.38,23.2,0.04,2.56,23.41,73.99,,2.48,20.01,30.48,47.03,,0.66,6.3,45.38,47.66,,9.13,27.82,34.91,28.15,
S14000061,Aberdeen South,68601,8524,744,,573,,0.01,1.54,98.45,0.23,1.05,17.46,81.27,0.23,1.98,14.75,83.04,1.88,1.61,14.78,81.72,,,,,1.57,1.22,13.79,83.42,,38.11,61.89,,,0,75.94,24.06,,,,39.49,60.51,,,,62.9,37.1,,,,,,,,,58.99,41.01,,,,,0.01,0.33,99.66,0.01,0.21,1.96,3.01,94.81,,0.11,0.84,3.41,95.64,0.54,0.4,1.61,12.63,84.81,,,,,,0.52,0.52,1.57,14.66,82.72,,,0,0.02,99.97,,0.12,0.75,2.45,96.68,,,0.29,3.05,96.66,,0.54,0.81,2.42,96.24,,,,,,,0.52,0.87,1.92,96.68,0.06,1.68,6.18,18.66,73.42,1.7,9.68,35.38,17.52,35.72,0.68,4.81,16.64,55.96,21.9,9.51,23.58,29.83,24.66,12.41,0.16,7.14,16.61,76.08,,7.59,35.16,26.72,30.53,,1.47,17.72,42.15,38.66,,24.98,37.35,23.05,14.62,
S14000062,Aberdeenshire North and Moray East,52017,132120,6283,,3674,0.14,0.48,8.98,90.4,2.16,5.21,37.82,54.81,1.09,3.5,22.5,72.92,8.67,10.33,34.92,46.08,,,,,4.3,7.68,36.99,51.03,0,63.59,36.4,,,0.28,78.8,20.92,,,0.11,65.28,34.61,,,1.37,80.01,18.62,,,,,,,,0.41,80.92,18.67,,,0.01,0.1,0.13,5.33,94.43,0.34,1.31,3.88,20.31,74.16,0.06,0.5,1.23,4.59,93.62,1.67,3.33,6.83,19.23,68.95,,,,,,0.16,1.42,4.46,19.05,74.9,,0.01,0.18,2.79,97.02,0.11,0.76,2.92,13.15,83.06,0,0.14,0.85,4.18,94.83,0.43,2.24,5.12,16.68,75.52,,,,,,,0.54,2.97,15.16,81.33,17.71,20.13,46.94,15.21,,38.99,29.34,23.84,7.84,,24.84,33.91,33.34,7.91,,59.59,25.85,12.29,2.28,,32.12,67.88,,,,60.6,39.4,,,,54.11,45.89,,,,80.29,19.71,,,
S14000063,Airdrie and Shotts,45824,24621,1647,213,946,0.11,0.17,8.11,91.61,1.03,4.78,39.66,54.53,3.22,3.92,23.37,69.49,6.5,7.59,36.55,49.36,,,20.66,79.34,1.06,4.02,34.46,60.47,0,86.25,13.75,,,0.11,94.69,5.2,,,0.06,75,24.94,,,2.06,87.19,10.75,,,,76.06,23.94,,,,86.26,13.74,,,,0.04,0.07,0.35,99.54,0.09,0.92,1.53,5.25,92.22,0.05,1.37,2.33,6.26,89.99,0.73,4.86,3.46,11.05,79.9,,,,11.74,88.26,,,1.37,10.47,88.16,,,0.05,0.34,99.61,0.04,0.13,1.47,2.81,95.55,,0.09,1.57,5.96,92.38,0.43,2.43,3.58,8.32,85.25,,,,3.29,96.71,,,,6.55,93.45,8.63,29.93,21.6,34.11,5.73,18.39,42.48,22.07,14.13,2.92,26.95,38.74,23.64,10.61,0.06,51,31.92,12.91,4.15,0.02,54.04,36.02,8.07,1.87,,67.86,25.77,4.62,1.75,,78.09,20.28,1.63,,,89.49,9.65,0.86,,
E14001063,Aldershot,52395,5666,681,68,497,,,0.86,99.14,0,0.48,12,87.52,,0.34,19.98,79.69,1.32,4.26,25.26,69.16,,,7.35,92.65,1.21,2.82,28.17,67.81,,32.22,67.78,,,,74.78,25.22,,,,20.31,79.69,,,,70.04,29.96,,,,97.06,2.94,,,,73.64,26.36,,,,,,,100,,0,0.08,2.98,96.94,,,,0.46,99.54,,0.44,6.17,12.33,81.06,,,,1.47,98.53,,0.2,6.04,14.08,79.68,,,,,100,,,0.06,1.45,98.49,,,,0.46,99.54,,,5.29,11.45,83.26,,,,1.47,98.53,,,5.43,11.87,82.7,0.06,4.34,22.58,47.81,25.22,2.93,14.15,34.56,36.09,12.27,2.61,23.74,39.48,21.24,12.93,18.96,30.66,31.61,14.47,4.31,69.3,30.7,,,,76.97,23.03,,,,83.05,16.95,,,,89.45,10.55,,,
E14001064,Aldridge-Brownhills,40787,5380,693,7,413,,,1.74,98.26,1.12,4.64,28.26,65.98,,,4.76,95.24,1.59,4.47,28.28,65.66,,,71.43,28.57,,4.12,37.29,58.6,,52.49,47.51,,,,71.69,28.31,,,,55.26,44.74,,,,70.27,29.73,,,,100,,,,,70.22,29.78,,,,,,0.4,99.6,,0.12,1.82,17.99,80.07,,,,0.71,99.29,,0.58,3.75,21.36,74.31,,,,,100,,0.24,4.36,25.18,70.22,,,,0.18,99.82,,,0.27,8.47,91.26,,,,0.28,99.72,,,1.44,10.53,88.02,,,,,100,,,1.69,11.38,86.92,0,0.71,6.92,20.41,71.95,0.04,0.65,5.59,16.8,76.91,1.42,18.11,15.95,36.49,28.02,2.9,12.75,18.88,38.79,26.67,0.06,5.95,16.04,77.95,,0.15,5.07,14.67,80.11,,9.18,26.37,35.51,28.94,,7.38,21.8,34.65,36.17,
S14000064,Alloa and Grangemouth,47551,18140,1227,277,1048,,,8.58,91.42,1.22,3.08,33.47,62.22,3.17,2.36,11.49,82.98,0.81,3.02,28.85,67.32,,,12.27,87.73,0.57,0.95,22.81,75.67,,32.99,67.01,,,,71.3,28.7,,,0.69,29.56,69.75,,,,65.61,34.39,,,,28.88,71.12,,,,53.24,46.76,,,,,,,100,,0,0.23,4.87,94.89,2.3,1.11,1.46,2.89,92.24,,,0.33,4.65,95.03,,,0.36,2.89,96.75,,,0.19,3.82,95.99,,,,,100,,,0.01,2.18,97.81,0.66,1.9,1.55,2.72,93.18,,,0.16,2.69,97.15,,,,1.44,98.56,,,,2,98,,1.6,24.31,40.84,33.25,4.66,10.79,23.1,33.07,28.38,0.66,15.42,41.44,34.74,7.74,10.31,22.83,45.86,17.52,3.47,9.47,90.53,,,,16.62,83.38,,,,28.34,71.66,,,,37.48,62.52,,,
E14001065,Altrincham and Sale West,45685,5159,538,19,308,,,0.14,99.86,0.01,0.64,21.55,77.8,,,4.3,95.7,0.19,1.67,18.96,79.18,,,5.26,94.74,0.32,1.95,14.29,83.44,,55.62,44.38,,,0.18,86.96,12.85,,,,46.81,53.19,,,0.37,72.86,26.77,,,,21.05,78.95,,,0.65,69.16,30.19,,,,,,0.01,99.99,,0,0.18,2.19,97.63,,,,2.09,97.91,,,2.42,6.88,90.71,,,,,100,,,1.62,2.92,95.45,,,,0.01,99.99,,,0.03,0.4,99.57,,,,1.94,98.06,,,1.49,5.2,93.31,,,,,100,,,0.65,1.95,97.4,,0.03,0.7,50.82,48.45,,0.54,4.23,44.35,50.88,0.01,1.58,25.35,60.02,13.04,0.23,8.06,27.31,50.32,14.07,,0.12,73.46,26.42,,,3.93,69.45,26.61,,0.14,8.24,83.97,7.65,,4.4,22.54,68,5.06,
W07000082,Alyn and Deeside,49602,18299,1675,,1162,0.09,0.55,10.84,88.51,2.37,8.61,48.33,40.69,1.73,2.86,8.29,87.12,8.84,9.31,36.84,45.01,,,,,5.51,9.81,37.87,46.82,0,38.83,61.17,,,0.22,70.63,29.15,,,0.04,22.25,77.71,,,1.79,67.46,30.75,,,,,,,,1.38,72.72,25.9,,,0.01,0.03,0.28,1.03,98.64,0.62,0.42,5.91,22.97,70.08,0.31,0.8,1.52,3.18,94.2,5.31,2.27,6.45,26.87,59.1,,,,,,2.41,1.81,6.71,28.4,60.67,,0.01,0.08,0.44,99.47,0.07,0.31,0.86,13.19,85.57,0.02,0.27,0.69,2.7,96.32,1.37,3.04,5.01,13.01,77.55,,,,,,0.95,1.81,3.96,14.54,78.74,22.94,55.38,20.99,0.68,,17.79,49.09,27.7,5.41,0.01,38.92,55.44,5.64,0.01,,30.23,59.25,10.11,0.4,,98.61,1.37,0.02,,,92.25,7.13,0.62,,,100,,,,,99.99,0.01,,,
E14001066,Amber Valley,46101,12464,1257,,741,0.03,0.1,11.75,88.12,1.73,7.4,44.58,46.29,0.02,0.31,10.86,88.82,2.15,5.65,42.4,49.8,,,,,0.27,3.51,40.22,56.01,,52.04,47.96,,,0.05,81.07,18.88,,,,62,38,,,,80.03,19.97,,,,,,,,,84.89,15.11,,,,,,0.25,99.75,0.11,0.25,1.48,10.44,87.73,,,,0.73,99.27,0.72,0.56,3.26,12.97,82.5,,,,,,,,1.35,11.74,86.91,,,,0.18,99.82,,0.11,0.93,4.14,94.83,,,,0.48,99.52,,0.8,2.86,10.18,86.16,,,,,,,,1.08,8.77,90.15,,1.54,46.17,46.56,5.74,0.01,2.69,45.58,45.87,5.86,0.36,4.14,76.07,18.81,0.62,1.33,11.26,71.18,15.73,0.51,2.09,89.06,8.85,,,4.18,78.79,17.03,,,9.78,89.41,0.81,,,21.45,73.82,4.73,,
S14000065,Angus and Perthshire Glens,56119,556263,10638,,6412,1.05,1.3,9.73,87.92,5.76,6.41,32.92,54.92,27.22,9.67,19.91,43.2,11.6,12.74,35.39,40.27,,,,,5.38,9.98,37.6,47.04,0.57,42.58,56.85,,,1.58,66.17,32.25,,,17.02,60.25,22.73,,,5.66,63.67,30.67,,,,,,,,2.42,60.29,37.29,,,0.17,0.34,0.81,2.36,96.31,1.29,2.72,4.24,11.31,80.44,16.92,7,8.57,11.45,56.06,1.93,5.39,9.52,20.14,63.03,,,,,,0.76,2.57,7.31,18.23,71.12,0.13,0.24,0.5,1.85,97.28,0.51,1.32,3.6,8.35,86.21,11.99,8.44,8.67,12.52,58.37,0.75,3.29,7.78,18.21,69.97,,,,,,0.11,1.11,5.02,14.89,78.87,8.79,31.98,49.29,9.39,0.55,65.51,19.19,12.54,2.44,0.33,14.33,40.67,42.4,2.41,0.2,73.72,17.43,8.21,0.57,0.07,24.34,71.49,4.17,,,79.25,18.81,1.93,,,46.31,51.36,2.33,,,86.82,12.08,1.11,,
S14000066,Arbroath and Broughty Ferry,51497,43498,2353,,1161,0.03,0.3,5.04,94.63,1.6,4.34,39.11,54.94,0.7,3.28,14.26,81.76,9.01,13.26,28.18,49.55,,,,,1.98,5.94,27.3,64.77,,42.99,57.01,,,0.11,82.44,17.45,,,0.01,28.78,71.21,,,1.61,59.16,39.23,,,,,,,,0.52,57.88,41.6,,,,0.02,0.26,0.21,99.51,0.18,0.36,1.67,5.9,91.89,0.02,0.16,0.89,2.71,96.22,1.19,2.55,10.37,16.4,69.49,,,,,,,0.09,3.27,14.81,81.83,,,0.24,0.17,99.59,0.03,0.25,0.72,3.38,95.63,0,0.03,0.36,2.28,97.33,0.34,1.1,4.55,15.34,78.67,,,,,,,,0.78,7.75,91.47,2.93,4.12,33.09,23.97,35.89,8.68,31.5,37.15,14.18,8.49,8.81,13.23,34.5,30.1,13.35,24.45,37.09,28.28,7.18,3,3.99,32.96,63.05,,,17.29,51.37,31.34,,,23.41,23.3,53.28,,,39.55,39.34,21.11,,
S14000067,"Argyll, Bute and South Lochaber",61457,884543,20352,,11764,1.64,2.84,10.06,85.46,7.27,11.12,25.83,55.79,21.52,12.22,23.82,42.44,17.9,18.23,31.62,32.24,,,,,11.8,15.05,34.61,38.54,0.61,47.17,52.22,,,3.55,50.57,45.88,,,9.81,77.63,12.55,,,10.93,73.31,15.76,,,,,,,,6.09,73.63,20.27,,,0.3,0.83,1.63,5.52,91.71,1.9,3.68,5.37,15.58,73.46,11.67,7.32,8.56,13.83,58.61,4.18,10.33,12.32,21.59,51.57,,,,,,2.61,6.05,10,21.06,60.29,0.14,0.42,0.9,4.28,94.26,1.01,2.38,3.7,10.49,82.42,6.39,8.14,8.81,14.38,62.29,2.21,7.09,10.09,22.3,58.32,,,,,,1.06,3.46,7.47,20.29,67.72,29.63,38.81,25.24,5.8,0.52,72.6,21.86,4.56,0.89,0.08,34.4,50.65,12.86,2.06,0.04,81.09,16.35,2.29,0.26,0.01,72.82,26.16,1.02,,,96.15,3.35,0.5,0,,89.16,10.57,0.27,,,98.36,1.56,0.08,,
E14001067,Arundel and South Downs,48836,83461,3339,,2356,0.26,1.37,15.12,83.25,6.44,18.07,36.75,38.74,2.79,7.73,25.33,64.16,10.51,20.52,34.95,34.02,,,,,7.56,18.12,34.13,40.2,,57.4,42.6,,,0.28,83.01,16.71,,,0.02,46.12,53.86,,,0.99,74.72,24.29,,,,,,,,0.59,72.5,26.91,,,0.02,0.11,0.42,2.09,97.36,0.79,2.97,7.41,17.5,71.34,0.35,1.37,3.37,9.66,85.25,1.47,6.05,12.01,22.58,57.89,,,,,,1.1,4.33,9.8,22.37,62.39,,0.02,0.22,1.48,98.27,0.13,1.13,4.58,14.9,79.26,0,0.4,2.13,9.23,88.23,0.18,2.04,8.63,22.73,66.43,,,,,,0.13,1.61,6.15,20.63,71.48,8.52,25.22,28.92,25.3,12.05,20.55,34.53,24.82,12.88,7.22,23.3,30.81,32.33,8.54,5.01,44.47,34.15,16.64,3.67,1.07,59.57,39.12,1.3,,,66.84,30.95,2.22,,,81.44,18.53,0.03,,,87.19,12.8,0.01,,
E14001068,Ashfield,46079,9921,1071,93,554,,0.01,6.13,93.86,0.57,4.15,40.04,55.24,0.14,0.53,12.3,87.03,2.24,6.16,39.22,52.38,1.08,2.15,34.41,62.37,3.07,7.04,38.81,51.08,,71.88,28.12,,,0.01,88.76,11.23,,,,72.9,27.1,,,,93.37,6.63,,,,100,,,,,98.74,1.26,,,,,0,0.07,99.93,0.04,0.07,0.84,7.19,91.86,,0.1,0.35,2.25,97.3,0.37,1.12,2.71,14.85,80.95,,,2.15,13.98,83.87,0.72,1.99,4.87,18.41,74.01,,,,0.07,99.93,,0.04,0.22,3.84,95.9,,,0.37,2.08,97.55,,0.47,2.15,13.07,84.31,,,2.15,9.68,88.17,,0.9,4.33,18.05,76.71,,0.92,12.44,35,51.64,0.74,7.33,18.45,43.6,29.89,0.25,4.09,39.83,47.48,8.35,5.2,11.52,42.55,34.12,6.61,1.23,93.68,5.06,0.03,,8,81.48,9.94,0.57,,14.8,84.7,0.51,,,28.49,69.34,2.18,,
E14001069,Ashford,47976,22713,907,261,945,0.14,0.81,13.02,86.02,4.09,11.92,33.16,50.83,2.59,7.96,21.37,68.08,4.3,9.15,31.09,55.46,4.98,4.6,24.9,65.52,2.33,5.29,29.1,63.28,,58.98,41.02,,,0.15,84.86,14.99,,,0.01,70.03,29.95,,,0.22,84.34,15.44,,,,69.73,30.27,,,,79.68,20.32,,,0.07,0.08,0.14,1.07,98.64,0.56,1.54,4.34,11.48,82.07,1.18,1.85,2.88,8.35,85.74,1.32,2.65,4.41,14.55,77.07,,3.07,4.21,10.34,82.38,,1.27,2.22,13.12,83.39,,0.13,0.1,1.11,98.67,0.14,0.73,3.31,9.81,86.01,0,2.06,3.02,8.73,86.18,0.22,1.65,4.19,14.88,79.05,,,5.75,4.21,90.04,,,2.43,10.69,86.88,3.89,6.79,14.05,48.95,26.32,27.7,16.92,22.82,22.86,9.71,6.83,17.23,38.12,34.45,3.37,38.48,21.11,26.72,12.36,1.32,13.62,86.38,,,,44.88,55.12,,,,28.37,71.63,,,,66.15,33.85,,,
E14001070,Ashton-under-Lyne,50026,3000,446,67,355,,0.01,0.16,99.82,0.06,0.64,22.56,76.74,0.07,0.17,1.73,98.03,,0.9,23.99,75.11,,,10.45,89.55,,1.13,25.07,73.8,,95.3,4.7,,,0.01,98.96,1.02,,,,89.93,10.07,,,,97.98,2.02,,,,100,,,,,97.46,2.54,,,,,0.01,0.07,99.92,,0.01,0.14,0.6,99.25,,,0.17,0.53,99.3,,,1.12,2.02,96.86,,,,,100,,,1.41,2.25,96.34,,,,0.03,99.97,,,0.05,0.58,99.36,,,,0.47,99.53,,,0.45,1.12,98.43,,,,,100,,,0.56,1.41,98.03,,0.01,,0.55,99.44,,0.07,0.17,1.93,97.83,0.06,0.18,3.83,38.19,57.74,0.27,1.03,4.3,33.03,61.37,0.01,,0.76,99.24,,0.1,0.27,2,97.63,,0.07,5.79,13.99,80.15,,0.4,6.83,14.53,78.23,
E14001071,Aylesbury,50347,19635,1092,,596,0.01,0.04,1.96,98,1,2.19,23.14,73.68,0.87,2.33,6.59,90.22,1.19,4.67,25.92,68.22,,,,,1.01,3.52,23.99,71.48,,66.14,33.86,,,0.01,88.77,11.21,,,,33.46,66.54,,,0.09,77.11,22.8,,,,,,,,,71.98,28.02,,,,0.01,0.02,2.63,97.34,0.12,0.5,2.49,12.34,84.55,0.1,0.33,1.27,5.88,92.42,0.37,1.1,4.03,17.12,77.38,,,,,,,0.84,4.7,21.14,73.32,,,0.01,0.26,99.73,0.01,0.11,1.04,7.93,90.92,,0.07,0.49,1.85,97.59,0.09,0.37,1.74,9.34,88.46,,,,,,,,1.17,9.73,89.09,0.07,4.73,16.49,32.91,45.81,2.59,20.08,36.08,29.58,11.67,1.44,11.87,42.83,31.15,12.72,10.74,32.84,41.38,12.96,2.08,0.69,47.08,52.24,,,4.75,74.19,21.03,0.03,,12.77,55.4,31.84,,,23.78,65.07,11.15,,
S14000107,"Ayr, Carrick and Cumnock",49362,168368,5064,,2596,0.48,0.45,4.96,94.11,2.05,4.79,28.63,64.54,18.81,12.09,20.76,48.34,14.28,9.99,29.3,46.43,,,,,4.24,6.12,31.7,57.94,0.45,26.08,73.47,,,0.66,53.3,46.03,,,10.45,55.37,34.18,,,6.97,64.14,28.89,,,,,,,,1.54,66.1,32.36,,,0.3,0.1,0.15,0.53,98.92,0.65,0.66,1.99,5.6,91.09,6.59,7.66,10.1,12.81,62.84,5.83,5.85,9.38,13.78,65.17,,,,,,1.08,3.24,7.74,13.6,74.35,0.28,0.09,0.08,0.41,99.14,0.4,0.33,1.09,3.41,94.77,3.65,5.68,7.4,15.98,67.3,3.36,4.46,7.35,13.98,70.85,,,,,,0.19,1.08,5.89,13.41,79.43,8.92,10.6,47.44,31.39,1.64,62.08,20.65,12.05,4.65,0.57,12.52,36.17,38.67,12.5,0.15,73.94,17.86,6.32,1.78,0.1,45.03,54.97,,,,86.75,13.11,0.14,,,66.9,33.1,,,,94.49,5.5,0.01,,
E14001072,Banbury,48761,51265,2304,238,1432,0.06,0.22,9.98,89.73,3.25,6.52,35.58,54.65,1.2,1.79,16.7,80.3,3.34,7.25,31.29,58.12,,0.84,13.45,85.71,2.03,4.19,29.54,64.25,,40.19,59.81,,,0.07,76.84,23.09,,,0.01,52.46,47.53,,,0.04,73.87,26.09,,,,71.85,28.15,,,,70.18,29.82,,,,0.02,0.28,1.26,98.44,0.54,1.54,5.98,8.66,83.28,0.15,0.3,1.04,3.54,94.97,0.87,2,5.73,12.07,79.34,,,,2.1,97.9,0.14,0.49,3.7,10.27,85.41,,,0.26,1.1,98.64,0.02,0.86,4.75,8.69,85.68,0.01,0.17,0.85,2.93,96.04,0.04,1.17,5.69,9.77,83.33,,,,0.42,99.58,,0.14,2.65,8.52,88.69,3.82,18.56,22.29,13.04,42.29,10.62,32.62,38.21,13.97,4.58,9.81,22.77,31.96,23.43,12.02,25.38,44.09,25.01,4.05,1.47,15.48,84.51,0.01,,,33.27,66.44,0.29,,,31.88,68.12,,,,61.3,38.7,,,
W07000083,Bangor Aberconwy,48068,139832,5507,,3071,1.51,1.13,7.28,90.08,4.31,10.18,23.93,61.58,12.24,9.06,17.73,60.96,15.11,13.02,27.76,44.11,,,,,7.78,11.36,29.83,51.03,0.84,39.77,59.39,,,2.47,66.24,31.29,,,7.44,43.43,49.13,,,11.75,60.21,28.04,,,,,,,,6.61,62.59,30.8,,,0.64,0.62,0.57,5.02,93.15,1.95,2.29,4.3,15.47,75.99,4.02,6.02,7.07,12.49,70.41,6.95,8.3,10.4,21.12,53.22,,,,,,2.34,5.08,11.14,18.98,62.46,0.3,0.6,0.51,1.75,96.84,1.28,1.39,2.65,8.6,86.07,2.12,4.32,6.38,9.84,77.34,3.83,7.63,8.59,15.98,63.97,,,,,,0.68,3.97,8.99,13.81,72.55,15.49,50.62,17.29,16.5,0.1,59.5,35.42,4.65,0.42,0.01,23,60.17,6.49,10.33,,71.99,26.2,1.61,0.2,,74.81,25.19,,,,98.12,1.88,,,,80.39,19.61,,,,99.18,0.82,,,
E14001073,Barking,52970,1922,257,,245,,,0.16,99.84,,0.31,9.8,89.89,,,1.4,98.6,,,3.11,96.89,,,,,,,3.27,96.73,,75.14,24.86,,,,86.82,13.18,,,,81.74,18.26,,,,85.6,14.4,,,,,,,,,84.9,15.1,,,,,,,100,,,,2.82,97.18,,,,,100,,,,,100,,,,,,,,,,100,,,,,100,,,,2.82,97.18,,,,,100,,,,,100,,,,,,,,,,100,,,,0.01,99.99,,,,0.05,99.95,,,0.01,25.92,74.07,,,0.1,23.05,76.85,,,,100,,,,,100,,,,0.72,99.28,,,,0.42,99.58,
E14001074,Barnsley North,51871,7664,789,72,548,,,2.44,97.56,1.2,5.41,30.06,63.33,0.01,0.56,6.71,92.72,1.01,4.56,28.77,65.65,,,27.78,72.22,0.73,3.1,31.93,64.23,,37.59,62.41,,,,69.24,30.76,,,,42.89,57.11,,,,66.41,33.59,,,,47.22,52.78,,,,58.03,41.97,,,,,,0.03,99.97,,0.11,1.74,6.24,91.92,,,0.07,1.89,98.04,,0.13,1.52,8.11,90.24,,,,5.56,94.44,,,0.91,8.94,90.15,,,,0.03,99.97,,,0.67,6.17,93.16,,,0.05,1.83,98.12,,,0.51,7.6,91.89,,,,2.78,97.22,,,0.18,7.48,92.34,,1.54,15.87,26.32,56.27,0.08,4.81,22.61,31.42,41.08,0.04,10.77,30.71,36.39,22.09,1.53,17.99,34.81,34.03,11.64,4.36,95.29,0.34,0.02,,5.02,93.78,1.08,0.12,,20.61,79.32,0.06,,,29.92,69.85,0.23,,
