"Table C2: Number of police recorded crimes for headline offences by Community Safety Partnership area, England and Wales, year ending June 2025 [note 1][note 2][note 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police recorded crime statistics are published as official statistics, not accredited official statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Police recorded crime from the Home Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police Force
Area code","Police Force
Area name","Community Safety
Partnership code","Community Safety
Partnership name",Local Authority code,Local Authority name,"Total recorded crime
 (excluding fraud)",Violence against the person,Homicide,Death or serious injury caused by illegal driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
E23000036,Avon and Somerset,,,,,"170,002 ","67,382 ",8 ,6 ,"13,388 ","29,478 ","24,502 ","7,676 ","2,557 ","52,005 ","7,232 ","4,665 ","2,567 ","9,905 ",683 ,"2,138 ","17,914 ","14,133 ","13,020 ","3,278 ","1,065 ","19,648 ","3,371 "
E23000036,Avon and Somerset,E22000001,Bath and North East Somerset,E06000022,Bath and North East Somerset,"15,974 ","6,030 ",2 ,0 ,"1,226 ","2,636 ","2,166 ",634 ,216 ,"5,428 ",753 ,466 ,287 ,818 ,73 ,163 ,"2,335 ","1,286 ","1,221 ",300 ,110 ,"1,740 ",295 
E23000036,Avon and Somerset,E22000002,"Bristol, City of",E06000023,"Bristol, City of ","64,114 ","23,118 ",4 ,3 ,"4,764 ","10,557 ","7,790 ","2,572 ","1,366 ","21,940 ","2,758 ","1,747 ","1,011 ","5,328 ",386 ,"1,339 ","6,414 ","5,715 ","4,783 ","1,393 ",419 ,"7,492 ","1,031 "
E23000036,Avon and Somerset,E22000003,North Somerset,E06000024,North Somerset,"18,585 ","7,863 ",0 ,0 ,"1,533 ","3,409 ","2,921 ",794 ,171 ,"5,269 ",762 ,537 ,225 ,986 ,43 ,164 ,"1,823 ","1,491 ","1,438 ",313 ,129 ,"2,210 ",398 
E23000036,Avon and Somerset,E22000369,Somerset,E06000066,Somerset,"47,849 ","21,066 ",2 ,1 ,"4,253 ","9,004 ","7,806 ","2,377 ",529 ,"12,232 ","1,847 ","1,156 ",691 ,"1,344 ",103 ,257 ,"5,026 ","3,655 ","3,760 ",747 ,274 ,"5,828 ","1,036 "
E23000036,Avon and Somerset,E22000006,South Gloucestershire,E06000025,South Gloucestershire,"21,100 ","8,523 ",0 ,2 ,"1,485 ","3,507 ","3,529 ",937 ,256 ,"6,564 ","1,065 ",724 ,341 ,"1,304 ",43 ,183 ,"2,237 ","1,732 ","1,625 ",447 ,119 ,"2,174 ",455 
E23000036,Avon and Somerset,,Unassigned Avon and Somerset,,,"2,380 ",782 ,0 ,0 ,127 ,365 ,290 ,362 ,19 ,572 ,47 ,35 ,12 ,125 ,35 ,32 ,79 ,254 ,193 ,78 ,14 ,204 ,156 
E23000026,Bedfordshire,,,,,"51,683 ","18,615 ",11 ,63 ,"4,917 ","8,474 ","5,150 ","2,233 ",568 ,"18,163 ","2,275 ","1,337 ",938 ,"4,769 ",428 ,502 ,"6,247 ","3,942 ","4,204 ","1,814 ",557 ,"4,246 ","1,283 "
E23000026,Bedfordshire,E22000009,Bedford,E06000055,Bedford,"14,996 ","5,311 ",2 ,16 ,"1,384 ","2,488 ","1,421 ",607 ,146 ,"5,365 ",771 ,406 ,365 ,"1,151 ",97 ,240 ,"2,092 ","1,014 ","1,191 ",532 ,151 ,"1,272 ",421 
E23000026,Bedfordshire,E22000353,Central Bedfordshire,E06000056,Central Bedfordshire,"15,470 ","5,739 ",2 ,36 ,"1,506 ","2,391 ","1,804 ",679 ,126 ,"5,381 ",774 ,443 ,331 ,"1,491 ",67 ,88 ,"1,746 ","1,215 ","1,410 ",379 ,103 ,"1,286 ",367 
