Sheet 1: Healthy life expectancy in the UK by age and sex: between 2011 to 2013 and 2022 to 2024,,,,,,,,,,,,
[note 1] [note 2] [note 3] [note 4] [note 5] [note 6] [note 7],,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,
HLE refers to healthy life expectancy; LCI refers to lower bound of the 95% confidence interval; UCI refers to upper bound of the 95% confidence interval; Proportion (%) refers to proportion of life spent in good health.,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,
Return to Contents,,,,,,,,,,,,
Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%)
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,<1,1,56.1,54.0,58.2,72
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,01 to 04,2,55.4,53.3,57.4,72
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,05 to 09,3,51.7,49.8,53.6,71
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,10 to 14,4,47.1,45.4,48.9,69
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,15 to 19,5,42.6,41.0,44.2,68
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,20 to 24,6,38.1,36.5,39.7,66
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,25 to 29,7,33.9,32.3,35.5,64
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,30 to 34,8,29.8,28.3,31.4,62
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,35 to 39,9,25.9,24.4,27.4,59
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,40 to 44,10,22.1,20.7,23.5,56
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,45 to 49,11,18.6,17.2,20.0,54
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,50 to 54,12,15.1,13.8,16.4,50
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,55 to 59,13,11.9,10.7,13.2,47
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,60 to 64,14,9.3,8.1,10.5,44
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,65 to 69,15,7.1,5.9,8.3,41
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,70 to 74,16,5.0,3.8,6.1,36
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,75 to 79,17,3.5,2.3,4.7,32
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,80 to 84,18,2.3,1.0,3.6,28
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,85 to 89,19,1.4,0.6,2.3,25
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Male,1,90+,20,1.0,0.4,1.6,24
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,<1,1,57.3,54.9,59.7,70
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,01 to 04,2,56.5,54.2,58.8,70
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,05 to 09,3,52.8,50.7,55.0,69
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,10 to 14,4,48.3,46.4,50.2,67
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,15 to 19,5,43.8,42.0,45.6,66
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,20 to 24,6,39.4,37.7,41.1,64
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,25 to 29,7,35.2,33.5,36.9,62
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,30 to 34,8,31.1,29.4,32.8,60
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,35 to 39,9,27.1,25.5,28.7,58
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,40 to 44,10,23.3,21.7,24.8,55
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,45 to 49,11,19.7,18.3,21.2,53
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,50 to 54,12,16.4,15.0,17.8,50
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,55 to 59,13,13.3,11.9,14.7,47
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,60 to 64,14,10.6,9.3,12.0,44
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,65 to 69,15,8.2,6.8,9.5,41
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,70 to 74,16,6.0,4.7,7.3,37
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,75 to 79,17,4.2,2.8,5.5,33
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,80 to 84,18,2.8,1.4,4.2,30
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,85 to 89,19,1.7,0.9,2.6,26
2011 to 2013,England,Local Areas,E06000001,Hartlepool,Female,2,90+,20,1.1,0.5,1.7,21
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,<1,1,57.7,55.6,59.8,75
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,01 to 04,2,56.9,54.8,58.9,75
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,05 to 09,3,53.1,51.2,55.0,74
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,10 to 14,4,48.5,46.7,50.2,72
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,15 to 19,5,43.9,42.2,45.5,71
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,20 to 24,6,39.3,37.6,40.9,69
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,25 to 29,7,34.9,33.3,36.5,67
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,30 to 34,8,30.6,29.0,32.2,65
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,35 to 39,9,26.6,25.0,28.2,62
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,40 to 44,10,22.7,21.2,24.2,60
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,45 to 49,11,19.0,17.6,20.5,57
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,50 to 54,12,15.6,14.1,17.0,54
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,55 to 59,13,12.3,10.9,13.7,50
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,60 to 64,14,9.6,8.3,10.9,47
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,65 to 69,15,7.4,6.0,8.7,44
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,70 to 74,16,5.4,4.0,6.7,40
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,75 to 79,17,3.7,2.3,5.1,35
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,80 to 84,18,2.4,0.9,3.8,31
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,85 to 89,19,1.4,0.5,2.3,26
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Male,1,90+,20,1.0,0.4,1.6,24
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,<1,1,58.8,56.7,60.9,73
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,01 to 04,2,58.1,56.0,60.2,73
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,05 to 09,3,54.4,52.5,56.4,72
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,10 to 14,4,49.8,48.0,51.6,71
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,15 to 19,5,45.2,43.5,46.9,69
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,20 to 24,6,40.8,39.1,42.4,67
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,25 to 29,7,36.4,34.7,38.1,65
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,30 to 34,8,32.2,30.5,33.8,63
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,35 to 39,9,28.1,26.5,29.7,61
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,40 to 44,10,24.3,22.7,25.8,59
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,45 to 49,11,20.6,19.1,22.2,57
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,50 to 54,12,17.1,15.7,18.6,54
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,55 to 59,13,14.0,12.5,15.4,51
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,60 to 64,14,11.1,9.7,12.5,48
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,65 to 69,15,8.5,7.2,9.9,45
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,70 to 74,16,6.2,4.9,7.6,41
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,75 to 79,17,4.3,2.9,5.6,37
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,80 to 84,18,2.8,1.5,4.2,33
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,85 to 89,19,1.8,0.9,2.7,28
2011 to 2013,England,Local Areas,E06000002,Middlesbrough,Female,2,90+,20,1.1,0.6,1.6,24
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,<1,1,58.9,56.7,61.2,75
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,01 to 04,2,58.2,56.0,60.4,75
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,05 to 09,3,54.4,52.3,56.4,74
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,10 to 14,4,49.7,47.8,51.6,72
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,15 to 19,5,45.1,43.3,46.9,71
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,20 to 24,6,40.6,38.8,42.4,69
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,25 to 29,7,36.2,34.5,37.9,67
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,30 to 34,8,31.9,30.2,33.6,65
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,35 to 39,9,27.9,26.3,29.6,63
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,40 to 44,10,23.9,22.3,25.5,60
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,45 to 49,11,20.2,18.6,21.7,57
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,50 to 54,12,16.6,15.1,18.1,54
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,55 to 59,13,13.3,11.9,14.8,51
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,60 to 64,14,10.5,9.1,11.9,48
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,65 to 69,15,8.0,6.6,9.4,45
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,70 to 74,16,5.8,4.4,7.2,41
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,75 to 79,17,4.0,2.5,5.6,37
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,80 to 84,18,2.7,1.0,4.4,33
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,85 to 89,19,1.8,0.7,2.9,30
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,90+,20,1.2,0.4,1.9,27
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,<1,1,60.2,57.9,62.5,74
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,01 to 04,2,59.3,57.1,61.6,73
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,05 to 09,3,55.6,53.5,57.6,72
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,10 to 14,4,50.9,49.0,52.9,71
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,15 to 19,5,46.3,44.4,48.1,69
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,20 to 24,6,41.8,40.0,43.6,67
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,25 to 29,7,37.4,35.6,39.2,65
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,30 to 34,8,33.1,31.4,34.9,63
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,35 to 39,9,29.0,27.3,30.7,61
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,40 to 44,10,25.1,23.4,26.8,59
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,45 to 49,11,21.4,19.7,23.0,56
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,50 to 54,12,17.9,16.3,19.5,54
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,55 to 59,13,14.7,13.1,16.2,51
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,60 to 64,14,11.7,10.2,13.2,48
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,65 to 69,15,9.0,7.5,10.5,45
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,70 to 74,16,6.6,5.1,8.2,41
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,75 to 79,17,4.7,3.1,6.3,37
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,80 to 84,18,3.1,1.5,4.8,33
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,85 to 89,19,2.0,0.9,3.0,29
2011 to 2013,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,90+,20,1.1,0.5,1.7,24
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,<1,1,60.9,58.8,63.0,78
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,01 to 04,2,60.3,58.2,62.4,78
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,05 to 09,3,56.5,54.5,58.5,77
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,10 to 14,4,51.8,50.0,53.7,75
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,15 to 19,5,47.2,45.4,49.0,74
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,20 to 24,6,42.7,40.9,44.4,72
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,25 to 29,7,38.2,36.5,39.9,70
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,30 to 34,8,33.8,32.1,35.5,68
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,35 to 39,9,29.5,27.9,31.2,66
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,40 to 44,10,25.4,23.8,27.0,64
2011 to 2013,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,45 to 49,11,21.6,20.0,23.1,61
